no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
6000,12.154,0.19318557724115118,0.010254713860403573,3023,584,31,3.113151788711548
1500,12.151,0.2302771855010661,0.014925373134328358,469,108,7,1.0610156059265137
2000,12.152,0.20193340494092374,0.011815252416756176,931,188,11,1.3335967063903809
8000,12.15,0.20481220657276994,0.011443661971830986,3408,698,39,4.082271337509155
4000,12.147,0.20254565578306585,0.01162147205312673,1807,366,21,2.204411029815674
22000,12.151,0.19526952695269528,0.011001100110011002,9090,1775,100,10.418182611465454
3000,12.151,0.20197418375094914,0.012148823082763858,1317,266,16,1.7507612705230713
60000,12.147,0.19704373320302956,0.00989494258490105,24558,4839,243,27.95542573928833
40000,12.142,0.2000960845544079,0.010569300984866683,16652,3332,176,18.774654388427734
2000,12.139,0.20935175345377258,0.01381509032943677,941,197,13,1.236415147781372
22000,12.141,0.20496894409937888,0.01073797241814928,9499,1947,102,10.475328207015991
15000,12.142,0.19525105868118572,0.010435571687840291,6612,1291,69,7.28647780418396
60000,12.142,0.20200892857142858,0.010642538265306123,25088,5068,267,27.922457456588745
22000,12.139,0.2011173184357542,0.011611348449994523,9129,1836,106,10.450462341308594
1000,12.141,0.21666666666666667,0.01904761904761905,420,91,8,0.7703101634979248
8000,12.141,0.20635821742832813,0.014476298609139937,3523,727,51,4.028687477111816
10000,12.138,0.21622258901202546,0.012732846026880454,4241,917,54,4.943702936172485
12000,12.139,0.19883720930232557,0.012015503875968992,5160,1026,62,5.893194198608398
2000,12.142,0.18657453109575517,0.003948667324777887,1013,189,4,1.3052327632904053
15000,12.142,0.1955528480048736,0.011270179713676515,6566,1284,74,7.2575531005859375
30000,12.139,0.18995875634517767,0.00983502538071066,12608,2395,124,14.138003587722778
3000,12.141,0.21969140337986776,0.0073475385745775165,1361,299,10,1.7054975032806396
22000,12.138,0.20106837606837608,0.010683760683760684,9360,1882,100,10.548442840576172
2000,12.135,0.2032258064516129,0.0064516129032258064,930,189,6,1.2690799236297607
12000,12.141,0.20104895104895104,0.01048951048951049,5148,1035,54,5.860352039337158
15000,12.135,0.19042333914697954,0.01062311717139686,6307,1201,67,7.260967493057251
15000,12.141,0.19666775563541328,0.012414243711205489,6122,1204,76,7.220810174942017
12000,12.137,0.19606314558565582,0.0113038394075229,5131,1006,58,5.89269495010376
12000,12.141,0.20212339743589744,0.01201923076923077,4992,1009,60,5.864794015884399
1500,12.138,0.22429906542056074,0.014018691588785047,428,96,6,1.085294246673584
60000,12.141,0.1992653810835629,0.010260709865452949,25047,4991,257,27.96548318862915
10000,12.141,0.20421728168691267,0.012606005042402018,4363,891,55,4.954461097717285
40000,12.137,0.20165907232153288,0.010865755345250614,17118,3452,186,18.73021364212036
4000,12.138,0.20126782884310618,0.00792393026941363,1893,381,15,2.23553729057312
12000,12.139,0.1931926221715155,0.008556759840273816,5259,1016,45,5.912707567214966
3000,12.137,0.18898186889818688,0.009762900976290097,1434,271,14,1.7050576210021973
1500,12.141,0.18902439024390244,0.01016260162601626,492,93,5,1.038944959640503
8000,12.139,0.1970976253298153,0.010554089709762533,3790,747,40,4.0549116134643555
1000,12.138,0.19047619047619047,0.0045351473922902496,441,84,2,0.8645138740539551
8000,12.137,0.1884760366182014,0.008885298869143781,3714,700,33,4.076080322265625
15000,12.137,0.19643687064291246,0.010689388071262587,6455,1268,69,7.203341960906982
30000,12.134,0.1980064868285737,0.010442211850328297,12641,2503,132,14.111390113830566
22000,12.138,0.19879715691634772,0.01159103335155823,9145,1818,106,10.48708462715149
10000,12.139,0.20915189266890274,0.010301868711068519,4174,873,43,4.923937082290649
60000,12.139,0.19691533671491607,0.010887046888531485,24249,4775,264,27.891453504562378
10000,12.138,0.21058795970953384,0.011946591707659873,4269,899,51,4.955344915390015
1500,12.139,0.20833333333333334,0.0125,480,100,6,1.0822556018829346
40000,12.141,0.19452745063572977,0.01048807640475772,17067,3320,179,18.744837045669556
4000,12.141,0.19530823786142934,0.012002182214948172,1833,358,22,2.201320171356201
4000,12.139,0.2002301495972382,0.01093210586881473,1738,348,19,2.2015740871429443
40000,12.137,0.19967157280136236,0.010825933584722053,16442,3283,178,18.77674674987793
60000,12.137,0.20105267387199163,0.01040620354373418,24889,5004,259,27.96513080596924
10000,12.135,0.20644418872266973,0.00851553509781358,4345,897,37,4.917256832122803
30000,12.138,0.208976951071573,0.009866558835422564,12365,2584,122,14.158057689666748
22000,12.137,0.2009132420091324,0.010468871812005792,8979,1804,94,10.456432580947876
40000,12.134,0.1997274191549994,0.012018337256845497,16142,3224,194,18.668996572494507
30000,12.139,0.2072146953702934,0.01163660543595711,12031,2493,140,14.100309133529663
1500,12.134,0.15384615384615385,0.0038461538461538464,520,80,2,1.1293537616729736
30000,12.137,0.20013248323259086,0.011178272749855096,12077,2417,135,14.066593408584595
10000,12.137,0.20649319646693723,0.01169730245882072,4189,865,49,4.927077293395996
15000,12.137,0.21244947453516572,0.010347615198059823,6185,1314,64,7.198040723800659
8000,12.137,0.20549927641099855,0.011287988422575976,3455,710,39,4.047306060791016
2000,12.134,0.19871106337271752,0.008592910848549946,931,185,8,1.2557413578033447
8000,12.137,0.2025099828864803,0.011694238448374215,3506,710,41,4.069045305252075
4000,12.138,0.20926339285714285,0.012834821428571428,1792,375,23,2.2210071086883545
8000,12.134,0.20252051582649472,0.011723329425556858,3412,691,40,4.0069334506988525
60000,12.138,0.19172015925895833,0.011456894450312831,24614,4719,282,27.919291019439697
8000,12.138,0.19931467732724156,0.011707595659623073,3502,698,41,4.072251558303833
15000,12.139,0.19397242705995513,0.009778775248477076,6238,1210,61,7.255247116088867
1000,12.137,0.2534246575342466,0.00228310502283105,438,111,1,0.8626582622528076
2000,12.135,0.2067099567099567,0.008658008658008658,924,191,8,1.2894861698150635
40000,12.134,0.20317694865164387,0.010343553749538234,16242,3300,168,18.76587700843811
6000,12.135,0.19728155339805825,0.008932038834951457,2575,508,23,3.0963523387908936
1000,12.139,0.21846846846846846,0.02027027027027027,444,97,9,0.8147470951080322
15000,12.138,0.1989795918367347,0.009088010204081632,6272,1248,57,7.2345192432403564
10000,12.138,0.196903725205612,0.010401548137397194,4134,814,43,4.943779468536377
15000,12.137,0.20135135135135135,0.011486486486486487,5920,1192,68,7.24668025970459
15000,12.137,0.19039117026456745,0.00925174484661581,6161,1173,57,7.233357667922974
6000,12.131,0.2066892145809846,0.010146561443066516,2661,550,27,3.2023990154266357
2000,12.137,0.18546637744034708,0.007592190889370932,922,171,7,1.2235918045043945
8000,12.139,0.19750637574383678,0.011051289317086993,3529,697,39,4.064158201217651
3000,12.131,0.2024062278839349,0.009200283085633405,1413,286,13,1.6984474658966064
12000,12.131,0.20363917924893535,0.012001548586914441,5166,1052,62,5.858186721801758
6000,12.137,0.19984538074990335,0.010050251256281407,2587,517,26,3.113323211669922
12000,12.137,0.18389113644722324,0.010297903641044501,5438,1000,56,5.88994836807251
4000,12.137,0.2114441416893733,0.011444141689373298,1835,388,21,2.22023868560791
1500,12.137,0.17884615384615385,0.011538461538461539,520,93,6,1.065448522567749
6000,12.134,0.17344827586206896,0.00896551724137931,2900,503,26,3.103585720062256
8000,12.131,0.2092238470191226,0.009280089988751405,3556,744,33,4.044563055038452
1000,12.131,0.19148936170212766,0.004728132387706856,423,81,2,0.767289400100708
3000,12.134,0.1943231441048035,0.013828238719068414,1374,267,19,1.6848082542419434
1000,12.131,0.19123505976095617,0.00597609561752988,502,96,3,0.834017276763916
4000,12.133,0.2087047718930257,0.013109596224436287,1907,398,25,2.2850441932678223
4000,12.135,0.18588362068965517,0.011853448275862068,1856,345,22,2.152021884918213
6000,12.133,0.23045930701047543,0.009266720386784852,2482,572,23,3.142775297164917
4000,12.137,0.19757174392935983,0.008830022075055188,1812,358,16,2.200584888458252
3000,12.131,0.22453889334402566,0.010425020048115477,1247,280,13,1.7562503814697266
1000,12.137,0.15659955257270694,0.008948545861297539,447,70,4,0.868537187576294
3000,12.134,0.20839469808541974,0.009572901325478646,1358,283,13,1.7554144859313965
60000,12.133,0.19912591050988554,0.011945889698231009,24025,4784,287,27.99386501312256
6000,12.133,0.1871301775147929,0.011464497041420118,2704,506,31,3.1387388706207275
30000,12.135,0.19664306737729695,0.009943520801845518,12571,2472,125,14.06914734840393
12000,12.131,0.1919819311123659,0.012234142668925278,5313,1020,65,5.87572717666626
40000,12.133,0.1964555737010827,0.00985906973930926,16533,3248,163,18.750028371810913
6000,12.134,0.19224981188863807,0.012039127163280662,2658,511,32,3.0616648197174072
1500,12.134,0.1973392461197339,0.004434589800443459,451,89,2,0.9549777507781982
3000,12.131,0.19484046164290564,0.011541072640868975,1473,287,17,1.7171552181243896
40000,12.134,0.19771507054563617,0.010113622175053065,16018,3167,162,18.83307933807373
8000,12.131,0.20297029702970298,0.008044554455445545,3232,656,26,4.0266053676605225
2000,12.13,0.17422434367541767,0.007159904534606206,838,146,6,1.3062686920166016
40000,12.13,0.19807462404832316,0.011703265588623923,15893,3148,186,18.848787307739258
30000,12.137,0.19402985074626866,0.011468083312252297,11859,2301,136,14.176850318908691
22000,12.13,0.19210174029451138,0.008143685854529228,8964,1722,73,10.47400188446045
8000,12.137,0.21086359475129693,0.009459871833994507,3277,691,31,4.0433361530303955
40000,12.134,0.19638014756889702,0.010910008198272057,15857,3114,173,18.728262424468994
2000,12.137,0.1714898177920686,0.013933547695605574,933,160,13,1.2684836387634277
12000,12.131,0.2029188324670132,0.010395841663334666,5002,1015,52,5.86726713180542
15000,12.134,0.20576955144238787,0.011172252793063199,5997,1234,67,7.288607120513916
60000,12.13,0.20040286113623285,0.0100304201266135,24326,4875,244,27.936589241027832
60000,12.139,0.19698148436284424,0.011747316010580364,25708,5064,302,28.013638257980347
3000,12.143,0.1991404011461318,0.010744985673352435,1396,278,15,1.739769458770752
2000,12.14,0.2054794520547945,0.009483667017913594,949,195,9,1.2654542922973633
60000,12.139,0.20294093417909218,0.012315676744377627,24278,4927,299,28.022253274917603
12000,12.14,0.2007992007992008,0.009790209790209791,5005,1005,49,5.853358268737793
10000,12.144,0.18816425120772948,0.00966183574879227,4140,779,40,4.959792375564575
4000,12.139,0.20436628259551243,0.010309278350515464,1649,337,17,2.11370587348938
10000,12.139,0.2075426375210185,0.011289935142925775,4163,864,47,4.9606523513793945
30000,12.141,0.20242243238758917,0.011365521818483491,12054,2440,137,14.081139326095581
4000,12.143,0.18869994514536478,0.013165112452002194,1823,344,24,2.180986166000366
12000,12.139,0.20794623443368254,0.010674046254200435,5059,1052,54,5.859795808792114
1500,12.139,0.21806167400881057,0.0,454,99,0,1.1045019626617432
6000,12.14,0.2059487951807229,0.01016566265060241,2656,547,27,3.1427407264709473
10000,12.143,0.1922803694056358,0.008524745441629173,4223,812,36,4.9621148109436035
4000,12.144,0.19129500268672756,0.00967221923696937,1861,356,18,2.1978626251220703
2000,12.143,0.2,0.014893617021276596,940,188,14,1.3017878532409668
6000,12.139,0.21364522417153997,0.01364522417153996,2565,548,35,3.1220688819885254
12000,12.139,0.19738751814223512,0.012647729628861704,4823,952,61,5.838338136672974
22000,12.14,0.20619250617006957,0.008862463540498093,8914,1838,79,10.461212873458862
1000,12.14,0.17647058823529413,0.012605042016806723,476,84,6,0.8822891712188721
22000,12.139,0.2052695402932422,0.011244625730349466,9071,1862,102,10.410966873168945
22000,12.14,0.19840556927913766,0.009993262968785088,8906,1767,89,10.393216609954834
3000,12.139,0.2120253164556962,0.011075949367088608,1264,268,14,1.7140648365020752
1500,12.14,0.16630669546436286,0.004319654427645789,463,77,2,1.117203712463379
12000,12.141,0.1825028968713789,0.011780610274237158,5178,945,61,5.847855806350708
10000,12.14,0.1931310279934133,0.013643848506233828,4251,821,58,4.902021169662476
4000,12.139,0.1932633903920486,0.009387078961899503,1811,350,17,2.2275898456573486
22000,12.14,0.20052683569311822,0.010097684118099002,9111,1827,92,10.43665361404419
10000,12.143,0.1880244953504196,0.011340440009072352,4409,829,50,4.894798278808594
3000,12.139,0.18136908962597037,0.009174311926605505,1417,257,13,1.6938421726226807
3000,12.144,0.22109826589595374,0.0072254335260115606,1384,306,10,1.800992488861084
10000,12.14,0.1820050239780772,0.009819593514501028,4379,797,43,5.016390562057495
22000,12.143,0.20476779489486113,0.01090745530192286,8893,1821,97,10.42709469795227
1000,12.139,0.18238993710691823,0.014675052410901468,477,87,7,0.8267674446105957
40000,12.138,0.19490136570561456,0.010561456752655539,16475,3211,174,18.841023445129395
30000,12.135,0.199916142557652,0.011823899371069183,11925,2384,141,14.066536664962769
40000,12.141,0.20502803856089724,0.010522336336714762,15871,3254,167,18.77182626724243
15000,12.139,0.19520264681555005,0.011083540115798181,6045,1180,67,7.2570624351501465
30000,12.144,0.1987376463748858,0.011959139606344989,12041,2393,144,14.18932032585144
10000,12.143,0.19837758112094395,0.010816125860373648,4068,807,44,4.972366094589233
22000,12.143,0.19554215570151826,0.010660062452891137,9287,1816,99,10.455758094787598
15000,12.14,0.19970462750246143,0.010338037413849688,6094,1217,63,7.285748481750488
1000,12.141,0.21252796420581654,0.006711409395973154,447,95,3,0.8348639011383057
1500,12.139,0.17225950782997762,0.013422818791946308,447,77,6,1.0307645797729492
60000,12.138,0.19973108421953306,0.011164079370900052,24543,4902,274,27.983189821243286
6000,12.141,0.19640179910044978,0.009370314842578711,2668,524,25,3.1407735347747803
60000,12.144,0.20603140317354823,0.011589266428512088,24074,4960,279,27.940240621566772
6000,12.143,0.19831868551776843,0.007642338555598013,2617,519,20,3.069286584854126
6000,12.143,0.20046801872074882,0.0074102964118564745,2564,514,19,3.148872137069702
8000,12.143,0.19097429766885834,0.011655708308427973,3346,639,39,4.030555963516235
4000,12.143,0.18897185525560023,0.00861573808156232,1741,329,15,2.1767070293426514
3000,12.143,0.20588235294117646,0.008513931888544891,1292,266,11,1.776454210281372
15000,12.143,0.19752270850536746,0.00990916597853014,6055,1196,60,7.223901748657227
1500,12.141,0.2036613272311213,0.013729977116704805,437,89,6,1.0750315189361572
1000,12.143,0.17894736842105263,0.004210526315789474,475,85,2,0.7850418090820312
2000,12.141,0.19743863393810032,0.011739594450373533,937,185,11,1.253086805343628
30000,12.143,0.19864446489833487,0.012132875909965693,11951,2374,145,14.114180326461792
6000,12.144,0.18922108575924468,0.011801730920535013,2542,481,30,3.191162347793579
22000,12.143,0.19681266020283072,0.010030090270812437,8973,1766,90,10.480061769485474
1500,12.143,0.2178649237472767,0.006535947712418301,459,100,3,0.9670774936676025
2000,12.143,0.17790055248618786,0.0077348066298342545,905,161,7,1.2412352561950684
