"Freq [GHz]","mag(St(feedline_T1,feedline_T1)) []","mag(St(feedline_T2,feedline_T1)) []"
1.2,0.260398798818267,0.954569085828034
1.202,0.259345928846795,0.954833261233709
1.204,0.258287226855657,0.955097657170144
1.206,0.257222699041435,0.955362258188832
1.208,0.256152351650602,0.955627048659545
1.21,0.255076190981594,0.955892012771306
1.212,0.253994223386894,0.956157134533411
1.214,0.252906455275145,0.956422397776472
1.216,0.251812893113293,0.956687786153515
1.218,0.25071354342874,0.956953283141101
1.22,0.249608412811533,0.957218872040486
1.222,0.248497507916562,0.957484535978815
1.224,0.247380835465787,0.957750257910349
1.226,0.24625840225047,0.958016020617722
1.228,0.245130215133444,0.958281806713232
1.23,0.24399628105138,0.958547598640161
1.232,0.24285660701708,0.958813378674125
1.234,0.241711200121782,0.959079128924454
1.236,0.240560067537479,0.959344831335601
1.238,0.239403216519255,0.959610467688575
1.24,0.238240654407622,0.959876019602409
1.242,0.237072388630882,0.960141468535644
1.244,0.235898426707493,0.960406795787851
1.246,0.234718776248439,0.960671982501171
1.248,0.233533444959626,0.960937009661882
1.25,0.232342440644266,0.961201858101989
1.252,0.231145771205283,0.961466508500845
1.254,0.229943444647722,0.961730941386788
1.256,0.228735469081159,0.961995137138808
1.258,0.227521852722127,0.962259075988228
1.26,0.226302603896539,0.962522738020419
1.262,0.225077731042117,0.962786103176534
1.264,0.223847242710825,0.963049151255256
1.266,0.22261114757131,0.963311861914579
1.268,0.221369454411336,0.963574214673603
1.27,0.220122172140234,0.963836188914356
1.272,0.218869309791338,0.964097763883629
1.274,0.217610876524437,0.964358918694843
1.276,0.21634688162822,0.964619632329924
1.278,0.21507733452272,0.964879883641207
1.28,0.213802244761768,0.965139651353356
1.282,0.212521622035438,0.965398914065308
1.284,0.211235476172495,0.965657650252226
1.286,0.209943817142841,0.965915838267491
1.288,0.208646655059965,0.966173456344688
1.29,0.207344000183391,0.966430482599629
1.292,0.206035862921117,0.966686895032392
1.294,0.204722253832065,0.966942671529375
1.296,0.203403183628525,0.967197789865364
1.298,0.202078663178599,0.967452227705631
1.3,0.20074870350864,0.96770596260804
1.302,0.199413315805698,0.967958972025175
1.304,0.198072511419964,0.968211233306487
1.306,0.196726301867209,0.968462723700452
1.308,0.195374698831231,0.968713420356751
1.31,0.194017714166295,0.968963300328471
1.312,0.19265535989959,0.969212340574311
1.314,0.191287648233666,0.969460517960819
1.316,0.189914591548896,0.969707809264633
1.318,0.188536202405929,0.969954191174745
1.32,0.187152493548153,0.970199640294779
1.322,0.185763477904165,0.970444133145283
1.324,0.18436916859025,0.970687646166045
1.326,0.182969578912863,0.970930155718407
1.328,0.18156472237113,0.971171638087615
1.33,0.18015461265936,0.971412069485164
1.332,0.178739263669568,0.971651426051176
1.334,0.177318689494021,0.971889683856773
1.336,0.175892904427801,0.972126818906479
1.338,0.174461922971391,0.972362807140632
1.34,0.173025759833286,0.972597624437799
1.342,0.171584429932639,0.972831246617221
1.344,0.17013794840193,0.973063649441255
1.346,0.168686330589684,0.973294808617836
1.348,0.167229592063219,0.97352469980295
1.35,0.165767748611453,0.973753298603116
1.352,0.164300816247749,0.973980580577882
1.354,0.162828811212838,0.974206521242322
1.356,0.161351749977782,0.97443109606956
1.358,0.159869649247032,0.974654280493289
1.36,0.158382525961553,0.9748760499103
1.362,0.156890397302045,0.975096379683027
1.364,0.155393280692253,0.975315245142093
1.366,0.153891193802397,0.975532621588865
1.368,0.15238415455272,0.975748484298016
1.37,0.15087218111716,0.975962808520093
1.372,0.149355291927187,0.976175569484089
1.374,0.147833505675783,0.976386742400021
1.376,0.146306841321619,0.976596302461505
1.378,0.144775318093422,0.97680422484835
1.38,0.14323895549456,0.977010484729131
1.382,0.141697773307873,0.977215057263788
1.384,0.140151791600773,0.977417917606203
1.386,0.13860103073063,0.977619040906793
1.388,0.13704551135049,0.977818402315091
1.39,0.135485254415156,0.978015976982328
1.392,0.133920281187653,0.978211740064016
1.394,0.132350613246143,0.97840566672252
1.396,0.130776272491323,0.978597732129624
1.398,0.129197281154353,0.978787911469093
1.4,0.127613661805378,0.978976179939229
1.402,0.126025437362714,0.979162512755411
1.404,0.124432631102751,0.979346885152628
1.406,0.12283526667067,0.979529272388002
1.408,0.121233368092044,0.979709649743289
1.41,0.119626959785448,0.979887992527378
1.412,0.118016066576151,0.980064276078755
1.414,0.116400713711057,0.980238475767971
1.416,0.114780926874997,0.980410567000065
1.418,0.113156732208556,0.980580525216988
1.42,0.111528156327588,0.980748325899988
1.422,0.109895226344646,0.980913944571972
1.424,0.108257969892529,0.981077356799845
1.426,0.106616415150213,0.981238538196815
1.428,0.104970590871456,0.981397464424663
1.43,0.103320526416409,0.981554111195987
1.432,0.1016662517866,0.981708454276401
1.434,0.100007797663735,0.981860469486694
1.436,0.098345195452798,0.982010132704955
1.438,0.0966784773300188,0.982157419868643
1.44,0.0950076762963534,0.982302306976617
1.442,0.093332826237232,0.982444770091106
1.444,0.091653961989427,0.982584785339636
1.446,0.0899711194160504,0.982722328916887
1.448,0.0882843354908351,0.982857377086502
1.45,0.0865936483930543,0.982989906182817
1.452,0.0848990976146489,0.983119892612536
1.454,0.0832007240814235,0.983247312856318
1.456,0.0814985702904627,0.983372143470304
1.458,0.0797926804663345,0.98349436108755
1.46,0.0780831007391008,0.983613942419373
1.462,0.0763698793477097,0.983730864256618
1.464,0.0746530668730505,0.983845103470814
1.466,0.0729327165057587,0.983956637015241
