Timestamp,b1,U2
20260107_174740,44.02002639,-0.28
20260107_175216,53.3612767,-0.28
20260107_180137,86.96632716,-0.28
20260107_181203,99.72861477,-0.28
20260107_181704,99.87350082,-0.28
20260107_182743,107.6412686,-0.28
20251224_144819,41.46093754,-0.25
20251224_145254,62.30936724,-0.25
20251224_150102,82.69324498,-0.25
20251224_150934,103.2352084,-0.25
20251224_175711,53.90138492,-0.3
20251224_180919,84.33315541,-0.3
20251224_181339,102.0653041,-0.3
20251223_142531,34.25869171,-0.18
20251223_143329,60.86314517,-0.18
20251223_144635,83.56646067,-0.18
20251223_145237,96.92455323,-0.18
20251223_150033,109.9460314,-0.18
20251223_150438,120.6179799,-0.18
20251223_192919,37.56533416,-0.21
20251223_193638,60.9658419,-0.21
20251223_194955,82.52379255,-0.21
20251223_195354,101.0731846,-0.21
20251223_200839,143.6295982,-0.21
20251222_142532,23.1329716,-0.12
20251222_143229,66.03938796,-0.12
20251222_145548,90.00949832,-0.12
20251222_150242,107.0814658,-0.12
20251222_151117,115.3888335,-0.12
20251222_185258,31.83085898,-0.15
20251222_190012,63.1878724,-0.15
20251222_191539,84.47453984,-0.15
20251222_192232,96.81361581,-0.15
20251222_193035,129.2944158,-0.15
20251219_152324,13.99922409,-0.06
20251219_152848,28.01867398,-0.06
20251219_153648,82.46300551,-0.06
20251219_174546,15.02232486,-0.09
20251219_175228,30.10932038,-0.09
20251219_175909,45.48461104,-0.09
20251219_180433,76.46857449,-0.09
20251218_145950,9.202381516,0
20251218_150250,15.64617968,0
20251218_150947,81.05281483,0
20251218_174138,12.21836901,-0.03
20251218_174818,24.48722073,-0.03
20251218_175457,74.23344604,-0.03
20251217_165722,17.03965774,0.03
20251217_171011,81.95845545,0.03
