timestamp,RF_amplitude,method,n_sigma,split_x,left_points,right_points,peaks_total,peaks_left,peaks_right,combined_baseline_points,error
20260301_114719,-0.5,iterative_2.0,1.0,70.0,101,140,11,4,7,121,
20260301_201959,-0.5,iterative_2.0,1.0,71.5,104,137,10,5,5,132,
20260304_122046,-0.5,iterative_2.0,1.0,72.0,105,136,10,5,5,123,
20260305_181001,-0.5,iterative_2.0,1.0,71.5,104,137,10,4,6,133,
20260305_211334,-0.5,iterative_2.0,1.0,72.0,105,136,10,4,6,135,
20260301_084142,0.0,iterative_2.0,1.0,74.0,109,132,9,4,5,136,
20260301_211855,0.0,iterative_2.0,1.0,74.0,109,132,9,5,4,119,
20260302_142456,0.0,iterative_2.0,1.0,74.0,109,132,10,5,5,129,
20260305_032220,0.0,iterative_2.0,1.0,73.5,108,133,8,3,5,110,
20260306_222515,0.0,iterative_2.0,1.0,80.0,121,120,9,4,5,156,
20260228_130122,0.2,iterative_2.0,1.0,74.5,110,131,13,6,7,143,
20260301_134556,0.2,iterative_2.0,1.0,74.0,109,132,11,4,7,131,
20260302_191732,0.2,iterative_2.0,1.0,82.0,125,116,11,5,5,150,
20260302_200952,0.2,iterative_2.0,1.0,75.5,112,129,12,5,7,130,
20260304_161804,0.2,iterative_2.0,1.0,88.0,137,104,9,4,5,141,
20260304_182221,0.2,iterative_2.0,1.0,74.0,109,132,11,4,7,123,
20260228_120620,0.4,iterative_2.0,1.0,79.0,119,122,11,6,5,156,
20260301_034144,0.4,iterative_2.0,1.0,89.0,139,102,13,5,8,152,
20260301_181819,0.4,iterative_2.0,1.0,74.5,110,131,9,3,6,114,
20260305_125827,0.4,iterative_2.0,1.0,89.5,140,101,9,4,4,141,
20260302_132016,0.6,iterative_2.0,1.0,78.0,117,124,11,3,8,132,
20260302_161406,0.6,iterative_2.0,1.0,87.0,135,106,10,4,5,137,
20260303_173730,0.6,iterative_2.0,1.0,80.0,121,120,9,4,5,134,
20260304_172146,0.6,iterative_2.0,1.0,80.0,121,120,10,4,6,137,
20260305_041641,0.6,iterative_2.0,1.0,80.0,121,120,10,4,6,125,
20260305_083539,0.6,iterative_2.0,1.0,80.0,121,120,11,4,7,135,
20260301_003936,0.8,iterative_2.0,1.0,80.0,121,120,8,3,5,118,
20260301_073606,0.8,iterative_2.0,1.0,91.5,144,97,9,4,5,140,
20260301_104215,0.8,iterative_2.0,1.0,91.0,143,98,8,4,4,142,
20260303_123925,0.8,iterative_2.0,1.0,80.0,121,120,9,4,5,121,
20260303_134853,0.8,iterative_2.0,1.0,85.0,131,110,12,6,6,117,
20260301_191810,1.0,iterative_2.0,1.0,80.0,121,120,9,4,5,127,
20260304_232147,1.0,iterative_2.0,1.0,87.0,135,106,15,7,7,125,
20260305_012201,1.0,iterative_2.0,1.0,80.0,121,120,11,7,4,131,
20260305_073245,1.0,iterative_2.0,1.0,80.0,121,120,10,7,3,117,
20260306_124417,1.0,iterative_2.0,1.0,80.0,121,120,22,11,11,129,
20260303_060535,1.2,iterative_2.0,1.0,80.0,121,120,13,9,4,116,
20260304_131534,1.2,iterative_2.0,1.0,80.0,121,120,8,5,3,99,
20260304_221844,1.2,iterative_2.0,1.0,66.5,94,147,12,6,6,144,
20260305_022046,1.2,iterative_2.0,1.0,80.0,121,120,10,6,4,112,
20260305_104210,1.2,iterative_2.0,1.0,80.0,121,120,12,8,4,116,
20260301_171536,1.4,iterative_2.0,1.0,80.0,121,120,13,7,6,127,
20260301_231157,1.4,iterative_2.0,1.0,91.0,143,98,9,4,4,149,
20260306_072251,1.4,iterative_2.0,1.0,88.5,138,103,14,6,8,112,
20260306_144615,1.4,iterative_2.0,1.0,88.5,138,103,25,12,12,146,
20260307_022952,1.4,iterative_2.0,1.0,94.5,150,91,11,5,5,158,
20260301_053620,1.6,iterative_2.0,1.0,80.5,122,119,9,5,4,151,
20260305_150327,1.6,iterative_2.0,1.0,80.0,121,120,8,4,4,162,
20260305_200855,1.6,iterative_2.0,1.0,89.5,140,101,9,4,4,115,
20260305_231551,1.6,iterative_2.0,1.0,86.5,134,107,24,12,12,161,
20260306_093543,1.6,iterative_2.0,1.0,79.5,120,121,17,9,7,148,
20260228_135624,1.8,iterative_2.0,1.0,93.5,148,93,7,3,3,134,
20260301_043702,1.8,iterative_2.0,1.0,81.5,124,117,7,4,3,153,
20260305_190347,1.8,iterative_2.0,1.0,86.5,134,107,11,5,5,161,
20260306_104227,1.8,iterative_2.0,1.0,80.0,121,120,13,9,4,153,
20260306_201839,1.8,iterative_2.0,1.0,80.5,122,119,10,5,5,139,
20260228_145604,2.0,iterative_2.0,1.0,70.0,101,140,10,6,4,146,
20260304_151509,2.0,iterative_2.0,1.0,81.5,124,117,10,6,4,142,
20260305_051644,2.0,iterative_2.0,1.0,89.0,139,102,9,4,4,169,
20260305_160456,2.0,iterative_2.0,1.0,100.5,162,79,9,4,4,148,
20260306_160413,2.0,iterative_2.0,1.0,80.5,122,119,14,7,7,143,
20260301_093910,2.2,iterative_2.0,1.0,70.0,101,140,10,5,5,154,
20260302_230304,2.2,iterative_2.0,1.0,82.0,125,116,6,3,3,157,
20260305_062330,2.2,iterative_2.0,1.0,81.0,123,118,11,6,5,134,
20260306_082435,2.2,iterative_2.0,1.0,88.0,137,104,12,6,6,131,
20260306_181251,2.2,iterative_2.0,1.0,85.0,131,110,7,3,3,145,
20260228_234147,2.5,iterative_2.0,1.0,84.0,129,112,13,7,6,167,
20260301_124659,2.5,iterative_2.0,1.0,83.5,128,113,8,5,3,159,
20260302_220140,2.5,iterative_2.0,1.0,87.0,135,106,9,4,4,146,
20260303_183739,2.5,iterative_2.0,1.0,103.0,167,74,8,4,4,144,
20260306_191701,2.5,iterative_2.0,1.0,83.5,128,113,8,4,4,143,
20260228_194454,3.0,iterative_2.0,1.0,88.0,137,104,9,5,4,164,
20260302_210248,3.0,iterative_2.0,1.0,86.0,133,108,8,4,4,140,
20260306_062252,3.0,iterative_2.0,1.0,86.0,133,108,13,7,6,140,
20260306_114417,3.0,iterative_2.0,1.0,86.0,133,108,17,12,5,155,
