timestamp,mode,U2,RF_amplitude,line_id,rep,min_scan,max_scan,n_peaks_L,n_peaks_R,r2_L,r2_R,aicc_L,aicc_R,c0_L,c0_R,amp1_L,mu1_L,sigma1_L,amp2_L,mu2_L,sigma2_L,amp3_L,mu3_L,sigma3_L,amp4_L,mu4_L,sigma4_L,amp5_L,mu5_L,sigma5_L,amp6_L,mu6_L,sigma6_L,amp7_L,mu7_L,sigma7_L,amp8_L,mu8_L,sigma8_L,amp9_L,mu9_L,sigma9_L,amp1_R,mu1_R,sigma1_R,amp2_R,mu2_R,sigma2_R,amp3_R,mu3_R,sigma3_R,amp4_R,mu4_R,sigma4_R,amp5_R,mu5_R,sigma5_R,amp6_R,mu6_R,sigma6_R,amp7_R,mu7_R,sigma7_R,amp8_R,mu8_R,sigma8_R,amp9_R,mu9_R,sigma9_R,RF_setpoint_dBm,RF_act_trimmed_dBm
20260304_122046,lost,-0.35,-0.5,0,2,20.0,140.0,8,7,0.9902935227692871,0.9546373544304225,-1291.7517396679505,-1753.5231242355069,0.014624842864698345,0.01489084891611676,0.04640309454363729,44.419615741309364,1.4561309598650305,0.04823703835307641,50.40672616853991,0.5848563173433404,0.01813927874137498,61.0965729308922,0.5000000000000001,0.02769424392856312,41.53443322162535,1.806984515806058,0.01576002365001667,52.114139925889,1.3239389566379258,0.012110634701704074,37.567276663541875,3.0001897488410263,0.012832265208564581,48.01689509236028,0.5000000000000001,0.0020050522330878847,20.066713447831383,24.41142701750099,,,,0.035388635758218955,96.10892596354444,0.5154385485729047,0.012563679854707974,101.63717473405669,1.2163011547865865,0.022043607373268836,122.80795261000227,0.5000000000000001,0.009344923000563266,82.1498611963779,3.763495476111747,0.010063806970665645,94.64851511265853,1.4431404884424122,0.005192730404036101,105.43591720556131,1.5620371719553696,0.0028656736294595054,112.78677491428489,0.8893733869967908,,,,,,,-0.5,9.93139896373057
20260304_122046,trapped,-0.35,-0.5,0,2,20.0,140.0,6,8,0.9681876975311698,0.9308711995025777,-1176.9108747374469,-1668.8722133826684,0.05832260750326612,0.11244340422570324,-0.044298406217109045,44.00201400920964,1.7880373489542891,-0.0514080467284514,50.43318957693878,0.5902205979096911,-0.031076837184898686,61.03050193764129,0.5000000000000001,-0.0219169385829076,40.51971929345748,3.377230736509594,-0.015127463315634776,52.00122731216376,1.3213524930944205,-0.01229486204414957,48.01634612535651,0.5000000000000541,,,,,,,,,,-0.01119257346508981,81.51694918857638,4.829493656629555,-0.04196126067419737,96.15014780913948,0.5000000000000001,-0.013720043283850234,101.26928972173621,1.1279784625779294,-0.03178073156320538,122.85621357972339,0.5000000000000001,-0.014462341588698184,94.80740931884111,0.5000000000000001,-0.007936292791163953,105.54597786671336,1.2289829351352501,-0.005171803266539094,92.79711630785019,1.0729059005255965,-0.055948079196584476,139.99999999999997,163.2324989746964,,,,-0.5,9.93139896373057
20260305_181001,lost,-0.35,-0.5,0,3,20.0,140.0,7,9,0.9913904629839546,0.9697748766852845,-1266.7332377205962,-1772.220048301566,0.01577182065597863,0.01546276278000704,0.025528971704202322,40.1623002861839,3.2573706370673166,0.053104400009152515,50.39842644504293,0.6374201138254842,0.018433172349181726,61.15524136033465,0.5000000000000001,0.05573775191435243,43.89405770880513,1.7295665433832315,0.015249466535432197,52.196733037455544,1.3043571731257801,0.015057808597118097,47.940931658737526,0.5000000000000001,0.002136193060189455,31.40274723147126,8.605722509165156,,,,,,,0.04611903750744683,96.12224901994007,0.5000000000000001,0.014117594090311556,101.11157470055343,0.8990737602830232,0.01811748858519551,122.61761472578553,0.5000000000000001,0.009277875146951926,80.86679390241858,3.0658612011682624,0.011381287249557883,94.76778962545748,0.815977360040532,0.007291694643314039,105.74917201437796,1.1242533651960356,0.003128775113628383,88.7750642661872,5.976947931366183,0.004082881989224838,123.97403403038395,0.5000000000000001,0.004702597075406056,103.2368138530905,0.5000000000000001,-0.5,9.93121761658031
20260305_181001,trapped,-0.35,-0.5,0,3,20.0,140.0,5,7,0.9681578067583705,0.8705151021564774,-1148.3651547975865,-1583.364501247281,0.06764570896057355,0.06657557198607135,-0.027267871230729598,40.951322030412705,3.941178231658639,-0.052330977228776554,50.376531819770534,0.5330548079523908,-0.03663599002585793,61.10480677580229,0.5000000000000001,-0.04514645856800146,43.81762912818746,1.6159127640913775,-0.014549263391070441,51.35358755895432,2.982233955591707,,,,,,,,,,,,,-0.04399089347139515,96.10183492637668,0.5000000000000001,-0.014812535582271137,100.85175731515109,0.9957126605087128,-0.031252966136301845,122.71060950775623,0.5000000000000001,-0.010169482053810396,82.18373321660236,4.534679814784299,-0.00930336947253904,94.0186138078653,1.681993296604683,-0.006964434227824109,104.97178968002844,3.2400191350503422,-0.0039043221236893227,130.4103354051414,11.244804131252337,,,,,,,-0.5,9.93121761658031
20260305_211334,lost,-0.35,-0.5,0,4,20.0,140.0,7,8,0.9912391134329858,0.9364136852790917,-1278.1973937126522,-1675.602966187223,0.015745760609461118,0.014947246667766872,0.02027261098389275,45.203013346681544,0.9822984108947739,0.05903398597759333,50.32229072751567,0.5970115503198875,0.018904325898712018,60.98833691288443,0.5000000000000001,0.04094920826719221,43.70649322690676,1.8657981879406638,0.016939410709649202,52.366109300523995,0.9848613869187053,0.023909662831856634,40.42623220367187,3.8028371057712094,0.01294419680935694,48.27045558509037,0.5000000000000265,,,,,,,0.010265413593258955,81.60238863011281,3.48754874872624,0.046281515459846934,96.35672871484881,0.5000000000000001,0.017872591674485926,101.10530088328531,1.037203736921798,0.013775516866842336,122.5121060257376,0.5012636170351912,0.014197057238420546,95.0779110473454,0.5000000000000001,0.006647823753426107,105.6225051703917,1.5358960844128853,0.0028655257779767007,92.1239403637118,2.3749782614482204,0.002468384685791306,125.19999398664545,4.281721187803746,,,,-0.5,9.914735751295336
20260305_211334,trapped,-0.35,-0.5,0,4,20.0,140.0,6,8,0.9729277175390268,0.8910794400542912,-1167.1656721064512,-1591.7259570481544,0.0824292447779456,0.06415580697129442,-0.0466771607498239,44.13746975053423,1.6909238541742453,-0.05151286946695783,50.34579738795968,0.5233043290709104,-0.03487237103583515,60.9919525927586,0.5000000000000001,-0.025301487500218517,41.16521531143651,3.879288713139085,-0.01750082114777032,51.29865242606031,1.54923447484772,-0.016404667842723916,60.78205119183342,57.98071875807536,,,,,,,,,,-0.008193167651953843,81.84417221096686,2.5414999567041585,-0.0446419700508786,96.3568633814529,0.5000000000000001,-0.019481041578973474,100.48041245255801,0.5000000000000001,-0.02726603858035792,122.53508063814563,0.5000000000008984,-0.01121522166194673,101.87017286911868,0.5000000000000001,-0.0071631999293567845,94.34644890663172,1.0472026395497513,-0.008502714616206507,106.9152284196957,0.5000000000000001,-0.006522538136124252,103.8716799081122,1.057667508582352,,,,-0.5,9.914735751295336
20260302_142456,lost,-0.35,0.0,0,2,20.0,140.0,5,7,0.9891717185139294,0.9461326166211972,-1290.8690566365785,-1579.6670801213959,0.017731359297545893,0.018566005849741923,0.03790073102840663,46.67043396861626,1.3630287423922107,0.0527135389821688,51.09935298513901,0.9127314170960499,0.024241625899787053,64.50751651516885,0.5000000000000001,0.026530021304755864,44.00626315126378,6.23630350615007,0.025159219388367817,44.192712199341074,1.9564132812880048,,,,,,,,,,,,,0.04807190575623264,99.32268193877998,0.5000000000000001,0.0470922064540024,101.93100288754495,0.5000000000000001,0.02943350503146636,129.58700322810134,0.5044917175553587,0.005194468905313807,88.32725602318322,4.812377386419358,0.012536987449293371,103.98575283712216,0.7724084140642751,0.010060384722784511,97.8196714868304,0.9539547692804033,0.006760664896050209,80.67414446003093,1.7436789021428563,,,,,,,0.0,10.268761658031089
20260302_142456,trapped,-0.35,0.0,0,2,20.0,140.0,6,6,0.9783823434664748,0.885876536193095,-1205.3606224833716,-1492.2386750245628,0.07554182365151389,0.06974760480276256,-0.01986022182755787,47.03443521410054,0.7392397613534817,-0.03688958372883485,45.458148713026304,1.8382537236678378,-0.045805683530516894,64.55241281393373,0.5000000000000001,-0.05496249035243648,51.132971819626995,0.9029657586585661,-0.028730298529308952,43.49310498281638,5.759582527056773,-0.005802881575806486,56.762924639131306,13.712049839373432,,,,,,,,,,-0.005322665429033351,82.82931522222326,5.074321341067785,-0.04485549639653796,99.345832190385,0.5000000000000001,-0.033021701400844095,129.68100581487207,0.5399876625470109,-0.045309589287468977,101.89172540885498,0.5000000000000001,-0.014330316975085248,103.90428465293789,0.6925227570358489,-0.00899569075813371,97.45627408634942,0.9772907970099601,,,,,,,,,,0.0,10.268761658031089
20260305_032220,lost,-0.35,0.0,0,3,20.0,140.0,6,8,0.9934484937722492,0.9603439011684013,-1289.6208674931524,-1593.6717562498607,0.01726643964013944,0.017438598912452974,0.06613679896328503,51.18876801333454,1.08398795712548,0.020991955798011955,64.85524613125351,0.5000000000000001,0.03187397713537316,49.478510166112734,0.5037423012330898,0.031564653072825404,43.781125018973334,5.228091030341301,0.04211529620006143,46.118318261188854,1.7846781335135746,0.02844417726323162,48.00254636620736,0.6610612593311044,,,,,,,,,,0.04202026839057963,99.83568687592147,0.8303761599126135,0.061096318187098306,102.47762243123852,0.5000000000000001,0.013452373640315917,116.0245434171764,0.5000000000000001,0.02528832958038093,129.9897126569005,0.5000000000000001,0.02269578590650286,104.20887187236033,0.5416039155734012,0.007261880421053971,97.1925494236564,0.8029919685412995,0.0065236807247588706,81.22436143678739,1.5728404256656139,0.004921908217532739,89.42944697606066,4.4957680991078215,,,,0.0,10.345875647668393
20260305_032220,trapped,-0.35,0.0,0,3,20.0,140.0,6,7,0.9873706179102195,0.9152816888420734,-1218.99136358218,-1494.1072187934585,0.08148782273432938,0.07946501372315345,-0.035151661492878815,49.642277762212345,0.5000000000221737,-0.052683694780070504,64.94441889295109,0.5000000000000001,-0.06838412445394937,51.41606959598105,0.8416132824836007,-0.03209428777369026,44.8078897744511,5.278285977632112,-0.02781927355709829,48.111300354412094,0.755723950357912,-0.033618591760336713,46.14154625994224,2.0841370265666206,,,,,,,,,,-0.024436767230404853,104.17983189950789,0.5000000000000756,-0.03769839867672976,99.88324096745484,0.8760218850367435,-0.003220466434381393,129.27548206843724,1.415669299558415,-0.01242410714665989,116.11922767258649,0.5000000000000001,-0.03624920327335853,130.03985806710685,0.5000000000000001,-0.057949252191919716,102.46072583414936,0.5000000000000001,-0.003650021796332532,87.73084259524622,5.494966411688987,,,,,,,0.0,10.345875647668393
