timestamp,RF_amplitude,method,n_sigma,split_x,left_points,right_points,peaks_total,peaks_left,peaks_right,combined_baseline_points,error
20260301_114719,-0.5,iterative_2.5,1.0,70.5,102,139,11,4,7,133,
20260301_201959,-0.5,iterative_2.5,1.0,71.5,104,137,10,5,5,138,
20260304_122046,-0.5,iterative_2.5,1.0,72.5,106,135,10,5,5,136,
20260305_181001,-0.5,iterative_2.5,1.0,73.0,107,134,10,4,6,152,
20260305_211334,-0.5,iterative_2.5,1.0,72.0,105,136,10,4,6,141,
20260301_084142,0.0,iterative_2.5,1.0,74.0,109,132,9,4,5,141,
20260301_211855,0.0,iterative_2.5,1.0,74.5,110,131,9,5,4,140,
20260302_142456,0.0,iterative_2.5,1.0,74.0,109,132,10,5,5,160,
20260305_032220,0.0,iterative_2.5,1.0,77.0,115,126,8,3,5,161,
20260306_222515,0.0,iterative_2.5,1.0,80.0,121,120,9,4,5,165,
20260228_130122,0.2,iterative_2.5,1.0,74.5,110,131,13,6,7,155,
20260301_134556,0.2,iterative_2.5,1.0,76.0,113,128,11,4,7,155,
20260302_191732,0.2,iterative_2.5,1.0,76.5,114,127,11,5,6,163,
20260302_200952,0.2,iterative_2.5,1.0,75.5,112,129,12,5,7,143,
20260304_161804,0.2,iterative_2.5,1.0,87.0,135,106,9,4,5,151,
20260304_182221,0.2,iterative_2.5,1.0,75.5,112,129,11,4,7,147,
20260228_120620,0.4,iterative_2.5,1.0,79.0,119,122,11,6,5,163,
20260301_034144,0.4,iterative_2.5,1.0,80.0,121,120,13,4,9,154,
20260301_181819,0.4,iterative_2.5,1.0,79.0,119,122,9,3,6,146,
20260305_125827,0.4,iterative_2.5,1.0,89.5,140,101,9,4,4,148,
20260302_132016,0.6,iterative_2.5,1.0,80.0,121,120,11,3,8,139,
20260302_161406,0.6,iterative_2.5,1.0,87.5,136,105,10,5,5,146,
20260303_173730,0.6,iterative_2.5,1.0,80.0,121,120,9,4,5,137,
20260304_172146,0.6,iterative_2.5,1.0,88.5,138,103,10,5,5,148,
20260305_041641,0.6,iterative_2.5,1.0,91.5,144,97,10,4,5,142,
20260305_083539,0.6,iterative_2.5,1.0,80.0,121,120,11,4,7,141,
20260301_003936,0.8,iterative_2.5,1.0,80.0,121,120,8,3,5,140,
20260301_073606,0.8,iterative_2.5,1.0,87.0,135,106,9,4,5,152,
20260301_104215,0.8,iterative_2.5,1.0,82.0,125,116,8,4,4,152,
20260303_123925,0.8,iterative_2.5,1.0,80.0,121,120,9,4,5,134,
20260303_134853,0.8,iterative_2.5,1.0,80.5,122,119,12,6,6,133,
20260301_191810,1.0,iterative_2.5,1.0,80.0,121,120,9,4,5,144,
20260304_232147,1.0,iterative_2.5,1.0,87.0,135,106,15,7,7,150,
20260305_012201,1.0,iterative_2.5,1.0,80.0,121,120,11,7,4,147,
20260305_073245,1.0,iterative_2.5,1.0,65.0,91,150,10,5,5,164,
20260306_124417,1.0,iterative_2.5,1.0,80.0,121,120,22,11,11,137,
20260303_060535,1.2,iterative_2.5,1.0,66.5,94,147,13,7,6,165,
20260304_131534,1.2,iterative_2.5,1.0,80.0,121,120,8,5,3,154,
20260304_221844,1.2,iterative_2.5,1.0,66.5,94,147,12,6,6,168,
20260305_022046,1.2,iterative_2.5,1.0,80.0,121,120,10,6,4,130,
20260305_104210,1.2,iterative_2.5,1.0,80.0,121,120,12,8,4,153,
20260301_171536,1.4,iterative_2.5,1.0,80.0,121,120,13,7,6,167,
20260301_231157,1.4,iterative_2.5,1.0,91.0,143,98,9,4,4,164,
20260306_072251,1.4,iterative_2.5,1.0,93.5,148,93,14,6,7,121,
20260306_144615,1.4,iterative_2.5,1.0,88.5,138,103,25,12,12,183,
20260307_022952,1.4,iterative_2.5,1.0,94.5,150,91,11,5,5,172,
20260301_053620,1.6,iterative_2.5,1.0,81.5,124,117,9,5,4,179,
20260305_150327,1.6,iterative_2.5,1.0,81.0,123,118,8,4,4,174,
20260305_200855,1.6,iterative_2.5,1.0,89.5,140,101,9,4,4,154,
20260305_231551,1.6,iterative_2.5,1.0,86.5,134,107,24,12,12,163,
20260306_093543,1.6,iterative_2.5,1.0,79.5,120,121,17,9,7,163,
20260228_135624,1.8,iterative_2.5,1.0,93.5,148,93,7,3,3,161,
20260301_043702,1.8,iterative_2.5,1.0,82.5,126,115,7,4,3,174,
20260305_190347,1.8,iterative_2.5,1.0,86.5,134,107,11,5,5,165,
20260306_104227,1.8,iterative_2.5,1.0,81.5,124,117,13,9,4,160,
20260306_201839,1.8,iterative_2.5,1.0,80.5,122,119,10,5,5,171,
20260228_145604,2.0,iterative_2.5,1.0,70.0,101,140,10,6,4,156,
20260304_151509,2.0,iterative_2.5,1.0,83.0,127,114,10,6,4,160,
20260305_051644,2.0,iterative_2.5,1.0,89.0,139,102,9,4,4,176,
20260305_160456,2.0,iterative_2.5,1.0,100.5,162,79,9,4,4,165,
20260306_160413,2.0,iterative_2.5,1.0,82.0,125,116,14,7,7,157,
20260301_093910,2.2,iterative_2.5,1.0,70.5,102,139,10,5,5,165,
20260302_230304,2.2,iterative_2.5,1.0,82.0,125,116,6,3,3,169,
20260305_062330,2.2,iterative_2.5,1.0,81.5,124,117,11,6,5,150,
20260306_082435,2.2,iterative_2.5,1.0,88.0,137,104,12,6,6,153,
20260306_181251,2.2,iterative_2.5,1.0,85.0,131,110,7,3,3,151,
20260228_234147,2.5,iterative_2.5,1.0,85.0,131,110,13,7,5,172,
20260301_124659,2.5,iterative_2.5,1.0,71.0,103,138,8,4,4,164,
20260302_220140,2.5,iterative_2.5,1.0,87.0,135,106,9,4,4,164,
20260303_183739,2.5,iterative_2.5,1.0,103.0,167,74,8,4,4,156,
20260306_191701,2.5,iterative_2.5,1.0,84.5,130,111,8,4,4,158,
20260228_194454,3.0,iterative_2.5,1.0,88.0,137,104,9,5,4,172,
20260302_210248,3.0,iterative_2.5,1.0,73.5,108,133,8,3,5,159,
20260306_062252,3.0,iterative_2.5,1.0,86.0,133,108,13,7,6,153,
20260306_114417,3.0,iterative_2.5,1.0,86.0,133,108,17,12,5,172,
20260307_033603,3.0,iterative_2.5,1.0,92.5,146,95,9,4,4,149,
20260228_224123,3.6,iterative_2.5,1.0,75.5,112,129,10,4,6,170,
20260305_002326,3.6,iterative_2.5,1.0,88.5,138,103,16,10,6,173,
20260305_140338,3.6,iterative_2.5,1.0,89.0,139,102,9,6,3,152,
20260305_171134,3.6,iterative_2.5,1.0,96.0,153,88,11,5,5,176,
20260306_170850,3.6,iterative_2.5,1.0,86.0,133,108,12,6,6,138,
20260301_024050,4.3,iterative_2.5,1.0,92.5,146,95,11,6,5,169,
20260304_192109,4.3,iterative_2.5,1.0,90.5,142,99,14,9,5,158,
20260306_212322,4.3,iterative_2.5,1.0,91.0,143,98,13,7,6,162,
20260306_232551,4.3,iterative_2.5,1.0,40.5,42,199,14,4,10,146,
20260228_214115,5.0,iterative_2.5,1.0,80.5,122,119,11,6,5,173,
20260301_063442,5.0,iterative_2.5,1.0,93.0,147,94,9,7,2,168,
20260301_221132,5.0,iterative_2.5,1.0,94.5,150,91,7,6,1,152,
20260302_122008,5.0,iterative_2.5,1.0,94.5,150,91,7,4,3,167,
20260302_172124,5.0,iterative_2.5,1.0,93.0,147,94,9,6,3,171,
20260304_202210,5.0,iterative_2.5,1.0,93.5,148,93,12,8,4,169,
20260228_204102,6.0,iterative_2.5,1.0,97.0,155,86,11,6,5,174,
20260305_094000,6.0,iterative_2.5,1.0,96.0,153,88,11,8,3,152,
20260307_002532,6.0,iterative_2.5,1.0,60.0,81,160,12,5,7,166,
20260307_012920,6.0,iterative_2.5,1.0,97.0,155,86,11,7,3,174,
