wait_time,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
800,12.255,0.16614222781623664,0.007551919446192574,1589,264,12,5.594005107879639
800,12.255,0.17024041585445093,0.001949317738791423,1539,262,3,5.573700189590454
2400,12.25,0.07381776239907728,0.0028835063437139563,1734,128,5,11.903249979019165
200,12.25,0.19772879091516365,0.007348029392117568,1497,296,11,3.096536636352539
12000,12.245,0.0017751479289940828,0.005917159763313609,1690,3,10,50.292909383773804
1100,12.229,0.13381555153707053,0.004822182037371911,1659,222,8,6.7781617641448975
400,12.225,0.1797593772116065,0.005661712668082095,1413,254,8,3.988515615463257
300,12.229,0.18679775280898878,0.0049157303370786515,1424,266,7,3.52596116065979
1900,12.229,0.09260337798485731,0.0052417006406523005,1717,159,9,9.95656156539917
2400,12.224,0.07068223724646588,0.0043023970497848806,1627,115,7,11.917726039886475
1600,12.218,0.11677534084173088,0.006520450503852994,1687,197,11,8.709175825119019
5000,12.227,0.009506833036244802,0.0017825311942959,1683,16,3,22.322929620742798
3200,12.227,0.038135593220338986,0.003026634382566586,1652,63,5,15.174533367156982
1300,12.223,0.12587859424920128,0.0044728434504792336,1565,197,7,7.5448081493377686
4000,12.227,0.024303497332542976,0.004149377593360996,1687,41,7,18.315057277679443
50000,12.22,0.0005837711617046118,0.004670169293636894,1713,1,8,202.3329348564148
1900,12.209,0.06870705808869457,0.004996876951905059,1601,110,8,9.935454845428467
20000,12.212,0.0005934718100890207,0.002373887240356083,1685,1,4,82.30219912528992
35000,12.204,0.0024009603841536613,0.006602641056422569,1666,4,11,142.23017597198486
0,12.192,0.19207920792079208,0.0,1010,194,0,2.333061695098877
12000,12.192,0.0011947431302270011,0.004181600955794504,1674,2,7,50.322787046432495
1300,12.192,0.0998104864181933,0.008843967150979154,1583,158,14,7.541756629943848
20000,12.189,0.0006184291898577613,0.0074211502782931356,1617,1,12,82.24247097969055
4000,12.189,0.009169054441260744,0.0040114613180515755,1745,16,7,18.368907928466797
20000,12.191,0.0012507817385866166,0.0050031269543464665,1599,2,8,82.2884509563446
0,12.186,0.17953667953667954,0.0009652509652509653,1036,186,1,2.3337831497192383
500,12.192,0.1492220650636492,0.002828854314002829,1414,211,4,4.293574094772339
4800,12.195,0.0011621150493898896,0.007553747821034283,1721,2,13,21.540286779403687
1700,12.187,0.0653968253968254,0.0012698412698412698,1575,103,2,9.091587781906128
400,12.192,0.15946632782719186,0.009529860228716646,1574,251,15,3.9496381282806396
1300,12.192,0.08195754716981132,0.00294811320754717,1696,139,5,7.551809310913086
2400,12.192,0.021714285714285714,0.006285714285714286,1750,38,11,12.000633239746094
2800,12.188,0.0234375,0.011160714285714286,1792,42,20,13.558134317398071
3600,12.187,0.010632344711807499,0.004476776720761052,1787,19,8,16.765241622924805
600,12.196,0.1364190012180268,0.007308160779537149,1642,224,12,4.705397605895996
100,12.196,0.2055944055944056,0.0048951048951048955,1430,294,7,2.770303726196289
100,12.197,0.1829356471438901,0.0036153289949385392,1383,253,5,2.7589054107666016
4400,12.196,0.007584597432905484,0.007001166861143524,1714,13,12,19.966638565063477
12000,12.193,0.0005787037037037037,0.0028935185185185184,1728,1,5,50.29008889198303
4400,12.199,0.004801920768307323,0.006602641056422569,1666,8,11,19.944518327713013
