key,timestamp,data_type,fit_kind,model,sign_mode,status,param,Value,Sigma1,CI95_width,CI95_low,CI95_high,RF_set,RF_meas,score_AICc,score_R2
20251209_170328_lost_double,20251209_170328,lost,double,double_gaussian,peak,ok,amp1,0.00730570525777586,0.000495597070934474,0.000987071821444095,0.00631863343633177,0.00829277707921996,0,10.2495365853659,-686.763832495872,0.888008664845804
20251209_170328_lost_double,20251209_170328,lost,double,double_gaussian,peak,ok,amp2,0.00563955857711841,0.00109689521731302,0.00218466658417688,0.00345489199294153,0.00782422516129528,0,10.2495365853659,-686.763832495872,0.888008664845804
20251209_170328_lost_double,20251209_170328,lost,double,double_gaussian,peak,ok,base,0.00248198259992296,0.000367311820551111,0.000731568382891569,0.00175041421703139,0.00321355098281453,0,10.2495365853659,-686.763832495872,0.888008664845804
20251209_170328_lost_double,20251209_170328,lost,double,double_gaussian,peak,ok,center1,34.7335372860358,0.11624882976048,0.231530714893175,34.5020065711426,34.9650680009289,0,10.2495365853659,-686.763832495872,0.888008664845804
20251209_170328_lost_double,20251209_170328,lost,double,double_gaussian,peak,ok,center2,36.8346710032782,0.0562685504863936,0.112069065529177,36.722601937749,36.9467400688073,0,10.2495365853659,-686.763832495872,0.888008664845804
20251209_170328_lost_double,20251209_170328,lost,double,double_gaussian,peak,ok,sigma1,2.09560693120673,0.233343172253421,0.464745422371918,1.63086150883481,2.56035235357865,0,10.2495365853659,-686.763832495872,0.888008664845804
20251209_170328_lost_double,20251209_170328,lost,double,double_gaussian,peak,ok,sigma2,0.400000000000028,NaN,NaN,NaN,NaN,0,10.2495365853659,-686.763832495872,0.888008664845804
20251209_170328_lost_single,20251209_170328,lost,single,single_gaussian,peak,ok,amp1,0.0073627598298197,0.000438957336215208,0.000873655271988129,0.00648910455783157,0.00823641510180783,0,10.2495365853659,-662.701859886313,0.791092151183582
20251209_170328_lost_single,20251209_170328,lost,single,single_gaussian,peak,ok,base,0.00222187645418541,0.000376823285515671,0.000749990085226073,0.00147188636895934,0.00297186653941149,0,10.2495365853659,-662.701859886313,0.791092151183582
20251209_170328_lost_single,20251209_170328,lost,single,single_gaussian,peak,ok,center1,34.8878316637881,0.0891872600964234,0.177509096098611,34.7103225676895,35.0653407598867,0,10.2495365853659,-662.701859886313,0.791092151183582
20251209_170328_lost_single,20251209_170328,lost,single,single_gaussian,peak,ok,sigma1,2.36561933264368,0.206481745567728,0.410959905898725,1.95465942674496,2.77657923854241,0,10.2495365853659,-662.701859886313,0.791092151183582
20251209_170328_trapped_double,20251209_170328,trapped,double,double_gaussian,dip,ok,amp1,0.0185732274424042,0.0368096945461359,0.073340496423014,-0.0547672689806098,0.0919137238654182,0,10.2495365853659,-547.450184556343,0.873969707398562
20251209_170328_trapped_double,20251209_170328,trapped,double,double_gaussian,dip,ok,amp2,0.0171674477770449,0.0654434729768886,0.130391106336278,-0.113223658559233,0.147558554113323,0,10.2495365853659,-547.450184556343,0.873969707398562
20251209_170328_trapped_double,20251209_170328,trapped,double,double_gaussian,dip,ok,base,0.14103613507719,0.00233612199132799,0.00465454409935334,0.136381590977837,0.145690679176543,0,10.2495365853659,-547.450184556343,0.873969707398562
20251209_170328_trapped_double,20251209_170328,trapped,double,double_gaussian,dip,ok,center1,34.8663573150813,4.36421929159594,8.69537259928555,26.1709847157957,43.5617299143668,0,10.2495365853659,-547.450184556343,0.873969707398562
20251209_170328_trapped_double,20251209_170328,trapped,double,double_gaussian,dip,ok,center2,36.4319835392324,0.565602329482722,1.12691931116908,35.3050642280633,37.5589028504015,0,10.2495365853659,-547.450184556343,0.873969707398562
20251209_170328_trapped_double,20251209_170328,trapped,double,double_gaussian,dip,ok,sigma1,2.13191879534955,2.59198042075545,5.16432241888551,-3.03240362353596,7.29624121423506,0,10.2495365853659,-547.450184556343,0.873969707398562
20251209_170328_trapped_double,20251209_170328,trapped,double,double_gaussian,dip,ok,sigma2,1.39550675091518,1.39772912768856,2.78486820805053,-1.38936145713535,4.18037495896572,0,10.2495365853659,-547.450184556343,0.873969707398562
20251209_170328_trapped_single,20251209_170328,trapped,single,single_gaussian,dip,ok,amp1,0.0290683476256089,0.00182944644139352,0.00364114094122297,0.0254272066843859,0.0327094885668319,0,10.2495365853659,-549.891730836379,0.860185409553103
20251209_170328_trapped_single,20251209_170328,trapped,single,single_gaussian,dip,ok,base,0.140787898123437,0.00133640713391198,0.00265984650839127,0.138128051615046,0.143447744631828,0,10.2495365853659,-549.891730836379,0.860185409553103
20251209_170328_trapped_single,20251209_170328,trapped,single,single_gaussian,dip,ok,center1,35.6591782652456,0.0925892008684457,0.184279967081416,35.4748982981641,35.843458232327,0,10.2495365853659,-549.891730836379,0.860185409553103
20251209_170328_trapped_single,20251209_170328,trapped,single,single_gaussian,dip,ok,sigma1,2.12660160061412,0.187448853856965,0.373078807184989,1.75352279342913,2.49968040779911,0,10.2495365853659,-549.891730836379,0.860185409553103
20251209_171547_lost_double,20251209_171547,lost,double,double_gaussian,peak,ok,amp1,0.00216366128041622,0.00111968894294727,0.00223570217132264,-7.20408909064239e-05,0.00439936345173887,0,10.2725526315789,-605.165723808987,0.835385175384552
20251209_171547_lost_double,20251209_171547,lost,double,double_gaussian,peak,ok,amp2,0.00599362982833839,0.000931085637779236,0.00185911470786793,0.00413451512047046,0.00785274453620632,0,10.2725526315789,-605.165723808987,0.835385175384552
20251209_171547_lost_double,20251209_171547,lost,double,double_gaussian,peak,ok,base,0.00362362291883983,0.00025473360098417,0.000508630962569008,0.00311499195627082,0.00413225388140884,0,10.2725526315789,-605.165723808987,0.835385175384552
20251209_171547_lost_double,20251209_171547,lost,double,double_gaussian,peak,ok,center1,55.8926398810288,0.145151490963229,0.289826478649523,55.6028134023793,56.1824663596784,0,10.2725526315789,-605.165723808987,0.835385175384552
20251209_171547_lost_double,20251209_171547,lost,double,double_gaussian,peak,ok,center2,56.3423783183637,0.121431195169926,0.242463756043797,56.0999145623199,56.5848420744075,0,10.2725526315789,-605.165723808987,0.835385175384552
20251209_171547_lost_double,20251209_171547,lost,double,double_gaussian,peak,ok,sigma1,0.433258195025722,0.26418327153751,0.527499282299643,-0.0942410872739209,0.960757477325365,0,10.2725526315789,-605.165723808987,0.835385175384552
20251209_171547_lost_double,20251209_171547,lost,double,double_gaussian,peak,ok,sigma2,1.51913680374673,0.185250050494241,0.369891962170702,1.14924484157603,1.88902876591743,0,10.2725526315789,-605.165723808987,0.835385175384552
20251209_171547_lost_single,20251209_171547,lost,single,single_gaussian,peak,ok,amp1,0.0071052623943705,0.000476332103201225,0.000949813266561064,0.00615544912780944,0.00805507566093156,0,10.2725526315789,-607.363381399654,0.813369209082345
20251209_171547_lost_single,20251209_171547,lost,single,single_gaussian,peak,ok,base,0.00368360162983459,0.000235275106519458,0.000469142045984136,0.00321445958385045,0.00415274367581873,0,10.2725526315789,-607.363381399654,0.813369209082345
20251209_171547_lost_single,20251209_171547,lost,single,single_gaussian,peak,ok,center1,56.2535343731482,0.0697597650993842,0.139102004501225,56.1144323686469,56.3926363776494,0,10.2725526315789,-607.363381399654,0.813369209082345
20251209_171547_lost_single,20251209_171547,lost,single,single_gaussian,peak,ok,sigma1,1.36028899855233,0.117396266051002,0.234089892725263,1.12619910582707,1.59437889127759,0,10.2725526315789,-607.363381399654,0.813369209082345
