key,timestamp,date,time,data_type,fit_kind,model,sign_mode,status,fail_reason,RF_set,RF_meas,fit_extreme,score_R2,score_AICc,score_BIC,score_SSE,score_RMSE,keep,note,amp1_Value,amp1_Sigma1,amp1_CI95_width,amp1_CI95_low,amp1_CI95_high,amp2_Value,amp2_Sigma1,amp2_CI95_width,amp2_CI95_low,amp2_CI95_high,base_Value,base_Sigma1,base_CI95_width,base_CI95_low,base_CI95_high,center1_Value,center1_Sigma1,center1_CI95_width,center1_CI95_low,center1_CI95_high,center2_Value,center2_Sigma1,center2_CI95_width,center2_CI95_low,center2_CI95_high,sigma1_Value,sigma1_Sigma1,sigma1_CI95_width,sigma1_CI95_low,sigma1_CI95_high,sigma2_Value,sigma2_Sigma1,sigma2_CI95_width,sigma2_CI95_low,sigma2_CI95_high,RF_set_linear,RF_meas_uncertainty,RF_meas_linear,RF_meas_uncertainty_linear,W_sigma_ratio,S_separation,sep_over_min_sigma,peak_ratio,valley_ratio,p1_effheight,p2_effheight,double_class,use_center1,use_center2,primary_component,pedestal_component,weak_component,weak_rejected,decision_note,chosen_fit_kind,chosen_fit_kind_raw,AICc_single,AICc_double,delta_AICc
20251212_130011_trapped_double,20251212_130011,20251212,130011,trapped,double,double_gaussian,dip,ok,,2.0,11.403975609756099,0.0490868522779021,0.952572805568661,-573.683951986967,-562.765823720687,0.0004796467303113,0.0030667308080825,True,,0.037859,0.0030281,0.0060333,0.031826,0.043893,0.018957,0.005772,0.0115,0.0074565,0.030457,0.10414,0.0058884,0.011732,0.092405,0.11587,35.8247,0.049526,0.098677,35.726,35.9234,37.1888,0.33063,0.65876,36.53,37.8475,0.81945,0.082639,0.16465,0.6548,0.9841,4.3273,1.3244,2.6387,1.6885,6.966,1.5848931924611136,0.0021481201056044665,13.816524254000575,0.006842387270456175,5.280737079748612,0.3097267118180714,1.6646531209957904,0.38759902428263254,0.0,0.05502280048274384,0.021326783780409475,pedestal_plus_peak,True,False,1.0,2.0,,False,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",double,double,-527.294530877961,-573.683951986967,46.38942110900598
20251212_130740_lost_single,20251212_130740,20251212,130740,lost,single,single_gaussian,peak,ok,,2.0,11.403794871794869,0.0500866086134462,0.926382994506729,-1093.86620397918,-1084.04837165287,0.0009898040920585,0.003210990391184,True,,0.032255,0.0010198,0.0020143,0.03024,0.034269,,,,,,0.017832,0.0006493,0.0012825,0.01655,0.019115,59.2126,0.082624,0.1632,59.0494,59.3759,,,,,,3.6018,0.15414,0.30447,3.2974,3.9063,,,,,,1.5848931924611136,0.0006753188675412476,13.815916323543462,0.002149102444125876,,,,,,,,single,True,False,1.0,,,False,,single,single,-1093.86620397918,,
20251212_130740_trapped_double,20251212_130740,20251212,130740,trapped,double,double_gaussian,dip,ok,,2.0,11.403794871794869,0.0574362179495297,0.928736116612194,-1081.51693032159,-1064.83922025404,0.0010483433998539,0.0033045792089883,True,,0.016634,0.0027513,0.005436,0.011198,0.02207,0.024645,0.0024392,0.0048193,0.019825,0.029464,0.096653,0.0023519,0.0046469,0.092006,0.1013,57.818,0.44385,0.87695,56.941,58.6949,60.0994,0.14299,0.28252,59.8169,60.3819,6.0115,1.1633,2.2983,3.7131,8.3098,2.3127,0.22583,0.44618,1.8665,2.7589,1.5848931924611136,0.0006753188675412476,13.815916323543462,0.002149102444125876,2.59934275954512,0.35419866576244136,0.9864660353699161,0.6645042552999524,0.0,0.025947442635796708,0.039047820128833066,ambiguous,False,True,2.0,,,False,ambiguous | best_one=dominant,double,double,-1043.58745983485,-1081.51693032159,37.92947048674
20251212_132040_lost_double,20251212_132040,20251212,132040,lost,double,double_gaussian,peak,ok,,2.0,11.412368421052628,0.0250951731605362,0.924919849479469,-601.157161306086,-591.304039951715,6.71612846605727e-05,0.001208316153746,True,,0.012312,0.00063312,0.0012636,0.011049,0.013576,0.0030999,0.0010273,0.0020503,0.0010496,0.0051502,0.012783,0.00043188,0.00086194,0.011921,0.013645,70.3515,0.063512,0.12676,70.2247,70.4782,73.62,0.12021,0.23991,73.38,73.8599,1.7933,0.12037,0.24024,1.553,2.0335,0.4,,,,,1.5848931924611136,0.0016563856493926172,13.843235393810884,0.005284444767333729,4.483249999999999,1.7789023200247978,8.171250000000008,0.2878617095578508,0.0,0.012312,0.003544153368076259,ambiguous,True,False,1.0,,,False,ambiguous | best_one=dominant,double,double,-597.262476531295,-601.157161306086,3.894684774791017
20251212_132653_lost_single,20251212_132653,20251212,132653,lost,single,single_gaussian,peak,ok,,2.0,11.41009090909091,0.0293849404471917,0.907827224125334,-529.2554691167,-523.512291960994,8.13036104047505e-05,0.0014081956142243,True,,0.017534,0.00087552,0.00175,0.015784,0.019284,,,,,,0.011851,0.00025065,0.000501,0.01135,0.012352,79.3049,0.024186,0.048342,79.2566,79.3533,,,,,,0.60578,0.03633,0.072616,0.53317,0.6784,,,,,,1.5848931924611136,0.001009072708908552,13.835960419954375,0.0032151431831118223,,,,,,,,single,True,False,1.0,,,False,,single,single,-529.2554691167,-527.430010628075,-1.8254584886250314
20251212_133223_lost_double,20251212_133223,20251212,133223,lost,double,double_gaussian,peak,ok,,2.0,11.411877192982454,0.0476191221972062,0.984456546351567,-933.470205609853,-919.409224248342,0.0001108857650999,0.0012497085017861,True,,0.011468,0.0018839,0.0037341,0.007734,0.015202,0.026858,0.0042978,0.0085186,0.01834,0.035377,0.014452,0.00032171,0.00063766,0.013814,0.015089,96.4456,0.56801,1.1258,95.3197,97.5714,98.3399,0.033877,0.067147,98.2727,98.407,2.3775,0.45044,0.89281,1.4847,3.2703,1.2115,0.10312,0.20439,1.0071,1.4159,1.5848931924611136,0.0006623392063654392,13.841650453432422,0.002111623748992129,1.9624432521667354,0.7099070493859821,1.56359884440776,0.4189190190776961,0.0,0.013797660111224106,0.03293634206821505,ambiguous,False,True,2.0,,,False,ambiguous | best_one=dominant,double,double,-831.069989753981,-933.470205609853,102.40021585587203
20251212_133223_trapped_double,20251212_133223,20251212,133223,trapped,double,double_gaussian,dip,ok,,2.0,11.411877192982454,0.0656998345584964,0.919857836410565,-829.209706583171,-815.14872522166,0.0004815250529376,0.0026042355882526,True,,0.0098097,0.0026032,0.0051597,0.00465,0.014969,0.023063,0.0037735,0.0074794,0.015583,0.030542,0.095786,0.0007793,0.0015446,0.094242,0.097331,96.8826,0.65986,1.3079,95.5747,98.1905,98.5052,0.081405,0.16135,98.3439,98.6666,2.7349,0.60416,1.1975,1.5374,3.9324,1.1415,0.16379,0.32465,0.81686,1.4662,1.5848931924611136,0.0006623392063654392,13.841650453432422,0.002111623748992129,2.3958826106000877,0.5475167892023894,1.4214629872974207,0.42945855269949723,0.0,0.012867429287301856,0.029961981677671962,ambiguous,False,True,2.0,,,False,ambiguous | best_one=dominant,double,double,-798.37774775422,-829.209706583171,30.831958828951088
20251212_134210_lost_double,20251212_134210,20251212,134210,lost,double,double_gaussian,peak,ok,,2.0,11.404552631578948,0.0255177020358694,0.904909412242573,-593.163052399813,-583.309931045442,7.99084765481189e-05,0.0013180063712002,True,,0.0071417,0.0015829,0.0031606,0.0039811,0.010302,0.0080916,0.0018168,0.0036276,0.004464,0.011719,0.011107,0.00043568,0.00086993,0.010237,0.011977,141.1513,0.20242,0.40417,140.7471,141.5554,141.7484,0.075043,0.14984,141.5986,141.8982,1.6365,0.26428,0.5277,1.1088,2.1642,0.54524,0.13622,0.272,0.27324,0.81723,1.5848931924611136,0.001254385964912247,13.818333405967909,0.003989857502359111,3.001430562687991,0.34615691519340863,1.0951140782041153,0.6679585186810808,0.0,0.009580611034297089,0.014343122763393315,ambiguous,False,True,2.0,,,False,ambiguous | best_one=dominant,double,double,-580.736771576346,-593.163052399813,12.426280823466982
20251212_171614_lost_double,20251212_171614,20251212,171614,lost,double,double_gaussian,peak,ok,,1.5,11.228902439024392,0.0415682617766108,0.96492004005464,-617.636035126281,-606.717906860002,0.0002026021700304,0.0019931361140735,True,,0.019117,0.003405,0.0067843,0.012333,0.025901,0.027128,0.0016987,0.0033846,0.023743,0.030512,0.013908,0.00052524,0.0010465,0.012861,0.014954,36.2573,0.14863,0.29612,35.9612,36.5534,37.8987,0.14909,0.29705,37.6017,38.1958,0.85117,0.14094,0.2808,0.57037,1.132,1.1525,0.15653,0.31188,0.84066,1.4644,1.4125375446227544,0.002113276352561641,13.27062427435252,0.006467364061723774,1.354018586181374,1.1456362745551736,1.9284044315471613,0.8221875135362495,0.0,0.022685685374498686,0.02759186317112379,ambiguous,False,True,2.0,,,False,ambiguous | best_one=dominant,double,double,-597.534483649018,-617.636035126281,20.101551477263
20251212_171614_trapped_double,20251212_171614,20251212,171614,trapped,double,double_gaussian,dip,ok,,1.5,11.228902439024392,0.0549878300372283,0.949677445760158,-588.260006856153,-577.341878589873,0.0003604109315481,0.0026583605870438,True,,0.031891,0.0028504,0.0056771,0.026214,0.037568,0.020559,0.011214,0.022334,-0.001775,0.042893,0.10401,0.010827,0.021565,0.082443,0.12557,37.2219,0.07017,0.13976,37.0821,37.3616,41.5273,2.8902,5.7564,35.7709,47.2837,1.7006,0.16048,0.31962,1.381,2.0202,10.0,,,,,1.4125375446227544,0.002113276352561641,13.27062427435252,0.006467364061723774,5.880277549100318,0.4244461677565212,2.5316946959896502,0.4208879239144727,0.0,0.04897144274173645,0.020611488866665927,pedestal_plus_peak,True,False,1.0,2.0,,False,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",double,double,-552.044123937789,-588.260006856153,36.21588291836406
