timestamp,date,time,data_type,RF_set,RF_meas,model_chosen,chosen_fit_kind,AICc_single,AICc_double,delta_AICc,score_R2,score_SSE,score_RMSE,sign_mode,double_class,decision_note,weak_rejected,weak_component,component,center,center_sigma,sigma,amp
20251212_173612,20251212,173612,trapped,1.5,11.16168292682927,double,double,-530.74437078122,-574.883538284618,44.13916750339797,0.928750024210822,0.0004684964641437,0.0030308753156951,dip,ambiguous,ambiguous | best_one=dominant,False,,2,95.381,0.05882,0.72323,0.031864
20251212_183713,20251212,183713,lost,2.600000000000001,11.701833333333333,double,double,-381.127997479254,-426.573583180654,45.44558570139998,0.9914557752359,0.0001559855378648,0.0020815695057715,peak,ambiguous,ambiguous | best_one=dominant,False,,2,34.9517,0.0080672,0.4,0.075796
20251212_183713,20251212,183713,trapped,2.600000000000001,11.701833333333333,double,double,-375.166821740164,-397.049395590056,21.882573849892026,0.977342425805048,0.0003542063379592,0.0031367283821383,dip,pedestal_plus_peak,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",False,,2,34.9687,0.01392,0.4,0.072187
20251212_184222,20251212,184222,lost,2.600000000000001,11.689024390243903,double,double,-601.492414821227,-625.317528933122,23.825114111895004,0.972299155911517,0.0001742736521049,0.0018485481961342,peak,ambiguous,ambiguous | best_one=dominant,False,,2,62.5312,0.4307,2.7453,0.023382
20251212_184222,20251212,184222,trapped,2.600000000000001,11.689024390243903,double,double,-580.551283327908,-581.225922519137,0.6746391912290619,0.927786915224388,0.0004137111724548,0.002848154450451,dip,ambiguous,ambiguous | best_one=dominant,False,,2,62.479,0.11332,2.5433,0.031164
20251212_184923,20251212,184923,lost,2.600000000000001,11.687633333333332,double,double,-373.176906703503,-420.299836456087,47.122929752584014,0.965428802475594,0.0001856817226246,0.0022710846810414,peak,ambiguous,ambiguous | best_one=dominant,False,,2,70.0515,0.031576,0.73922,0.033965
20251212_184923,20251212,184923,trapped,2.600000000000001,11.687633333333332,double,double,-369.460860698852,-391.685017753536,22.224157054683985,0.917789386235455,0.0004111220439678,0.0033793574502978,dip,ambiguous,ambiguous | best_one=dominant,False,,2,70.1711,0.046088,0.5537,0.029504
20251212_185420,20251212,185420,lost,2.600000000000001,11.696636363636365,double,double,-318.239586467593,-344.778386381675,26.53879991408195,0.987107263074251,2.08035188874986e-05,0.0008945028461815,peak,ambiguous,ambiguous | best_one=dominant,False,,2,82.2701,0.029293,0.4,0.011522
20251212_185420,20251212,185420,trapped,2.600000000000001,11.696636363636365,single,single,-292.987110930942,-283.476550419773,-9.51056051116899,0.870301606014335,0.0002267662336663,0.0029532656869871,dip,single,,False,,1,82.1894,0.054172,0.73831,0.02247
20251212_191239,20251212,191239,lost,2.600000000000001,11.689323076923076,double,double,-853.760211089497,-958.646982923521,104.88677183402399,0.961650381214879,0.0004844581032499,0.0024456009972303,peak,true_double,true_strong(S>=1.0),False,,1,100.6623,0.073902,2.7593,0.033899
