Ex,tau_ms_fit,tau_ms_se,p0_fit,b_fit
-0.35,0.2502574985058422,0.0251171787756918,0.1397550687244534,6.176421777812846e-05
-0.3,0.3745732348100793,0.0264426325263422,0.1619772587640076,0.000237981157007
-0.25,0.4231416316752698,0.0243243651108456,0.2113029657259355,0.0003451259071362
-0.2,0.5620394854060885,0.0315914008305387,0.2105094592605979,1.2705982802975616e-16
-0.15,0.4995818520355142,0.0287577554245005,0.1879269639783436,0.0003360949668329
-0.1,0.4790357319861906,0.0302692688154964,0.1462999269422598,2.7054623082044034e-05
-0.05,0.3902630236854504,0.0271408851844698,0.1220482525449961,9.156259707985502e-05
0.0,0.2636011611451108,0.0283786906074483,0.0848014349178347,6.875294707428149e-05
