Ex,tau_ms_fit,tau_ms_se,p0_fit,b_fit
-0.35,0.2502574985058422,0.025117178775691897,0.13975506872445345,6.176421777812846e-05
-0.3,0.3745732348100793,0.026442632526342207,0.16197725876400765,0.00023798115700704269
-0.25,0.42314163167526986,0.024324365110845698,0.21130296572593552,0.0003451259071362144
-0.2,0.5620394854060885,0.03159140083053872,0.2105094592605979,1.2705982802975616e-16
-0.15,0.49958185203551425,0.02875775542450057,0.18792696397834366,0.0003360949668329936
-0.1,0.4790357319861906,0.03026926881549646,0.14629992694225985,2.7054623082044034e-05
-0.05,0.3902630236854504,0.02714088518446984,0.12204825254499616,9.156259707985502e-05
0.0,0.26360116114511084,0.02837869060744837,0.08480143491783476,6.875294707428149e-05
