Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,lost_signal,trapped_signal,time_cost
0.1112781955,-0.116666667,-0.072431078,0.0,0.0006582096696984203,16712,11,0,6.507828235626221
-0.181954887,-0.14122807,0.0278195489,0.07850779510022271,0.010996659242761693,14368,158,1128,6.359556198120117
0.1278195489,-0.076315789,0.0418546366,0.0011689070718877848,0.000935125657510228,17110,16,20,6.506041526794434
-0.294736842,0.0587719298,-0.012781955,0.07126772564055749,0.0006694662528148013,16431,11,1171,6.665344953536987
-0.32481203,-0.027192982,-0.05037594,0.019164209716702987,0.0013459812844507115,15602,21,299,6.186531066894531
-0.006015038,-0.145614035,-0.073934837,5.937889674009857e-05,0.00041565227718069,16841,7,1,6.558807134628296
0.1518796992,0.0938596491,0.0819548872,5.191299382235374e-05,0.00020765197528941495,19263,4,1,7.045159339904785
-0.284210526,-0.085964912,-0.054887218,0.017174245584758725,0.001182033096926714,14382,17,247,6.217799425125122
0.0406015038,0.0464912281,-0.005764411,0.04168336673346693,0.010478099055253364,17465,183,728,6.851076602935791
-0.057142857,0.148245614,-0.023809524,0.05051487414187643,0.007379862700228833,17480,129,883,7.116886854171753
0.1473684211,-0.057894737,-0.061904762,0.0,0.00031575623618566466,19002,6,0,7.207186698913574
-0.269172932,-0.048245614,-0.078446115,0.020695252265656702,0.0014878939537400244,14786,22,306,6.203947067260742
-0.037593985,0.0754385965,0.0879699248,0.04927254042944453,0.011628535886202607,18489,215,911,7.239913702011108
0.1563909774,-0.007894737,0.05839599,0.0012162087456465255,0.0019901597656034054,18089,36,22,6.849624156951904
-0.001503759,0.1342105263,-0.027318296,0.023406455827118828,0.012356431331990637,18371,227,430,7.111071348190308
-0.330827068,0.0245614035,0.0027568922,0.051288767812238054,0.0010477787091366304,19088,20,979,7.350350379943848
-0.308270677,0.1745614035,-0.029323308,0.05700428762212694,0.000562311098615309,14227,8,811,6.299381732940674
0.1714285714,-0.15,0.0889724311,0.0,0.0004960044089280793,18145,9,0,6.7944440841674805
0.0421052632,-0.021929825,0.0714285714,0.03424420615703909,0.010146431453937507,17346,176,594,7.150307893753052
0.015037594,0.100877193,-0.09197995,0.010668035826344914,0.010097552627075132,17529,177,187,6.801624774932861
0.1488721805,-0.040350877,0.0969924812,0.0021137065741694216,0.0014633353205788305,18451,27,39,6.998158693313599
-0.016541353,-0.101754386,-0.025814536,0.012640772236267524,0.009710411399678235,17404,169,220,6.840143918991089
-0.396992481,0.1114035088,-0.031328321,0.009486380268329042,0.0008131183087139179,14758,12,140,6.264803171157837
-0.12481203,0.0043859649,-0.006265664,0.08013090692715823,0.005057767640204294,20167,102,1616,7.951164484024048
-0.121804511,0.0657894737,0.0172932331,0.1177051202961135,0.008821714990746453,16210,143,1908,6.974489688873291
0.1413533835,-0.064035088,0.0007518797,0.0,0.00047904191616766467,16700,8,0,6.50107216835022
-0.266165414,-0.071052632,0.0598997494,0.027419564934219095,0.0012374625504754462,15354,19,421,6.323271989822388
-0.015037594,0.0087719298,-0.019799499,0.05223767383059418,0.008040455120101138,19775,159,1033,7.601997375488281
0.1097744361,0.0666666667,-0.095488722,0.0,0.0005328786102525844,18766,10,0,7.027628183364868
-0.177443609,0.0412280702,-0.033834586,0.07311184590353226,0.004093843489214297,19053,78,1393,7.542215824127197
-0.335338346,-0.012280702,0.0543859649,0.00930387107492939,0.0012737442543058093,18057,23,168,6.983969688415527
-0.180451128,0.0789473684,-0.054385965,0.047690372056797076,0.006889940686597568,16691,115,796,6.6957151889801025
-0.338345865,0.1947368421,-0.044862155,0.012686905301314002,0.0008306902280622263,13242,11,168,6.229675054550171
-0.142857143,-0.057017544,-0.046365915,0.055229410088344255,0.006839555428897122,17545,120,969,7.165291786193848
-0.354887218,0.1833333333,0.0468671679,0.0116859243697479,0.0009191176470588235,15232,14,178,6.256770849227905
-0.127819549,-0.114912281,-0.092481203,0.012408715786973817,0.00825268657602565,16843,139,209,6.600736379623413
-0.033082707,0.0736842105,-0.021303258,0.0685610441103585,0.010738476788369403,18159,195,1245,7.267931222915649
-0.168421053,-0.110526316,-0.071428571,0.02257636122177955,0.009416877942774357,16566,156,374,6.603896856307983
0.0691729323,0.0561403509,0.0087719298,0.027884509825447358,0.012515094961027555,18218,228,508,7.139275074005127
-0.163909774,0.1614035088,-0.088471178,0.04039804929484645,0.011269276393831554,15174,171,613,6.4868857860565186
0.1293233083,0.0219298246,0.0002506266,0.00513347022587269,0.004158110882956879,19480,81,100,7.341013431549072
-0.339849624,-0.052631579,-0.097994987,0.012100816268079621,0.001002434483746241,13966,14,169,6.239393711090088
-0.02556391,-0.050877193,0.0669172932,0.04895744421412023,0.011157175954151933,16402,183,803,6.795741319656372
0.0045112782,0.0298245614,0.0679197995,0.05171383562387962,0.009777826063338584,18409,180,952,7.144052267074585
-0.144360902,0.1587719298,-0.070426065,0.06029147534438012,0.008185266520263525,15027,123,906,6.493057012557983
0.0210526316,0.1675438596,-0.068922306,0.00034305317324185246,0.0007432818753573471,17490,13,6,6.798485517501831
-0.2,-0.031578947,-0.001754386,0.10530541658946328,0.004755728491137051,16191,77,1705,6.749173164367676
-0.031578947,-0.113157895,0.062406015,0.027013016933533,0.008812348807741044,17362,153,469,6.9412453174591064
-0.314285714,-0.122807018,0.0197994987,0.013509082562791003,0.0007869368483179224,15249,12,206,6.24944281578064
-0.227067669,0.0912280702,0.0288220551,0.14237508111615835,0.007268007787151201,15410,112,2194,6.888367652893066
-0.293233083,0.098245614,-0.081954887,0.02002078281953585,0.0006927606511950121,14435,10,289,6.319571018218994
-0.147368421,-0.099122807,-0.036340852,0.051688781664656215,0.010675512665862485,16580,177,857,6.819002628326416
-0.246616541,0.0175438596,-0.002756892,0.0688618600564214,0.0019423761735189381,21623,42,1489,8.386262893676758
-0.257142857,-0.1,-0.085463659,0.01356495259187487,0.0010381341269291992,14449,15,196,6.262683868408203
-0.009022556,0.1868421053,0.0067669173,0.0034660991182730314,0.002797202797202797,16445,46,57,6.522622585296631
-0.351879699,0.1192982456,-0.078947368,0.011251061420888763,0.001344466459099915,14132,19,159,6.224721670150757
0.0541353383,0.0622807018,-0.03433584,0.01888599244560302,0.009256796297281482,18797,174,355,7.325041770935059
-0.117293233,0.1657894737,0.0428571429,0.07585603599100225,0.007498125468632842,16004,120,1214,6.609713077545166
-0.210526316,0.0973684211,0.0077694236,0.1311681320653149,0.006878401818290567,16719,115,2193,7.127935409545898
-0.156390977,0.1280701754,-0.076441103,0.03878346431537921,0.013545460353970992,15651,212,607,6.526720762252808
0.0751879699,0.0394736842,0.0258145363,0.025170336167577002,0.011092966946337069,17759,197,447,7.0679426193237305
-0.02406015,-0.042105263,-0.038345865,0.03456368679325795,0.010667804565820354,18748,200,648,7.2759387493133545
0.1744360902,0.1166666667,-0.009774436,5.73921028466483e-05,0.0002869605142332415,17424,5,1,6.804077625274658
0.1398496241,0.0728070175,-0.035338346,5.702229571762559e-05,0.0005132006614586303,17537,9,1,6.805758714675903
-0.196992481,-0.109649123,-0.052380952,0.03310815330078255,0.007424252558357301,14951,111,495,6.5013697147369385
0.0947368421,-0.120175439,-0.009273183,0.0,0.000544201233522796,16538,9,0,6.466264009475708
0.0812030075,-0.007017544,-0.069423559,0.0011131349929164136,0.0031876138433515485,19764,63,22,7.4455108642578125
0.0781954887,0.0964912281,-0.027819549,0.004484789539093316,0.005889663370616523,18507,109,83,7.052204847335815
-0.036090226,0.05,-0.077944862,0.0293913846864534,0.01120221734611387,17318,194,509,6.924456834793091
0.0766917293,0.0684210526,-0.053383459,0.0035171200993069206,0.004861901313747802,19334,94,68,7.227250099182129
