Ex,Ey,Ez,U2,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.315576956,-0.016605052,0.0714408051,-0.18,0.028236094573907126,0.0008504847763225039,11758,332,10,6.7062952518463135
-0.238250933,0.1950964167,0.0443834741,-0.13,0.019468875416275296,0.0006831184356587823,11711,228,8,6.744031190872192
-0.347363055,0.0073519552,0.0681406374,-0.13,0.004647560030983733,0.001613736121869352,15492,72,25,7.155824661254883
-0.177197081,0.0775220296,-0.020698275,-0.1,0.027250206440957887,0.0022295623451692816,12110,330,27,6.7573418617248535
-0.032041199,-0.081133303,0.0327399408,-0.18,0.0588788241326269,0.011194667578191762,11702,689,131,6.702074289321899
-0.012723777,-0.091216534,-0.013703309,-0.18,0.047444007522653445,0.009745255599247734,11698,555,114,6.747890949249268
-0.000122179,-0.080263959,0.0788697525,-0.18,0.034031617475274514,0.01214858655867923,12841,437,156,6.826064109802246
0.010453004,-0.094277505,-0.050898995,-0.13,0.02101879327398615,0.010138476755687438,12132,255,123,6.696200847625732
-0.058086993,0.0649692473,-0.010531972,-0.24,0.08987124463519314,0.012360515021459227,11650,1047,144,6.79359245300293
-0.170145313,-0.032588517,-0.045324143,-0.24,0.11285980534272105,0.006212466349140609,9658,1090,60,6.688228130340576
-0.182237935,0.0158414043,0.0723057135,-0.3,0.09201852841617673,0.00774986638161411,11226,1033,87,6.796383380889893
-0.276095464,0.0493386016,0.0424197276,-0.1,0.006241540081215221,0.0013535870055647466,13298,83,18,6.68774676322937
-0.053074933,-0.046993425,0.0419753557,-0.18,0.079713936856794,0.009942438513867086,11466,914,114,6.796993255615234
-0.278345306,-0.023964195,-0.053016321,-0.24,0.08160945669470335,0.0009092975676290066,8798,718,8,6.801612138748169
-0.267644116,0.0700332666,0.0199983155,-0.18,0.16278340821230802,0.0008358583220144186,9571,1558,8,6.819270133972168
-0.173572032,0.190371676,-0.052649339,-0.24,0.012826660273315752,0.0007192519779429394,8342,107,6,6.627550363540649
0.0364640582,0.1323491633,-0.073841387,-0.13,0.04088341903397117,0.011295625052684818,11863,485,134,6.755173921585083
-0.330119344,0.189979288,0.0577163391,-0.1,0.0005464054328311607,0.0014050425415658419,12811,7,18,6.778944730758667
-0.269194775,0.1384050703,-0.058153536,-0.1,0.015090824406148114,0.0009315323707498836,10735,162,10,6.740469694137573
-0.337521916,-0.002086652,-0.004462311,-0.13,0.02033181522446324,0.0008945998698763826,12296,250,11,6.7549943923950195
