Ex,Ey,Ez,mesh_voltage,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.039686774,-0.032105239,0.0143285041,80,0.12557673019057172,0.005115346038114343,9970,1252,51,6.753391265869141
-0.317646968,-0.043361098,0.009131022,80,0.008796764408493427,0.00020222446916076846,9890,87,2,6.6797730922698975
-0.080198188,0.1464196669,0.0436566263,80,0.04343640957766815,0.0021658043556732043,8311,361,18,6.664049386978149
-0.075735103,0.1730372403,0.0298734148,80,0.03315836640635002,0.0012802458071949814,7811,259,10,6.668601751327515
-0.348616332,0.1381112161,0.0088059409,80,0.0009777560498655585,0.0006110975311659741,8182,8,5,6.6519999504089355
-0.170726825,-0.083498863,0.0352516532,80,0.047039574598629716,0.0012271193373555578,9779,460,12,6.752873182296753
-0.078680439,0.0590092544,-0.075781936,80,0.03404876952466569,0.003933026182717159,8899,303,35,6.681824207305908
-0.203616959,0.1418835945,0.0117608218,80,0.022593821802399796,0.001148838396732193,7834,177,9,6.690513372421265
-0.238204182,0.1195960604,-0.008897624,80,0.022605453274295036,0.0008156606851549756,8582,194,7,6.583185911178589
-0.201622555,0.1991746746,0.0664285794,80,0.000744047619047619,0.0006200396825396825,8064,6,5,6.598968267440796
-0.336727744,0.0861363672,0.0155008441,80,0.004064068850107579,0.0017929715515180493,8366,34,15,6.666916608810425
-0.305893162,-0.086091839,-0.071726927,80,0.0018923713778829095,0.0007096392667060911,8455,16,6,6.672510385513306
-0.076126247,0.0093049133,-0.051994703,80,0.0390406162464986,0.0031512605042016808,11424,446,36,6.665777206420898
-0.216081405,0.1609095332,0.0236521884,80,0.016510660426417058,0.0013000520020800832,7692,127,10,6.705852270126343
-0.029770083,0.1044955867,0.0180075967,80,0.0957557534404996,0.005088469989591766,8647,828,44,6.719903945922852
-0.292290141,0.1679518732,0.0197463149,80,0.002104432460870709,0.0011837432592397739,7603,16,9,6.651496648788452
-0.137732099,0.0906187009,0.0266091221,80,0.1233175700254638,0.0009700497150478962,8247,1017,8,6.705026865005493
-0.309118564,0.1079242726,0.0467183129,80,0.000812630601346645,0.0004643603436266543,8614,7,4,6.5651915073394775
-0.281506577,0.0159882968,0.0728579044,80,0.00234375,0.0006944444444444445,11520,27,8,6.708294153213501
-0.344767838,0.1858068933,0.0425829587,80,0.0,0.0011023839051949843,7257,0,8,6.643748760223389
-0.312847905,-0.01367843,0.058026216,80,0.002354868434524419,0.0007166990887683014,9767,23,7,6.7012693881988525
-0.329996265,0.1652252955,-0.020963778,80,0.002630040911747516,0.0010227936879018118,6844,18,7,6.661336898803711
-0.324005567,0.0281482,-0.0599154,80,0.014937858508604206,0.0005975143403441683,8368,125,5,6.671350002288818
-0.159937633,0.1841107222,-0.074926767,80,0.015441630636195183,0.0006176652254478073,6476,100,4,6.673617839813232
-0.016205414,0.0467259173,0.0261936061,80,0.13802845323378066,0.008879023307436182,9911,1368,88,6.773686647415161
-0.072064113,0.0530898113,0.006672669,80,0.14235959947757945,0.004244666956900305,9188,1308,39,6.745415925979614
0.0237419441,0.0035608041,-0.004885383,80,0.10318840579710145,0.008502415458937198,10350,1068,88,6.7345781326293945
-0.039222456,0.0897128103,-0.068772758,80,0.03706606942889138,0.0030235162374020155,8930,331,27,6.6727135181427
-0.033348694,-0.068751166,-0.035304534,80,0.074159684099008,0.0073196571318501396,10383,770,76,6.733846187591553
-0.012479443,0.1905882119,-0.016400885,80,0.02134801288936627,0.004564983888292159,7448,159,34,6.685273885726929
-0.213640304,0.068786477,-0.054126643,80,0.02578616352201258,0.0013836477987421384,7950,205,11,6.709333658218384
