act_RF_mW,RF_set_dBm,peak_idx,amp,mu,sigma
9.830563459564187,-0.5,0,0.0457804367285503,44.47412647914517,1.55411200270826
9.830563459564187,-0.5,1,0.0523773671977077,50.359121156532,0.6057980566243565
9.830563459564187,-0.5,2,0.0184756590926851,61.07822281625962,0.5000000000000001
9.830563459564187,-0.5,3,0.0439121324440958,96.2255522424855,0.5000000000000001
9.830563459564187,-0.5,4,0.0142171954175614,101.25239281171376,1.074748269880106
9.830563459564187,-0.5,5,0.0182990957595592,122.6743421069112,0.5000000000000001
10.790574302568103,0.0,0,0.0425737173485149,46.935401463239096,2.651112866346369
10.790574302568103,0.0,1,0.0538423226257174,51.39234558547062,0.9622113695374644
10.790574302568103,0.0,2,0.0191287242280105,64.53818751895658,0.5123338127479444
10.790574302568103,0.0,3,0.0386561494208783,99.5902276814401,0.70713887484174
10.790574302568103,0.0,4,0.0413962279869013,102.45094842520317,0.9053874478253288
10.790574302568103,0.0,5,0.0100391614701757,115.97909514458894,0.5000000000000001
10.790574302568103,0.0,6,0.0192297360559927,129.53375716524414,0.697586542722805
11.092823386153531,0.2,0,0.0188555231561459,49.72891397354784,0.5000000000000003
11.092823386153531,0.2,1,0.0460774826383693,51.60384533419524,0.7283701276463116
11.092823386153531,0.2,2,0.0236408947655768,66.35739027085573,0.5000000000000001
11.092823386153531,0.2,3,0.0290845853689292,100.0158276474812,0.5000000000000001
11.092823386153531,0.2,4,0.0379552661528273,102.7817647896559,0.5694730548257545
11.092823386153531,0.2,5,0.0207917312853594,117.5017951293345,0.5000000000000001
11.092823386153531,0.2,6,0.0152072941891909,132.7037280717978,0.7351634696577447
11.378539683871784,0.4,0,0.0516825099216856,52.53776187860932,0.8244939249362615
11.378539683871784,0.4,1,0.0207609891856705,67.53904223470887,0.5000000000000001
11.378539683871784,0.4,2,0.0254573189368251,101.0789740667808,1.388329240157531
11.378539683871784,0.4,3,0.057703200616874,104.75196993683412,0.5000000000000001
11.378539683871784,0.4,4,0.0180680778700778,117.15529118443054,0.8622517688110996
11.378539683871784,0.4,5,0.0369818120081719,119.58912259475234,0.5258459364302233
11.378539683871784,0.4,6,0.0094336262835433,134.61514814768103,0.6032845579049625
11.734339133380656,0.6,0,0.0673613201401446,53.15022205038948,0.9828477140939424
11.734339133380656,0.6,1,0.0168408138118897,68.23019595625865,0.5256354703463983
11.734339133380656,0.6,2,0.0176057838804915,101.40770686212709,0.7262433178283433
11.734339133380656,0.6,3,0.0378476906595862,105.88037923374856,1.96675113284461
11.734339133380656,0.6,4,0.012420572404163,118.46578046149858,0.5042096321649229
11.734339133380656,0.6,5,0.0116280755483613,121.05498257417698,0.5000000000000001
12.00092624945035,0.8,0,0.0256646257350429,50.09578170404735,0.5000000000000001
12.00092624945035,0.8,1,0.0268568978004821,55.59795123066085,1.9005411656787643
12.00092624945035,0.8,2,0.0139922992063146,68.45655188489769,0.5000000000000001
12.00092624945035,0.8,3,0.0524001349699107,107.86960737981175,0.5000000000000001
12.00092624945035,0.8,4,0.0246562371825014,119.5758377009107,0.5000000000000001
