stride,keep_frac,filter_out_frac,r2_change_pct,r2_loss_mean,r2_loss_median,r2_changed,r2_total,aicc_change_pct,aicc_loss_mean,aicc_loss_median,aicc_changed,aicc_total
2,0.5,0.5,16.39676113360324,0.074451718035814,8.90409301845807e-08,81,494,26.666666666666668,3.1126627018928046,0.01371999204138774,20,75
3,0.3333333333333333,0.6666666666666667,25.101214574898783,0.10599447480059582,2.6429832600260994e-06,124,494,42.66666666666667,4.133875330687111,0.23926360754603593,32,75
4,0.25,0.75,31.57894736842105,0.11889234695344945,8.987059302301148e-06,156,494,48.0,2.8708208381332647,0.228793374365182,36,75
5,0.2,0.8,33.80566801619433,0.10220595397727136,4.370567640021861e-05,167,494,49.333333333333336,1.7625322157317391,0.07364366002047973,37,75
6,0.16666666666666666,0.8333333333333334,40.48582995951417,0.11518529962921392,1.6671650832078555e-05,200,494,57.333333333333336,5.641441592934227,1.3107604991337212,43,75
