tickle_level,tickle_pulse_length,tickle_frequency,wait_time,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-10,80,62,90,0.0917832706651051,0.006472292424335819,16223,1489,105,5.7201247215271,12.251
-15,250,42,260,0.07966676951558162,0.008392471459426103,16205,1291,136,6.718740463256836,12.257
-15,600,72,610,0.010177622196291975,0.03429275249578633,15426,157,529,10.027693033218384,12.251
-15,600,20,610,0.04273229661997172,0.015679218609433235,15562,665,244,10.071935653686523,12.249
-15,80,74,90,0.09551750017056697,0.007777853585317596,14657,1400,114,5.424631834030151,12.226
-15,600,61,610,0.038372019877964396,0.017361766371013398,15897,610,276,10.136189222335815,12.223
-5,80,38,90,0.10194413682785776,0.004368155530946228,16254,1657,71,5.893329381942749,12.224
-15,600,36,610,0.04680061823802164,0.01749613601236476,16175,757,283,10.075102806091309,12.224
-15,80,29,90,0.09384361435471052,0.0065415418475270526,16357,1535,107,5.914014577865601,12.226
-5,600,50,610,0.02761904761904762,0.02482142857142857,16800,464,417,10.140498876571655,12.226
-10,600,20,610,0.04073961806608063,0.019460442558351016,16495,672,321,10.091368675231934,12.226
-5,80,40,90,0.10452261306532663,0.004459798994974874,15920,1664,71,5.881181240081787,12.224
-10,600,53,610,0.03579804962350327,0.01617084310578941,16202,580,262,10.196470737457275,12.23
-5,250,36,260,0.07398446453584617,0.008531771297593277,15706,1162,134,6.657579660415649,12.227
-10,250,54,260,0.07603614833281395,0.010657525708943596,16045,1220,171,6.65781831741333,12.227
-5,600,41,610,0.037750286953194746,0.014092590230837903,15682,592,221,10.13477635383606,12.23
-15,600,28,610,0.03051535590334621,0.020037980485888285,15271,466,306,10.06544542312622,12.224
-5,600,22,610,0.026127648511633954,0.02404783569478747,15386,402,370,10.080655574798584,12.23
-5,600,33,610,0.030354351224596145,0.024622199062011463,15352,466,378,10.068470001220703,12.228
-5,80,60,90,0.09389118051463367,0.007071302298173247,15273,1434,108,5.41922402381897,12.228
-15,250,43,260,0.08260785451731475,0.008318823757012962,15507,1281,129,6.728790044784546,12.226
-5,250,56,260,0.07562760186703671,0.01229973508262899,15854,1199,195,6.678799867630005,12.228
-10,250,28,260,0.05678920196554083,0.018038191204826772,16077,913,290,6.6202168464660645,12.224
-15,250,29,260,0.0472565617197491,0.013214785944826746,16421,776,217,6.666844129562378,12.224
-5,80,15,90,0.10715178794698675,0.0029382345586396598,15996,1714,47,5.895781517028809,12.227
-10,250,55,260,0.0770388203430635,0.00987059885645501,16615,1280,164,6.626037120819092,12.227
-5,250,51,260,0.06681177822117419,0.01275772416712014,16539,1105,211,6.679227590560913,12.224
-15,600,80,610,0.04267443332911232,0.024819551728504495,15794,674,392,10.107285022735596,12.228
-5,80,59,90,0.09981130847810528,0.006897000455462294,15369,1534,106,5.5304577350616455,12.224
-5,250,25,260,0.04384881422924901,0.027112154150197628,16192,710,439,6.632052659988403,12.23
-5,600,29,610,0.002947723034349997,0.03741803525236119,16623,49,622,10.03132176399231,12.224
