timestamp,mode,U2,RF_amplitude,line_id,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp,mu,sigma,sigma_group,band,width_class,primary_in_scan
averaged,lost,-0.2,2.5,0,avg,28.0,48.0,5,0.9907113430893972,-1118.556464607097,0.0131488750151447,0.0187464604625243,40.33455322551297,0.5506488938812413,1.6538984023726169,band_38,narrow,True
averaged,lost,-0.2,2.5,1,avg,51.0,71.0,4,0.9920432610830056,-1098.9677374618177,0.0131911722491411,0.0314977897445958,61.07491380842871,1.5267999663505425,2.200736443576163,band_61,broad,True
averaged,lost,-0.2,2.5,2,avg,72.0,132.0,5,0.984094041881208,-3094.997975657581,0.0149945923810151,0.0290366178976113,80.77363209304707,1.779675365261652,1.779675365261652,band_80,broad,False
averaged,lost,-0.2,2.5,2,avg,72.0,132.0,5,0.984094041881208,-3094.997975657581,0.0149945923810151,0.0471958218716141,102.18633668090514,0.5212578022306272,1.7335194253637058,band_102,narrow,True
averaged,lost,-0.2,2.5,2,avg,72.0,132.0,5,0.984094041881208,-3094.997975657581,0.0149945923810151,0.015967782675192,120.762676072517,1.6079374731356784,1.6079374731356784,band_120,broad,False
averaged,lost,-0.2,2.5,3,avg,134.0,154.0,3,0.9947329118835389,-1136.0984390322058,0.0134155473852624,0.0157544003902582,142.32782967726558,1.1310337012477298,1.7560197720509547,band_144,broad,True
averaged,lost,-0.205,2.5,0,avg,30.0,50.0,5,0.9935172883545352,-1127.882843102206,0.015745361154917,0.0213299483400127,40.48303674575192,0.5804027886317746,1.4216557490924073,band_38,narrow,True
averaged,lost,-0.205,2.5,1,avg,52.0,91.0,5,0.993395434463688,-2143.5606907639944,0.0136179218737743,0.0247077042105852,61.07858976444896,1.128093710069274,3.848011645442616,band_61,broad,True
averaged,lost,-0.205,2.5,1,avg,52.0,91.0,5,0.993395434463688,-2143.5606907639944,0.0136179218737743,0.0102484408596339,80.8365572685225,0.7126726918577149,1.8676744460785273,band_80,narrow,False
averaged,lost,-0.205,2.5,2,avg,92.0,130.0,4,0.9936682281571384,-2095.3810565794047,0.0146404956368234,0.0348596147419884,103.11506047745856,1.002742395662688,1.9872836565537921,band_102,broad,True
averaged,lost,-0.205,2.5,2,avg,92.0,130.0,4,0.9936682281571384,-2095.3810565794047,0.0146404956368234,0.0154719735118637,120.97554489237923,1.750479788430183,1.7504797884301828,band_120,broad,False
averaged,lost,-0.205,2.5,3,avg,133.0,154.0,2,0.9943220714757344,-1200.6752666218538,0.012913621811669,0.0101451359541868,143.01626572906514,0.8410677749164114,2.4808732363088386,band_144,broad,True
averaged,lost,-0.21,2.5,0,avg,25.0,50.0,5,0.9927722128630428,-1406.3991843275355,0.0126713446253901,0.0269614251537951,40.12800112173082,1.1106723712427835,1.7309827187935778,band_38,broad,True
averaged,lost,-0.21,2.5,1,avg,52.0,91.0,4,0.990639930378936,-2114.505095149091,0.0140641248185914,0.0263048939544697,61.82826205102381,1.0014843358158838,4.9177396284928365,band_61,broad,True
averaged,lost,-0.21,2.5,1,avg,52.0,91.0,4,0.990639930378936,-2114.505095149091,0.0140641248185914,0.0210135295167474,80.54313276707902,1.656358323604111,1.656358323604111,band_80,broad,False
averaged,lost,-0.21,2.5,2,avg,95.0,115.0,4,0.9971581151955512,-1104.364753290078,0.0133964734817476,0.040946488459908,104.66026142706656,0.2651892564238218,2.148413836711422,band_102,narrow,True
averaged,lost,-0.21,2.5,3,avg,134.0,154.0,2,0.9922351479219568,-1116.1600676437267,0.0131139612938759,0.0093903756924828,144.00125052769516,0.4356246015171713,2.2100403161122966,band_144,narrow,True
averaged,lost,-0.215,2.5,0,avg,28.0,50.0,4,0.9919673516460378,-1205.4964225850072,0.0151481308547484,0.0231679988190384,40.48219420577368,0.7747932824648962,2.411835623389285,band_38,narrow,True
averaged,lost,-0.215,2.5,1,avg,52.0,91.0,4,0.9909887088928108,-2046.4745380491368,0.0145343806319886,0.033402205862504,61.77261957360681,0.9495598117576276,3.607679545520292,band_61,broad,True
averaged,lost,-0.215,2.5,1,avg,52.0,91.0,4,0.9909887088928108,-2046.4745380491368,0.0145343806319886,0.0321313256203394,80.56467725983663,1.6305007968677911,1.6305007968677911,band_80,broad,False
averaged,lost,-0.215,2.5,2,avg,95.0,132.0,5,0.9934876473644944,-1975.310691054392,0.0162845641712414,0.0545074639570977,104.85641475196712,0.2187099496597483,1.886775300477201,band_102,narrow,True
averaged,lost,-0.215,2.5,2,avg,95.0,132.0,5,0.9934876473644944,-1975.310691054392,0.0162845641712414,0.0159287079818837,121.56351131926284,1.930760712907002,1.930760712907002,band_120,broad,False
averaged,lost,-0.215,2.5,3,avg,135.0,155.0,3,0.997143350951184,-1149.214843271554,0.0132091995741711,0.0177738242270984,144.59343576836196,0.5008633215895031,1.9653249027776805,band_144,narrow,True
averaged,lost,-0.22,2.5,0,avg,30.0,51.0,3,0.9919386337828908,-1121.3280981992466,0.0162619361895725,0.0398324485990128,40.83215821752938,0.5487658072565633,1.2516447523287544,band_38,narrow,True
averaged,lost,-0.22,2.5,1,avg,52.0,91.0,4,0.9900349502487792,-1950.35051803648,0.0138238360374417,0.0458108719972215,61.52214828065063,0.8351574149161023,2.8239977937054372,band_61,broad,False
averaged,lost,-0.22,2.5,1,avg,52.0,91.0,4,0.9900349502487792,-1950.35051803648,0.0138238360374417,0.0476936490639274,81.01043169568486,1.5807577110361677,1.5807577110361677,band_80,broad,True
averaged,lost,-0.22,2.5,2,avg,94.0,132.0,5,0.9954835675533088,-2060.082156134902,0.0140172108331298,0.0231642630498195,104.00041868974051,0.2134864139681745,2.8954288911169535,band_102,narrow,False
averaged,lost,-0.22,2.5,2,avg,94.0,132.0,5,0.9954835675533088,-2060.082156134902,0.0140172108331298,0.0258802757779542,122.08843728920714,1.8890845894457475,1.8890845894457475,band_120,broad,True
averaged,lost,-0.22,2.5,3,avg,135.0,155.0,3,0.9978223315954268,-1133.9958316902796,0.0125044704165974,0.0222005061145597,144.32893136599156,0.5310106243003252,1.6966422112956145,band_144,narrow,True
averaged,lost,-0.225,2.5,0,avg,31.0,51.0,3,0.9934563739239408,-1052.5488846588698,0.0166505943262507,0.0532181375488257,40.99435309739689,0.4837667548359423,1.165754091689903,band_38,narrow,True
averaged,lost,-0.225,2.5,1,avg,52.0,92.0,5,0.9917543495696444,-1954.1689760493464,0.0147491501666987,0.0419306913565399,62.04313064772519,0.4867917929717645,3.245929544759297,band_61,narrow,False
averaged,lost,-0.225,2.5,1,avg,52.0,92.0,5,0.9917543495696444,-1954.1689760493464,0.0147491501666987,0.0580701128497344,81.32645138799481,1.5470008313926096,1.5470008313926096,band_80,broad,True
averaged,lost,-0.225,2.5,2,avg,93.0,155.0,5,0.9833584050703362,-2981.2106783596705,0.0139471978291802,0.0475110167127192,103.8234981279561,0.6224331878881183,3.4271824361743506,band_102,narrow,False
