timestamp,mode,U2,RF_amplitude,line_id,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4,amp5,mu5,sigma5
20260204_143842,lost,-0.2,2.5,0,0,28.0,48.0,5,0.9721206808729627,-1026.4184185211197,0.012973035280569112,0.02197975834427576,40.22432521246097,0.6692312165872069,0.023942183265143673,37.38619934503068,1.6206868074222904,0.01155981254873075,34.33039128350632,0.47551074637788565,0.00866353340021712,32.24649528262511,1.5220767563422017,0.004729889899317744,44.78125987181785,2.2803781397921754
20260204_143842,trapped,-0.2,2.5,0,0,28.0,48.0,5,0.9282388648108312,-904.7708497451209,0.18650041966140585,-0.03139499566498699,40.19811553595319,0.6411599615005601,-0.030612015028476824,36.970653806957294,1.4817550912045592,-0.01760337170574556,33.919134073655336,0.4985878478716667,-0.01079327003985975,31.630029496894903,1.119226460741622,-0.005145734539830182,46.79976540629133,0.9801722896609097
20260204_160231,lost,-0.2,2.5,0,1,28.0,48.0,5,0.9842877346162489,-1068.1065913557175,0.013200891387061004,0.02311796620544673,37.7019410535767,2.1866036617805857,0.019002914592173105,40.432521302781524,0.47038553774197056,0.012206345348263599,34.58620580243948,0.3441349189767869,0.00694656767624439,32.26839906387182,1.5056338751338154,0.005629585319283875,45.5591012083729,1.3415435556390602
20260204_160231,trapped,-0.2,2.5,0,1,28.0,48.0,4,0.9197293753302601,-895.1297345483013,0.18716393563691294,-0.011594178188413691,34.602249987571525,0.20000000000000004,-0.025947506520905626,40.226068302807604,0.7812378745648959,-0.033223192980348606,37.14291929947382,1.3075210168481337,-0.008403901389431727,33.16836362555512,1.5747708236370088,,,
20260204_184958,lost,-0.2,2.5,0,2,28.0,48.0,5,0.9809954885068363,-1049.3372695985843,0.011874693338146957,0.0223279229006322,40.32462278611324,0.5682278599751093,0.011383811856360162,34.55205285606908,0.32247687896091537,0.025007280381015105,37.66575749620903,1.8161631931917392,0.006731691566613548,45.15801809260232,2.192619351445258,0.00985403304708211,32.69674460235558,1.9109584468032323
20260204_184958,trapped,-0.2,2.5,0,2,28.0,48.0,4,0.9119616175672697,-895.5238555548073,0.18696358471320623,-0.017786268795799524,40.287359113478836,0.4640308075767023,-0.030058154762987763,36.97682548814077,2.324926375652274,-0.007785544009390279,31.04679317201033,0.6164935448862787,-0.006915028977876728,46.28871983421649,0.5790191029862048,,,
20260204_201233,lost,-0.2,2.5,0,3,28.0,48.0,5,0.9638225175100704,-1012.3642469832585,0.013664615944649773,0.024601124540058847,40.25187331769241,0.7181555634412857,0.02210695871244996,37.49515712130565,1.2998160454288807,0.015771985340880257,34.41776621990678,0.8408966047471361,0.005105035516203936,45.28696993075703,1.7578598464459225,0.006873702825131911,31.792207119962725,1.0108227298579104
20260204_201233,trapped,-0.2,2.5,0,3,28.0,48.0,5,0.9304451739165368,-913.6249088894044,0.18458140450890786,-0.03221253712032928,36.84459985996972,0.8969997100161826,-0.012663663086695028,40.62617796274628,0.3002771478040037,-0.013281243526857478,34.47628316069849,0.4230610500531665,-0.007921048673976286,33.25919015092601,1.5476724823303907,-0.023544609033300173,39.64412604926064,0.8381391152872831
20260204_213526,lost,-0.2,2.5,0,4,28.0,48.0,5,0.9760282033734891,-1051.995441954489,0.012685636649586725,0.020734829767691282,37.43619453505117,2.2889473472718045,0.017103057753767366,40.314075190398746,0.5841290822564468,0.006476388601688452,45.23852716797014,1.6545968634920012,0.01168923245575257,34.42604725062459,0.3847569905051945,0.006866002638080806,31.941465312310385,1.4109098164366702
20260204_213526,trapped,-0.2,2.5,0,4,28.0,48.0,3,0.8679894690404841,-883.808190546261,0.18524698518140917,-0.010776845121844557,37.01544908230035,0.6456361167230409,-0.019198028085927684,40.40830388849474,0.42219889776585834,-0.020116632588610607,36.490427988278206,2.8972100209242893,,,,,,
20260204_145329,lost,-0.2,2.5,1,0,51.0,71.0,5,0.98261877104557,-1023.685546976003,0.015358297562886376,0.013673987250556864,61.558118999795425,0.534446385282591,0.023959784635014917,56.57700434260358,2.313714611099606,0.013973718675749956,63.81460612674705,1.650862163577409,0.007892902459370963,68.5964413096037,1.662261149913888,0.026704180337931205,60.2115217154098,1.201720241532972
20260204_145329,trapped,-0.2,2.5,1,0,51.0,71.0,4,0.9355241793600565,-913.4873988237147,0.2168915486700855,-0.023179493261229082,60.84053483078154,1.047488819387157,-0.0523778237414858,60.22536145642736,8.54510211620457,-0.010755897511472658,68.60576494962169,0.20000000000000004,-0.014137194466346554,70.50797239645686,1.5523407314680304,,,
20260204_174026,lost,-0.2,2.5,1,1,51.0,71.0,5,0.9826731036535604,-1038.976823806858,0.015490565147097173,0.033169407881645935,60.76678056190875,1.4702630184611618,0.02252121049453839,56.12222825276231,2.3002876790335085,0.01112526454472241,64.54862674310321,0.922991943618634,0.009314233996612102,68.21420102961304,1.8522420739380536,0.004945112646128535,58.4145330945653,0.3843870599594959
20260204_174026,trapped,-0.2,2.5,1,1,51.0,71.0,4,0.8973959340466713,-900.3061674643247,0.18846191496915343,-0.019675106661779032,64.69110849537353,0.8227533732613489,-0.016720360369887156,68.57649858393093,2.268543547166146,-0.032195724489419486,61.0491754019789,1.543448633561221,-0.019895088541675765,56.92093441920568,3.1847418647657966,,,
20260204_190418,lost,-0.2,2.5,1,2,51.0,71.0,5,0.9869790446183393,-1055.8401212364508,0.01675051900736862,0.03127902026862555,60.79998142705189,1.657999026698286,0.02033231878218072,56.46516046306172,2.250482749683597,0.005177828850559042,63.874857168677664,0.3732079702271923,0.00733739109475474,68.51958335441593,1.3197767444040096,0.009088804539246507,65.33545128805032,0.8628372567286783
20260204_190418,trapped,-0.2,2.5,1,2,51.0,71.0,5,0.9314747477182566,-911.5187876745813,0.19184249646836288,-0.009078647848263108,53.86142202664675,0.40857109198274144,-0.014461625316427643,61.04030542967151,0.7647394303153446,-0.012455814646146349,68.82123470601617,1.0554589496226896,-0.0329285053573706,60.531947398684245,4.706556579677962,-0.01207374930015454,70.65540303421095,0.29130575845256157
20260204_202646,lost,-0.2,2.5,1,3,51.0,71.0,5,0.9849160907845036,-1029.7171290026404,0.014856257070967733,0.020223616002947278,59.120982263451914,0.9497401409974021,0.014715644606781483,63.98334344125232,1.451523285673768,0.03635572012675195,61.23901436811325,0.9564221359987776,0.02219977684140012,56.08503027672864,2.08889780431158,0.008716684162477315,68.38580755359703,1.717897677731227
20260204_202646,trapped,-0.2,2.5,1,3,51.0,71.0,4,0.9523403840931631,-944.0232187726251,0.2070813994195785,-0.018642041309338758,70.11295804551925,2.2485253669694485,-0.02056325926145358,61.08841217292469,1.0604105102663273,-0.00855182185972666,64.77334199652769,0.22849952674301996,-0.044088286206640494,59.73709612631937,6.626071063669551,,,
20260204_215000,lost,-0.2,2.5,1,4,51.0,71.0,5,0.9849397378329059,-1023.1607926155723,0.014536193931964399,0.037835522201146485,61.39230519476628,0.9551275439549489,0.023014688142489984,56.5619102443168,2.3920979705284857,0.009674160339014673,67.97327957595898,2.103483579012997,0.014076942763595782,63.98653054709541,1.1564703863666685,0.016956333764065072,59.29811294423661,0.9535185106952538
20260204_215000,trapped,-0.2,2.5,1,4,51.0,71.0,3,0.9136980927255469,-896.9544930782891,0.19213868958657748,-0.019664543566209055,61.45054531976894,0.6976535672682654,-0.031629738979585695,60.53640817616797,4.778262869470578,-0.009318747251874746,69.15089229699849,1.6487978249648736,,,,,,
20260204_150723,lost,-0.2,2.5,2,0,72.0,132.0,5,0.9693796399183081,-2952.151845920245,0.014844105864610813,0.0471873264613962,102.38086712516862,0.39072067705000035,0.028705715316810754,80.64106917926345,1.796579453658595,0.005454977523538636,110.66199854974674,2.8122672370907438,0.014838545329608203,120.59120403690802,1.7121042373430257,0.03354320727353203,100.94567450248974,1.8812889918745386
20260204_150723,trapped,-0.2,2.5,2,0,72.0,132.0,5,0.9193901743097144,-2614.740435379048,0.18600252348756394,-0.05662504953855698,102.52956755344908,0.23289392238542864,-0.032881238436734614,80.79107600459564,1.7444690133379201,-0.05168882301593522,101.78150934840332,1.1843081180177706,-0.01726370924573058,120.55085809805358,1.5114825886897143,-0.015870688331021173,98.82678352737379,0.9023812918461394
20260204_175457,lost,-0.2,2.5,2,1,72.0,132.0,5,0.9666197358926891,-2932.243860768314,0.016252440838168413,0.044273521828168676,102.67257729817757,0.20000000000000004,0.02614173332711089,80.50073736860519,1.6253505366572083,0.026914708958299477,100.7959461193285,2.001101435354784,0.014640575791649808,120.61907587787593,1.530760704892579,0.02992229003373854,102.03543687098735,0.5674644383025531
20260204_175457,trapped,-0.2,2.5,2,1,72.0,132.0,5,0.9341987773296222,-2661.556885678579,0.18551617177871704,-0.028933142728720343,100.77466070015896,1.9702883029219627,-0.03276867610086253,80.92122079174312,1.69682399542419,-0.06095545967583273,102.64025921331145,0.20809447894503308,-0.014359536977632507,120.46891204618973,1.4445856840198714,-0.033321671923445415,102.02306121882005,0.7270751452857581
20260204_191800,lost,-0.2,2.5,2,2,72.0,132.0,5,0.9709532891429941,-2943.2206852979166,0.01608055032041208,0.04503097740587723,102.40757767651046,0.23480552433391094,0.02779949719863259,80.57549157998767,1.6609317070193097,0.026734684285706467,100.7193392261824,2.0780905406808174,0.01490129604782283,120.73348790971502,1.4989034549303475,0.029045185175557413,101.85056049499501,0.5771022137190905
20260204_191800,trapped,-0.2,2.5,2,2,72.0,132.0,5,0.9260736182951239,-2641.8703916164363,0.18382112138333823,-0.03360533635262033,101.82681239219689,0.6269199694070013,-0.03270196659547181,80.84954431987292,1.6626136618611542,-0.01781694093861859,120.64768922907727,1.316391927389092,-0.056194019232405766,102.46455954362946,0.2162962716387179,-0.028844932558362426,100.84746835713453,1.9376451213722976
20260204_204045,lost,-0.2,2.5,2,3,72.0,132.0,5,0.9728220332226771,-2942.994523860261,0.01500702160735591,0.051593279415584274,102.0181939801246,0.49324712238955154,0.030869943361905586,80.97876246700727,1.7346930776403469,0.03132031898820602,100.6757589315438,1.9459109427539523,0.01704897770892629,120.85313313626632,1.5008218263839743,0.005322061386705047,110.09347666253024,2.8737481926934336
20260204_204045,trapped,-0.2,2.5,2,3,72.0,132.0,5,0.9305716402540267,-2654.417963368304,0.18449201523972944,-0.004176095245291406,105.6338577433109,7.9228400238677565,-0.033650344211336176,81.11937604842934,1.6446981511576786,-0.056850023692886,102.19483853794962,0.29253602932876877,-0.016134222220211554,120.78215535698025,1.4390535736079244,-0.04534355583403612,101.11484698272207,1.4170011062610401
20260204_220350,lost,-0.2,2.5,2,4,72.0,132.0,5,0.9797587446413603,-2999.380980683551,0.01501114964395819,0.004799063945794176,110.5989825652258,2.8683912093158437,0.03171563220622904,81.1252404181744,1.7754862476412023,0.016767222312962578,120.91816147443545,1.5677526962739743,0.05084797055218507,102.03735111737804,0.4882899766229245,0.034183364868892466,100.8057393847422,1.8413765364911199
20260204_220350,trapped,-0.2,2.5,2,4,72.0,132.0,5,0.9312302174180271,-2650.5997414557596,0.18633610738980097,-0.017435232330916477,120.67290438937226,1.596136578121371,-0.03576859762567235,81.23386192711891,1.7811288870033726,-0.004243605487166278,105.99637358445841,9.253171622236442,-0.057675721897645554,102.16540376616177,0.3082710911115425,-0.04334215877246565,101.1105781617273,1.4505904783616643
20260204_154907,lost,-0.2,2.5,3,0,134.0,154.0,5,0.9868702301669854,-1064.3012227956597,0.012989997052048806,0.024844522993293778,144.0444453210205,2.1642572258709003,0.00928215620857373,142.15731479494232,0.7796303040101616,0.006041148293924863,139.35009859847628,0.4995072825948422,0.0034064350601939264,137.9405518988678,0.2673520927247384,0.0024227536740026993,133.34936824800369,1.5540800936359933
20260204_154907,trapped,-0.2,2.5,3,0,134.0,154.0,2,0.909581658492446,-904.2200085664372,0.1897734621938638,-0.03187386419514403,143.05293763331426,1.3376272034936831,-0.016175349989876874,146.2757834387183,1.4361873689142235,,,,,,,,,
20260204_183636,lost,-0.2,2.5,3,1,134.0,154.0,4,0.9898888809262356,-1092.36181325183,0.013507296628722474,0.005794928494839354,141.36564757510777,0.2676716114844347,0.022885926202109396,144.0592122313721,2.203497670688475,0.004657743612642414,139.1440883189781,0.6014679865622184,0.011124489444807723,142.38196666028477,0.7583234399753422,,,
20260204_183636,trapped,-0.2,2.5,3,1,134.0,154.0,3,0.9244662991610223,-911.916199569406,0.19212252738071575,-0.011879551289271026,142.56078663610765,0.9994749200623938,-0.02628224659396896,144.14356653276977,2.6452132281597973,-0.004258824378571444,151.7933918683922,2.462671974163432,,,,,,
20260204_195923,lost,-0.2,2.5,3,2,134.0,154.0,5,0.9845779747301258,-1026.3709481356366,5.4861273686971316e-33,0.021146803851564328,144.720974460166,1.763168964178025,0.007187395288971997,141.1637125506481,0.20000000000000004,0.00545802030381512,139.06101664154602,0.26152026692721614,0.019747272754726816,142.45872720865265,1.0214875625574666,0.01603836125147811,143.02340039049128,14.057772548165842
20260204_195923,trapped,-0.2,2.5,3,2,134.0,154.0,2,0.9237235208164921,-903.9725319250781,0.18743269503666177,-0.031248855408936998,143.06887778728944,1.5837094825029652,-0.013327697330581489,146.12815953888958,2.0969750127127704,,,,,,,,,
20260204_212205,lost,-0.2,2.5,3,3,134.0,154.0,4,0.9875153220966718,-1036.9188437739122,0.01334598801761997,0.015005619845000397,143.18432761876736,0.6636433486477382,0.026833500243310705,144.43467226291583,2.0107988621646884,0.005627103576168613,138.7401769922942,0.5993299210544631,0.014153962397438245,141.6388829633322,0.673212510254525,,,
20260204_212205,trapped,-0.2,2.5,3,3,134.0,154.0,2,0.9172672494753359,-892.5294222816536,0.18689465441278286,-0.027492528726356838,144.65052227808124,1.882428973708423,-0.020339798121819165,142.4032330872711,0.980347436986967,,,,,,,,,
20260204_224453,lost,-0.2,2.5,3,4,134.0,154.0,5,0.9903795913161428,-1057.3641823263547,0.012939832582583652,0.00603142953931661,138.81832378331399,0.6677993657391278,0.014999982215114003,141.93198011979575,0.9639990794929543,0.026864377112921906,143.72442738283445,1.4411399481806688,0.0037348699484967764,150.85784167613207,0.34235736042838844,0.012367433864968072,146.31267767449745,1.638644176229696
20260204_224453,trapped,-0.2,2.5,3,4,134.0,154.0,4,0.928484263484304,-894.9093789794337,0.18901148868783688,-0.02030823232703009,141.92215376472456,0.6474031492636286,-0.01774214179099656,146.1277412575621,1.492570383854297,-0.008218167128116828,138.87416066053856,0.7841340722449229,-0.02953772009299967,143.6057479483359,1.092173770636258,,,
20260204_230759,lost,-0.20500000000000002,2.5,0,0,30.0,50.0,5,0.9766195955507051,-1029.3890467798597,0.01615909338194598,0.022174116070518116,40.46107075210679,0.45000506651944183,0.019751378606326617,38.06100522120352,2.026300495527282,0.010101848867100072,34.56708251745119,0.35541967892553744,0.004233254645857076,32.98961461544747,1.120409540026314,0.005146650111257506,37.56936359753115,0.20000000001642665
20260204_230759,trapped,-0.20500000000000002,2.5,0,0,30.0,50.0,3,0.9028978578549413,-898.029069192138,0.184756508033064,-0.009877778246936765,34.26850549943296,0.69455134740478,-0.0283781158769912,40.298147512057376,0.6375075380351655,-0.02840955622134271,37.35229596066884,1.354160308073815,,,,,,
