mode,model,band,a,b,c
trapped,sqrt_offset,band_38,15.847878281192415,-0.19999899999999998,37.98844664287722
trapped,sqrt_offset,band_61,198.86506661819064,19.210729527918247,-816.2771147476028
trapped,sqrt_offset,band_80,285.5854227671159,23.018733526614394,-1295.4682849918704
trapped,sqrt_offset,band_102,17.329365377659933,-0.19999899999999998,102.4354208146799
trapped,sqrt_offset,band_144,2.9357380369263435,-0.19999899999999998,143.67492944855775
trapped,sqrt_only,band_38,60.032232225764815,0.2291172942358245,
trapped,sqrt_only,band_61,50.60742076969161,1.2016609647659264,
trapped,sqrt_only,band_80,69.3967959622788,1.1505220406798116,
trapped,sqrt_only,band_102,121.25476879727533,0.5247999788538037,
trapped,sqrt_only,band_120,296.2907098083115,-0.04235496436585533,
trapped,sqrt_only,band_144,34.55833476494393,17.153289993194768,
