mode,model,band,a,b,c
lost,sqrt_offset,band_38,78.06149921009361,1.6635178684330962,-66.32154848349946
lost,sqrt_offset,band_61,219.03956562217067,6.432949339953093,-503.0938910553624
lost,sqrt_offset,band_80,87.27555972581543,0.805902384395209,-7.130289594908402
lost,sqrt_offset,band_102,17.488060294477364,-0.19999899999999998,102.27011396274436
lost,sqrt_offset,band_144,82.95055537061337,2.9643228526740635,-4.520811614937191
lost,sqrt_only,band_38,48.228581064797446,0.49609817499281533,
lost,sqrt_only,band_61,72.60822514702915,0.5064532258191187,
lost,sqrt_only,band_80,83.68973644872405,0.7229737069901091,
lost,sqrt_only,band_102,116.85565597433926,0.5781434996980592,
lost,sqrt_only,band_120,134.0751362927044,0.6098071472155439,
lost,sqrt_only,band_144,81.67547112763577,2.8669602292867085,
