Timestamp,b1,U2
20260107_174740,44.01110567,-0.28
20260107_175216,53.3518318,-0.28
20260107_180137,86.95293275,-0.28
20260107_181203,99.6794072,-0.28
20260107_181704,99.85897767,-0.28
20260107_182743,107.5710704,-0.28
20251224_144819,41.45271103,-0.25
20251224_145254,62.28804986,-0.25
20251224_150102,82.67301203,-0.25
20251224_150934,103.2287199,-0.25
20251224_175711,53.88854109,-0.3
20251224_180919,84.35774471,-0.3
20251224_181339,102.0301549,-0.3
20251223_142531,34.26839192,-0.18
20251223_143329,60.80768618,-0.18
20251223_144635,83.56411894,-0.18
20251223_145237,96.86942146,-0.18
20251223_150033,109.753676,-0.18
20251223_150438,120.6269007,-0.18
20251223_192919,37.5661129,-0.21
20251223_193638,60.79580548,-0.21
20251223_194955,82.52974827,-0.21
20251223_195354,100.9568883,-0.21
20251223_200839,143.5875904,-0.21
20251222_142532,23.08748934,-0.12
20251222_143229,65.92912886,-0.12
20251222_145548,89.97677064,-0.12
20251222_150242,106.946274,-0.12
20251222_151117,115.3780975,-0.12
20251222_185258,31.82276004,-0.15
20251222_190012,63.09152218,-0.15
20251222_191539,84.4186393,-0.15
20251222_192232,96.77674391,-0.15
20251222_193035,129.2331114,-0.15
20251219_152324,13.97202684,-0.06
20251219_152848,27.95243648,-0.06
20251219_153648,82.39673828,-0.06
20251219_174546,14.99941794,-0.09
20251219_175228,30.07658878,-0.09
20251219_175909,45.47118518,-0.09
20251219_180433,77.17754271,-0.09
20251218_145950,9.190347641,0
20251218_150250,15.63750337,0
20251218_150947,81.13747029,0
20251218_174138,12.21120673,-0.03
20251218_174818,24.49233688,-0.03
20251218_175457,74.22836873,-0.03
20251217_165722,17.05940903,0.03
20251217_171011,81.85677624,0.03
