metric,kind,mu,k_per_hr,k_ci95_low,k_ci95_high,relative_drift_pct_per_hr,partial_R2_time,a_emp,b,a_poisson,overdispersion_a_over_ap,poisson_frac_in_1overN,N_star_a_over_b,RSD_at_N=2000,improve_std_if_doubleN_from_2000,RSD_at_N=4000,improve_std_if_doubleN_from_4000,RSD_at_N=8000,improve_std_if_doubleN_from_8000,RSD_at_N=16000,improve_std_if_doubleN_from_16000
loading_signal,count_rate,0.4560706180856181,-0.06540500535167429,-0.06970928945610726,-0.06110072124724132,-14.340982022962903,0.59055074670787,0.9642114291101935,0.00018604418114201375,0.24649109103053246,3.911749609606613,0.25564008431014207,5182.701351858883,0.05667673951855374,0.20048553133439806,0.04531387328187522,0.15276872543252618,0.03839133061619214,0.10365857706967596,0.03441173991270618,0.06316134968349207
ratio_signal,ratio,0.19949554650158732,-0.005590817633932705,-0.007963215498569395,-0.0032184197692960138,-2.802477414646557,0.03352757166955922,0.4782389566371492,1.135125806029749e-05,0.15969383736786832,2.9947239324926804,0.33392059586862904,42130.92100424116,0.07933143154789757,0.2770478239469758,0.05735283106695408,0.2628739129577693,0.04227626794517795,0.23855986876794633,0.03219084701217776,0.20148864149484458
trapped_signal,count_rate,0.09096171957671957,-0.015571683321987623,-0.016690009248169685,-0.014453357395805562,-17.11894123643303,0.5477314937967217,0.10496201629251176,2.8408997626440296e-06,0.08262533784220065,1.2703369091569718,0.7871927461067203,36946.75105144275,0.08176923089006283,0.2749647714234381,0.05928557300890637,0.259159987522386,0.043921124647660695,0.23254042672670705,0.03370768757977678,0.19309529612025267
ratio_lost,ratio,0.009992557542222223,0.001551734022145682,0.0010650933165127726,0.002038374727778591,15.528897537882932,0.059718981740356725,0.02315553293841223,-2.6154151406792843e-07,0.009892601755840657,2.340691914009482,0.4272241015636494,,0.3366465191166154,0.3011123414868052,0.2352780974920288,0.3098253030557284,0.16238298963418576,0.32893215872937476,0.10897000231288335,0.3757339069333778
lost_signal,count_rate,0.004548436748436749,6.725909510047292e-05,-0.00015583196736660676,0.00029035015756755263,1.478729920199268,0.0005674508001127787,0.004675796699988137,-8.525984192759263e-09,0.004527553071942449,1.0327425489420243,0.9682955360214731,,0.3355500437612558,0.2941884836008789,0.23683508521492344,0.29549567280655586,0.16685134236514165,0.2981465169998174,0.1171051957822306,0.30359911654357197
