no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,time_accum,loading_signal baseline,trapped_signal baseline,lost_signal baseline,ratio_signal baseline,ratio_lost baseline,trapped_signal detrended,lost_signal detrended,ratio_signal detrended,ratio_lost detrended
15000,12.175,0.2116747741,0.0097289785,7195,1523,70,7.2432527542,200.30370355,7337.6567111,1517.4475344,67.336452406,0.2069539449,0.0091504386,1.0036590824,1.0395558052,1.0228110136,1.0632253648
12000,12.175,0.2112409763,0.0111722241,5818,1229,65,5.8803861141,206.18408966,5911.8917418,1203.3159003,54.677888606,0.2036919878,0.0092212238,1.0213444364,1.1887803581,1.0370608021,1.2115771533
12000,12.179,0.2025004402,0.0079239303,5679,1150,45,5.8577628136,212.04185247,5910.686709,1203.013462,54.683730874,0.2036810851,0.0092245403,0.9559327774,0.822913859,0.9942034632,0.8590054341
1500,12.174,0.2379110251,0.0096711799,517,123,5,1.02744174,213.06929421,543.85125948,110.63083279,4.8018959421,0.2035786354,0.008914577,1.111805786,1.0412553834,1.1686443654,1.0848725508
60000,12.177,0.2032974859,0.0087600598,28082,5709,246,28.050835848,241.12013006,28506.701104,5784.7978399,257.28817082,0.2030076784,0.0089659684,0.9868970633,0.9561263513,1.0014275694,0.9770344314
10000,12.174,0.2028634805,0.0082677959,4959,1006,41,4.9091179371,246.029248,5000.4938266,1008.3956749,45.764913765,0.2018214169,0.0090977028,0.997624271,0.89588282,1.0051632956,0.9087784134
40000,12.171,0.2073512616,0.0074758592,19262,3994,144,18.797360182,264.82660818,19364.538185,3959.6080466,178.42370452,0.2045822815,0.0091676807,1.0086856964,0.8070676505,1.0135347991,0.8154580706
4000,12.174,0.1952975048,0.0134357006,2084,407,28,2.2256059647,267.05221415,2058.4783914,420.61265114,19.646192195,0.205052341,0.0094671816,0.9676361348,1.4252125665,0.9524275792,1.419186951
12000,12.173,0.2089423904,0.007394669,5815,1215,43,5.8930003643,272.94521451,5898.157941,1199.8690004,54.744473129,0.2035677293,0.009259022,1.0126105429,0.7854674188,1.0264023235,0.7986447149
3000,12.17,0.1974522293,0.0082802548,1570,310,13,1.7504558563,274.69567037,1589.9895055,311.12418852,15.170231673,0.1956113984,0.0095256938,0.9963866888,0.8569414285,1.0094106525,0.8692547672
1500,12.174,0.1992818671,0.012567325,557,111,7,1.0642545223,275.75992489,542.63400535,110.2835797,4.7967761107,0.2033731022,0.0089247393,1.0064961647,1.4593134719,0.9798831062,1.4081447654
8000,12.173,0.1957749939,0.006877917,4071,797,28,4.0140082836,279.77393317,4028.6065633,805.66333096,36.44753128,0.200091328,0.0090210905,0.9892469588,0.7682276142,0.9784281798,0.7624263326
1000,12.175,0.1988527725,0.0133843212,523,104,7,0.8378994465,280.61183262,543.61790093,104.80436882,4.5850046409,0.1925598682,0.0084596814,0.992325045,1.5267160119,1.0326802481,1.5821306445
8000,12.175,0.2119725221,0.0058881256,4076,864,24,4.0676119328,284.67944455,4027.8530275,805.51263556,36.45146123,0.2000913849,0.0090241643,1.0726088727,0.6584098193,1.0593785545,0.65248431
15000,12.175,0.2129746392,0.0084068937,7137,1520,60,7.2167892456,291.8962338,7310.2814943,1510.1240556,67.345451316,0.2066918849,0.0091919963,1.0065398233,0.8909287684,1.0303967147,0.9145884475
30000,12.173,0.2064397943,0.008948073,14193,2930,127,14.124470949,306.02070475,14591.223234,2978.3958483,132.09182008,0.2042609479,0.009006691,0.9837510355,0.9614524194,1.0106669746,0.9934917217
22000,12.174,0.2093135364,0.0080987273,10372,2171,84,10.600581646,316.62128639,10565.449583,2164.3121426,95.116709856,0.2050904771,0.0089701481,1.0030900614,0.8831255846,1.0205912014,0.9028532513
10000,12.17,0.2012018235,0.0091172814,4826,971,44,4.9347496033,321.556036,4985.7347181,1005.117883,45.817545882,0.2017513746,0.0091421978,0.9660558392,0.9603307893,0.9972760974,0.9972745716
60000,12.175,0.2058452409,0.0089349657,29323,6036,262,27.975343227,349.53137922,28394.280726,5758.6887474,257.84767429,0.2028756914,0.0090309053,1.0481552771,1.0161037935,1.0146372863,0.9893765317
10000,12.169,0.1918604651,0.0081395349,5160,990,42,4.9850826263,354.51646185,4979.2937385,1003.6874314,45.840514912,0.2017208076,0.0091616157,0.9863628547,0.9162200748,0.9511188629,0.8884388002
1500,12.169,0.2171314741,0.0179282869,502,109,9,1.0443744659,355.56083632,541.08452357,109.84155013,4.7902589134,0.2031114725,0.0089376753,0.9923385083,1.8788128497,1.069026143,2.0059228285
40000,12.167,0.207436808,0.0089826614,19148,3972,172,18.782105684,374.342942,19275.661904,3937.6020795,178.53035821,0.204353837,0.0092247747,1.0087357533,0.9634215812,1.0150864355,0.9737540095
4000,12.167,0.1979213737,0.0090375056,2213,438,20,2.2229084969,376.5658505,2051.8696928,418.79952773,19.656993372,0.2047841889,0.0095098084,1.0458464516,1.0174495978,0.9664875729,0.9503352007
4000,12.17,0.1924510718,0.0121155638,2146,413,26,2.1600515842,378.72590208,2051.7393426,418.76376561,19.657206414,0.2047788998,0.0095106491,0.9862362361,1.322670142,0.9397993246,1.2738945213
40000,12.171,0.2129307209,0.0082116314,19241,4097,158,18.890262604,397.61616468,19256.774881,3932.9256101,178.5530231,0.2043052905,0.0092369077,1.0417181524,0.8848912063,1.0422183406,0.8890022129
60000,12.161,0.2011338342,0.0077907624,28752,5783,224,28.027624369,425.64378905,28315.353622,5740.358307,258.24048553,0.2027830271,0.0090764956,1.0074284027,0.8674085302,0.9918672044,0.8583447569
10000,12.157,0.2075694855,0.0092647349,5073,1053,47,4.9179697037,430.56175876,4964.4333054,1000.3871367,45.89350836,0.2016502844,0.0092064162,1.0525925028,1.0241099815,1.0293537952,1.0063345702
30000,12.162,0.2127895686,0.0087390762,14418,3068,126,14.22896719,444.79072595,14506.422379,2958.5502675,132.16117778,0.2040560423,0.0090755822,1.0369943799,0.9533813342,1.0427996457,0.962921823
22000,12.161,0.2085912944,0.007429279,10499,2190,78,10.449168682,455.23989463,10514.289982,2151.4444034,95.240270538,0.2048304575,0.009033519,1.0179207962,0.8189812939,1.0183607307,0.8224125037
40000,12.165,0.2026679028,0.0095797281,19416,3935,186,18.730411768,473.9703064,19194.810862,3917.5831797,178.62738142,0.2041460204,0.0092767134,1.0044458074,1.0412737315,0.992759508,1.0326640149
30000,12.162,0.2007432386,0.0068130204,14531,2917,99,14.042369604,488.012676,14480.009914,2952.3690715,132.18278025,0.2039922214,0.0090970394,0.988020105,0.7489629119,0.9840730063,0.7489272251
1500,12.162,0.2136602452,0.0070052539,571,122,4,1.1319167614,489.14459276,538.49074874,109.10160907,4.7793493675,0.2026735142,0.0089593296,1.1182236544,0.8369340034,1.0542090123,0.781894883
30000,12.161,0.2037585186,0.0090865285,14527,2960,132,14.169774532,503.31436729,14470.659217,2950.1807678,132.19042808,0.2039696272,0.0091046357,1.0033283494,0.9985594412,0.998965,0.9980112099
10000,12.161,0.2135744767,0.0107701687,4921,1051,53,5.0186414719,508.33300877,4949.2355942,997.01193724,45.947704569,0.2015781605,0.0092522334,1.054149866,1.1534852611,1.0595119837,1.1640614916
15000,12.159,0.1985734665,0.0085592011,7010,1392,60,7.2622289658,515.59523773,7243.4222352,1492.2377181,67.367429609,0.2060518486,0.0092934939,0.9328272454,0.8906381073,0.963706309,0.9209885193
8000,12.159,0.1942813378,0.0079142201,3917,761,31,4.1067090034,519.70194674,3991.7512097,798.29283576,36.63974468,0.2000941096,0.0091714277,0.953284266,0.8460757647,0.9709498103,0.8629212694
2000,12.161,0.2303206997,0.0038872692,1029,237,4,1.2365188599,520.9384656,1070.6199747,218.74383287,10.383936497,0.2050512316,0.0096536331,1.083459117,0.3852103681,1.1232349002,0.4026742225
8000,12.161,0.2097672065,0.0118927126,3952,829,47,4.0699717999,525.0084374,3990.9360794,798.12982243,36.643995866,0.2000941711,0.0091747527,1.0386781407,1.2826112134,1.0483424145,1.296243384
4000,12.162,0.1932089909,0.0081300813,2091,404,17,2.2303347588,527.23877215,2042.7772002,416.30496532,19.671854031,0.2044152552,0.0095684559,0.9704424248,0.8641788401,0.9451789237,0.8496753711
8000,12.163,0.2153965785,0.0108864697,3858,831,42,4.0845727921,531.32334495,3989.9660462,797.93583093,36.649054925,0.2000942443,0.0091787096,1.0414371279,1.1460049948,1.0764756341,1.1860566592
60000,12.155,0.2058139131,0.0100024311,28793,5926,288,28.029006243,559.35235119,28176.700416,5708.1567667,258.9305468,0.2026202414,0.0091565852,1.0381634987,1.1122673766,1.015761859,1.0923756986
8000,12.161,0.1962180747,0.0081041257,4072,799,33,4.0557794571,563.40813065,3985.0375007,796.95019879,36.674758992,0.2000946163,0.0091988137,1.0025720568,0.899801414,0.9806264571,0.8809968305
15000,12.161,0.2070184984,0.0100652884,7352,1522,74,7.289740324,570.69787097,7226.9531354,1487.8318679,67.372843409,0.2058941917,0.0093184952,1.0229650492,1.0983653985,1.005460604,1.0801409586
1000,12.159,0.2042801556,0.0077821012,514,105,4,0.8188102245,571.51668119,537.72358104,103.7971245,4.6047671709,0.1929186454,0.0085953357,1.011588717,0.8686649838,1.0588927535,0.9053865344
2000,12.162,0.1728813559,0.0127118644,1180,204,15,1.2922706604,572.80895185,1068.7523252,218.21502408,10.366117,0.2048829683,0.0096546185,0.9348577206,1.4470220624,0.8438054045,1.3166614944
40000,12.162,0.2056955435,0.0098396501,19208,3951,189,18.731557846,591.5405097,19099.398588,3893.958886,178.74187846,0.2039007761,0.0093380061,1.0146486174,1.0573907001,1.0088021609,1.0537206798
6000,12.162,0.2108291032,0.0087986464,2955,623,26,3.1479377747,594.68844748,3033.8917107,620.7429922,27.002732815,0.204884208,0.0088942949,1.0036359779,0.9628655062,1.0290158783,0.9892460789
1000,12.158,0.1830708661,0.0059055118,508,93,3,0.83598876,595.52443624,537.23713542,103.71399878,4.6063981303,0.1929482545,0.0086065309,0.8966966956,0.6512680657,0.9488080967,0.686166339
15000,12.161,0.2066252588,0.0071773637,7245,1497,52,7.2799372673,602.8043735,7217.3571294,1485.2647231,67.375997853,0.2058023302,0.0093330627,1.0079011349,0.7717881984,1.003998636,0.7690255528
10000,12.163,0.2005213555,0.0072187688,4987,1000,36,4.9748775959,607.7792511,4929.8022525,992.69606343,46.017005361,0.2014859356,0.0093108201,1.0073576766,0.7823194864,0.9952126677,0.7753096663
15000,12.162,0.2080813634,0.0083837273,7276,1514,61,7.2626481056,615.0418992,7213.6995722,1484.2862453,67.377200183,0.2057673168,0.0093386151,1.0200188844,0.905350769,1.0112459384,0.897748455
15000,12.163,0.2058461959,0.0090151619,7321,1507,66,7.22910285,622.27100205,7211.5389347,1483.7082267,67.377910438,0.2057466333,0.0093418952,1.0156983515,0.9795495226,1.0004839088,0.9650249445
6000,12.161,0.1967793881,0.0080515298,3105,611,25,3.1323349476,625.403337,3030.5452297,619.85628944,27.012710869,0.2048098963,0.0089087938,0.9857123504,0.9254902302,0.9607904289,0.9037732763
2000,12.161,0.1933085502,0.0102230483,1076,208,11,1.2921702862,626.69550729,1066.8120851,217.66566188,10.347604906,0.204708165,0.0096556422,0.9555939977,1.0630479324,0.9443128475,1.0587642039
8000,12.154,0.1871813547,0.0099538723,4119,771,41,4.084792614,630.7802999,3974.6884585,794.88055197,36.728732821,0.2000953974,0.0092410287,0.9699570559,1.1162922554,0.9354605711,1.0771389933
3000,12.159,0.2028624767,0.0087118855,1607,326,14,1.7163102627,632.49661016,1569.0227443,307.33053701,15.084230526,0.1958864212,0.0096080073,1.0607471785,0.9281215887,1.0356127567,0.9067317761
