no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,time_accum,loading_signal baseline,trapped_signal baseline,lost_signal baseline,ratio_signal baseline,ratio_lost baseline,trapped_signal detrended,lost_signal detrended,ratio_signal detrended,ratio_lost detrended
4000,12.158,0.2155495979,0.0096514745,1865,402,18,2.2142448425,993.95889854,2014.6125555,408.57788023,19.717885984,0.2032724568,0.0097501207,0.9839005474,0.9128767665,1.0603974647,0.9898825676
2000,12.155,0.166023166,0.0077220077,1036,172,8,1.3351008892,995.29399943,1053.5403225,213.90787712,10.220977216,0.2035124635,0.0096626447,0.8040844607,0.7827040244,0.8157886901,0.7991608915
6000,12.154,0.1971879287,0.0099451303,2916,575,29,3.1244142056,998.41841364,2989.9040975,609.08778259,27.133888733,0.2039074222,0.0090848751,0.9440346965,1.0687741917,0.9670463512,1.0946909178
12000,12.156,0.1981028822,0.0102152499,5482,1086,56,5.8282053471,1004.246619,5747.7178785,1162.1116572,55.473840037,0.2022066017,0.0096730627,0.9345057278,1.0094848304,0.9797053136,1.0560512485
22000,12.151,0.1981021327,0.0098806496,10222,2025,101,10.471968412,1014.7185874,10307.804671,2099.5089091,95.738973919,0.2037809923,0.0092892905,0.964511268,1.0549517701,0.9721325352,1.063660306
1000,12.156,0.2224532225,0.0103950104,481,107,5,0.8178961277,1015.5364835,528.72684287,102.25972688,4.6349315175,0.1934662615,0.0088023902,1.0463552296,1.0787645904,1.1498295397,1.1809304247
22000,12.155,0.1975658081,0.007925276,10599,2094,84,10.461488485,1025.997972,10303.641818,2098.4618622,95.749028042,0.2037598345,0.009294447,0.9978737463,0.8772935007,0.9696013376,0.8526893507
22000,12.16,0.1975946632,0.0098656394,10643,2103,105,10.500523806,1036.4984958,10299.766418,2097.4871157,95.75838791,0.2037401377,0.0092992474,1.0026283281,1.0965096875,0.9698367016,1.0609072915
3000,12.158,0.1981191223,0.0087774295,1595,316,14,1.7310283184,1038.2295241,1545.2472195,303.02867777,14.986708434,0.1961982868,0.0097013476,1.042805593,0.9341610976,1.0097902765,0.9047639349
1500,12.163,0.19348659,0.0095785441,522,101,5,1.1005923748,1039.3301165,527.80788277,106.05404649,4.7344167025,0.2008697143,0.0090485162,0.9523446143,1.056096308,0.9632442138,1.0585762238
12000,12.155,0.1979871308,0.006599571,6061,1200,40,5.8885467052,1045.2186632,5739.2892923,1159.9962565,55.514703699,0.2021303429,0.0096962598,1.0344860971,0.7205298297,0.9795022755,0.68063059
10000,12.163,0.1880808081,0.0092929293,4950,931,46,4.9039628506,1050.1226261,4843.3614807,973.49877509,46.325259808,0.2010757134,0.0095714172,0.9563442953,0.9929787807,0.9353730739,0.9709042162
4000,12.156,0.1995049505,0.0099009901,2020,403,20,2.2052240372,1052.3278501,2011.0902287,407.61151553,19.723642832,0.2031295362,0.0097728401,0.9886864935,1.0140114668,0.9821562844,1.0131128732
22000,12.159,0.2043299167,0.0099626401,10439,2133,104,10.425995827,1062.7538459,10290.076426,2095.0498744,95.781791182,0.2036908882,0.0093112503,1.0181141872,1.0858013691,1.0031372463,1.0699572835
10000,12.155,0.1949221949,0.0092137592,4884,952,45,4.9762163162,1067.7300622,4839.920714,972.73462884,46.337529847,0.2010593845,0.0095817902,0.9786841876,0.9711350637,0.9694757368,0.9615905797
3000,12.156,0.1824583867,0.0115236876,1562,285,18,1.7139177322,1069.44398,1543.418085,302.69772065,14.979205717,0.1962222797,0.0097085286,0.9415333534,1.201665852,0.9298556055,1.1869653993
3000,12.158,0.197740113,0.0119271814,1593,315,19,1.7962675095,1071.2402475,1543.3128256,302.67867539,14.978773966,0.1962236604,0.0097089419,1.0407076072,1.2684616273,1.0077281843,1.2284738711
10000,12.159,0.2077216972,0.0092499497,4973,1033,46,4.9309380054,1076.1711855,4838.2711873,972.36829199,46.343412187,0.2010515563,0.0095867631,1.0623546742,0.9925898381,1.0331762706,0.9648668278
22000,12.158,0.2069641981,0.0089259441,10195,2110,91,10.482041836,1086.6532273,10281.255945,2092.8313338,95.80309441,0.2036460579,0.0093221762,1.0082035594,0.9498649345,1.0162936629,0.9574957527
1000,12.163,0.1833976834,0.0057915058,518,95,3,0.8512749672,1087.5045023,527.26862543,102.01054101,4.6398206424,0.1935550207,0.0088359502,0.9312763079,0.6465767173,0.9475222223,0.6554479893
40000,12.158,0.2066465257,0.0108761329,18205,3762,198,18.760025978,1106.2645283,18681.682297,3790.5313928,179.24314812,0.202827093,0.0096063467,0.9924729834,1.1046447358,1.0188309788,1.1321820169
30000,12.158,0.1956909361,0.0092124814,13460,2634,124,14.156503677,1120.421032,14093.552026,2861.9279874,132.49885996,0.2030584172,0.0094109929,0.9203585875,0.9358571088,0.9637174309,0.9789064264
40000,12.159,0.1986661606,0.0098140216,18443,3664,181,18.736130238,1139.1571622,18654.98879,3783.9220205,179.27518097,0.202758481,0.0096234945,0.968307481,1.0096210698,0.9798167735,1.019798114
15000,12.158,0.2075390569,0.0097463093,6977,1448,68,7.2798404694,1146.4370027,7054.8759642,1441.7974009,67.429409431,0.2042469158,0.0095797217,1.0043019907,1.0084620431,1.0161184371,1.0173896122
30000,12.155,0.2042100694,0.0103443287,13824,2823,143,14.157187462,1160.5941901,14069.002645,2856.1828009,132.51893864,0.2029990981,0.0094309365,0.9883821159,1.0790910452,1.0059654026,1.0968506357
10000,12.16,0.1975081699,0.0098039216,4896,967,48,4.9042568207,1165.4984469,4820.8152518,968.49157248,46.405661396,0.2009687156,0.0096393884,0.9984599014,1.0343565538,0.9827806747,1.0170688424
22000,12.163,0.2022669533,0.0104553449,10234,2070,107,10.496457577,1175.9949045,10248.28285,2084.5378917,95.882731038,0.2034784716,0.0093630196,0.9930258444,1.1159465197,0.9940459633,1.1166637817
15000,12.158,0.190876516,0.0086824697,7256,1385,63,7.2380831242,1183.2329876,7043.8783636,1438.8552984,67.433024615,0.204141637,0.0095964169,0.9625707335,0.9342603325,0.9350200125,0.9047616212
1000,12.158,0.1895551257,0.0077369439,517,98,4,0.8928127289,1184.1258004,525.31088275,101.67599432,4.6463845801,0.1936741852,0.0088810065,0.9638459958,0.8608843997,0.9787320159,0.8711787263
1500,12.158,0.1978984238,0.003502627,571,113,2,1.0119721889,1185.1377726,524.97675839,105.24639537,4.7225088527,0.2003916795,0.009072152,1.0736709757,0.4235037058,0.9875580877,0.3860855703
60000,12.158,0.2037906005,0.0097514481,27278,5559,266,28.01189518,1213.1496677,27498.725183,5550.7002786,262.30475259,0.2018242653,0.009548201,1.0014952566,1.0140876113,1.0097428085,1.0212864281
6000,12.155,0.2140350877,0.009122807,2850,610,26,3.1301229,1216.2797906,2966.167435,602.79838069,27.204663289,0.2033803276,0.0091877163,1.0119469785,0.9557185003,1.0523883514,0.9929352051
60000,12.155,0.1986827262,0.0110257996,27481,5460,303,28.055508614,1244.3352993,27466.386284,5543.1897246,262.46569962,0.2017862979,0.0095668807,0.984992445,1.1544365623,0.9846195126,1.1524968223
6000,12.154,0.1892775417,0.007518797,3059,579,23,3.1465027332,1247.481802,2962.7678805,601.8976153,27.21479959,0.2033048374,0.0092024452,0.9619576242,0.8451283987,0.9310036304,0.8170433848
6000,12.155,0.1931855772,0.0092623222,3023,584,28,3.1011874676,1250.5829895,2962.4299967,601.80808766,27.215807044,0.2032973344,0.0092039091,0.9704090257,1.0288138785,0.950261241,1.0063465493
8000,12.155,0.2137718397,0.0095066804,3892,832,37,4.1271164417,1254.7101059,3878.8465712,775.71367114,37.228581371,0.2001026308,0.0096319787,1.0725607024,0.9938600569,1.0683109902,0.9869914266
4000,12.155,0.2068796069,0.0073710074,2035,421,15,2.3023407459,1257.0124466,1998.7383531,404.22272811,19.743830588,0.202628351,0.0098525109,1.0415050187,0.7597309921,1.0209805583,0.748134908
3000,12.155,0.195089582,0.0119442601,1507,294,18,1.7430150509,1258.7554617,1532.32463,300.69051019,14.933702749,0.1963677935,0.0097520805,0.9777495133,1.2053273259,0.9934907273,1.2247909738
15000,12.156,0.2039146947,0.0111013731,6846,1396,76,7.2419259548,1265.9973876,7019.1417024,1432.2376919,67.441156167,0.2039048357,0.009633969,0.9746985489,1.1269083201,1.0000483512,1.1523156274
1500,12.156,0.1962616822,0.0056074766,535,105,3,1.1078886986,1267.1052763,523.38520823,104.7923647,4.7158147137,0.2001229466,0.0090854391,1.0019813972,0.6361573094,0.9807055393,0.6171937923
1000,12.159,0.1806020067,0.0100334448,598,108,6,0.84116745,1267.9464438,523.61250718,101.3857693,4.6520789093,0.1937775624,0.0089200936,1.0652382553,1.2897459645,0.9320068042,1.1248138531
2000,12.159,0.2082949309,0.0138248848,1085,226,15,1.2330827713,1269.1795266,1043.6787963,211.11567128,10.126887054,0.2026240026,0.0096678478,1.0705031921,1.4812054207,1.0279874456,1.4299857695
30000,12.155,0.2041395801,0.010162146,13383,2732,136,14.172170162,1283.3516967,13993.986864,2838.627179,132.58029323,0.2028178363,0.0094918784,0.9624370612,1.0257934772,1.0065169011,1.0706148553
6000,12.153,0.198019802,0.0079207921,3030,600,24,3.1863484383,1286.5380452,2958.5125835,600.77010746,27.227487421,0.2032103446,0.0092208817,0.9987181329,0.8814621646,0.9744572916,0.8590059345
22000,12.158,0.1966345245,0.0101153337,10578,2080,107,10.487370729,1297.0254159,10203.614441,2073.3028267,95.990614191,0.2032514436,0.00941835,1.0032301954,1.1146923155,0.9674446636,1.07400274
1500,12.159,0.1942307692,0.0038461538,520,101,2,1.0213651657,1298.0467811,522.78442189,104.62097493,4.7132877764,0.2000215039,0.0090904548,0.9653895891,0.4243322485,0.9710494393,0.4230980643
2000,12.159,0.1980769231,0.0115384615,1040,206,12,1.283813715,1299.3305948,1042.5931765,210.80828742,10.116529008,0.2025261952,0.0096684206,0.9771911841,1.1861775902,0.9780311278,1.193417416
60000,12.158,0.1974991068,0.0092175777,27990,5528,258,28.119489908,1327.4500847,27380.197851,5523.1728755,262.89464967,0.2016851084,0.0096166654,1.0008739767,0.9813817068,0.9792448652,0.9585004109
1000,12.155,0.1868978805,0.0077071291,519,97,4,0.7784585953,1328.2285433,522.39107007,101.17704537,4.6561741549,0.1938519092,0.0089482042,0.9587154838,0.859074396,0.9641271075,0.8613045604
12000,12.158,0.1965534892,0.0097253028,5861,1152,57,5.8214187622,1334.049962,5679.872206,1145.0837971,55.802770958,0.2015927585,0.0098597873,1.0060399098,1.0214546522,0.9750027265,0.986360306
2000,12.159,0.1937269373,0.0129151292,1084,210,14,1.3182957172,1335.3682578,1041.2956039,210.44089096,10.104148692,0.2024092921,0.0096691052,0.9979049178,1.3855694752,0.9571049591,1.3357108893
1000,12.159,0.2226277372,0.0072992701,548,122,4,0.8922493458,1336.2605071,522.22832626,101.14923508,4.6567198039,0.1938618152,0.0089519497,1.2061386318,0.8589737344,1.1483836414,0.8153832794
40000,12.156,0.2026486486,0.0102702703,18500,3749,190,18.789877176,1355.0503843,18479.783996,3740.5409193,179.48543097,0.2023081408,0.0097360459,1.0022614592,1.058581741,1.001683115,1.0548707704
10000,12.153,0.2020094057,0.0091919624,4678,945,43,4.9445674419,1359.9949517,4782.8076112,960.05060626,46.541199569,0.2007883426,0.0097539718,0.9843231115,0.9239125849,1.0060813446,0.9423814784
1000,12.158,0.1942740286,0.0040899796,489,95,2,0.8572969437,1360.8522487,521.7300479,101.06408733,4.6583904362,0.1938921445,0.0089634172,0.9399976046,0.4293328409,1.0019695698,0.4562969056
4000,12.155,0.2226113057,0.012006003,1999,445,24,2.2588706017,1363.1111193,1992.3357335,402.46614333,19.754294951,0.2023685606,0.0098938085,1.1056830677,1.2149256685,1.1000291004,1.2134864955
1500,12.154,0.1889117043,0.0102669405,487,92,5,1.0422151089,1364.1533344,521.50084132,104.25480052,4.7078889728,0.1998047716,0.0091011709,0.8824533694,1.062047136,0.9454814458,1.1280900635
30000,12.153,0.2003760214,0.0093282233,13829,2771,129,14.147786856,1378.3011212,13935.9643,2825.048407,132.62774926,0.2026776355,0.0095390152,0.9808681484,0.9726471325,0.9886439663,0.9779021327
2000,12.158,0.2099125364,0.0165208941,1029,216,17,1.3152685165,1379.6163898,1039.702405,209.98979049,10.088947765,0.202265755,0.0096699458,1.0286214368,1.6850121932,1.0378056157,1.7084784492
40000,12.155,0.1974830591,0.0094116382,18594,3672,175,18.714093924,1398.3304837,18444.660703,3731.8443129,179.52757977,0.2022178611,0.0097586091,0.9839638774,0.9747805893,0.9765856386,0.9644446321
8000,12.158,0.1815724816,0.0071253071,4070,739,29,4.0756342411,1402.4061179,3856.1589797,771.17650712,37.346904997,0.2001043431,0.009724524,0.9582760797,0.7765034345,0.9073890088,0.7327152631
15000,12.15,0.2003136584,0.0109780439,7014,1405,77,7.269061327,1409.6751792,6976.1992193,1420.7496234,67.455272423,0.203493752,0.009699159,0.9889145679,1.1414971319,0.9843725247,1.1318552333
40000,12.158,0.1966740938,0.0096190424,18401,3619,177,18.809088707,1428.484268,18420.189867,3725.785279,179.55694537,0.2021549622,0.0097743291,0.9713388532,0.9857596967,0.9728877872,0.9841128025
60000,12.155,0.1994110676,0.0098035695,27847,5553,273,27.966352463,1456.4506204,27246.426778,5492.1051871,263.56041312,0.2015280546,0.0096939349,1.0110876997,1.0358156476,0.9894953235,1.0113096032
12000,12.153,0.2029939135,0.0116795526,6079,1234,71,5.8552610874,1462.3058815,5653.4879704,1138.4618998,55.930687604,0.2013540434,0.0099324019,1.0839185749,1.2694283414,1.0081442122,1.1759041388
1500,12.154,0.2113970588,0.0018382353,544,115,1,1.0694463253,1463.3753278,519.57426345,103.70519458,4.6997856905,0.1994794693,0.0091172551,1.1089126294,0.2127756595,1.0597434391,0.2016215718
1000,12.155,0.2006745363,0.0067453626,593,119,4,0.8382208347,1464.2135487,519.63573916,100.70620371,4.6654122538,0.1940196215,0.0090116165,1.1816551078,0.8573733215,1.034300215,0.7485185996
30000,12.151,0.2037551684,0.0100318579,14753,3006,148,14.152488232,1478.3660369,13874.815715,2810.7380656,132.67776202,0.2025298812,0.0095886915,1.0694699861,1.1154845978,1.0060499086,1.0462176086
3000,12.154,0.2176360225,0.0131332083,1599,348,21,1.7475941181,1480.113631,1519.3532726,298.34351872,14.880497029,0.1965379399,0.0098030047,1.1664406235,1.4112431835,1.1073486506,1.3397125289
30000,12.155,0.1985771515,0.0100151955,14478,2875,145,14.113978386,1494.2276094,13865.12288,2808.469693,132.68568969,0.2025064602,0.0095965659,1.0236891668,1.0928081268,0.9805966255,1.0436228545
30000,12.16,0.2016463801,0.0092872722,14213,2866,132,14.245553255,1508.4731627,13856.417577,2806.4324282,132.69280966,0.2024854255,0.009603638,1.0212253718,0.9947788455,0.9958562678,0.9670577194
3000,12.154,0.201623816,0.0081190798,1478,298,12,1.6953523159,1510.168515,1517.5920878,298.02485618,14.873273028,0.1965610415,0.009809919,0.9999165969,0.8068163596,1.0257567545,0.8276398475
1500,12.155,0.2292051756,0.0073937153,541,124,4,1.0601298809,1511.2286448,518.6451031,103.44012767,4.6958775959,0.1993225807,0.0091250122,1.1987610882,0.8518109594,1.1499207704,0.8102690905
22000,12.158,0.210343062,0.0098310292,9765,2054,96,10.413140535,1521.6417854,10120.715876,2052.4520556,96.190830829,0.2028301102,0.0095210357,1.0007541927,0.9980161225,1.0370406138,1.0325587973
6000,12.153,0.2066901408,0.0102112676,2840,587,29,3.1985526085,1524.840338,2932.5488207,593.89060035,27.304902423,0.2026337951,0.009333372,0.9883975258,1.0620803382,1.0200181105,1.0940598558
8000,12.155,0.1875675676,0.0083783784,3700,694,31,4.0462224483,1528.8865604,3836.7303129,767.29107715,37.448232206,0.2001058095,0.0098037757,0.9044807384,0.8278094365,0.9373419396,0.8546073095
60000,12.155,0.2037403824,0.0101317894,26254,5349,266,28.002877712,1556.8894382,27142.273658,5467.9161256,264.07877138,0.2014057738,0.0097540964,0.9782520209,1.0072752104,1.0115915676,1.0387214747
6000,12.175,0.2012461059,0.0102803738,3210,646,33,3.2052185535,1560.0946567,2928.707755,592.8728496,27.316355159,0.2025485007,0.0093500137,1.0896096869,1.2080674676,0.9935699608,1.0995036067
1500,12.167,0.1816513761,0.0091743119,545,99,5,1.0764181614,1561.1710749,517.67537877,103.16348883,4.6917988872,0.199158843,0.009133108,0.9596418376,1.0656893273,0.9120929477,1.0045114887
2000,12.164,0.1845293569,0.008387698,1073,198,9,1.3949227333,1562.5659976,1033.1151188,208.12465738,10.026097572,0.2016722824,0.0096734214,0.9513529175,0.8976573323,0.9149961251,0.8670870077
8000,12.167,0.2155172414,0.0126616379,3712,800,47,4.0677609444,1566.6337585,3830.931964,766.13149791,37.478472599,0.2001062471,0.0098274278,1.0442071657,1.2540532402,1.0770140589,1.2883979558
4000,12.163,0.197944835,0.0113574905,1849,366,21,2.1999700069,1568.8337286,1979.9212181,399.06017042,19.774585085,0.2018648337,0.0099738834,0.9171549233,1.0619691847,0.980581072,1.1387230118
22000,12.163,0.2084831057,0.0101674027,9737,2030,99,10.453753471,1579.287482,10099.440732,2047.1008996,96.242214562,0.2027219789,0.009547389,0.991646284,1.028654634,1.0284188564,1.0649406496
3000,12.16,0.1988950276,0.0096685083,1448,288,14,1.7157001495,1581.0031822,1513.4412503,297.27381835,14.856247185,0.1966154884,0.0098262147,0.9688037837,0.9423645034,1.0115938946,0.9839504364
60000,12.159,0.1950685135,0.0095807494,26929,5253,258,28.049036026,1609.0522182,27088.181859,5455.3535653,264.34798013,0.2013422674,0.0097853412,0.9629073418,0.9759862734,0.9688403536,0.979092005
40000,12.152,0.1976316211,0.0115751854,18747,3705,217,18.812357903,1627.8645761,18258.385871,3685.7222457,179.75111408,0.2017390669,0.0098782719,1.0052303871,1.2072247847,0.9796398093,1.1717824243
2000,12.153,0.2075996293,0.0101946247,1079,224,11,1.2857861519,1629.1503623,1030.7176812,207.44584367,10.003223295,0.2014562885,0.0096746864,1.079799894,1.0996455518,1.0304946588,1.0537421331
22000,12.156,0.195177305,0.0095508274,10575,2064,101,10.480429649,1639.6307919,10077.169988,2041.4993286,96.296002871,0.2026087874,0.0095749756,1.0110216403,1.0488493498,0.963321026,0.9974779892
15000,12.159,0.2007634667,0.0114520006,7073,1420,81,7.2436733246,1646.8744652,6905.3049898,1401.7838417,67.47857711,0.2028150893,0.009806782,1.0129949838,1.2003809723,0.9898842704,1.167763352
60000,12.156,0.2015745214,0.010234389,27945,5633,286,27.99430871,1674.8687739,27019.931357,5439.5027145,264.68765513,0.2012621379,0.0098247645,1.0355726057,1.0805188473,1.0015521223,1.0416930611
22000,12.152,0.196602405,0.0101164344,10478,2060,106,10.463875771,1685.3326497,10060.302925,2037.2568997,96.336740206,0.2025230603,0.0095958687,1.0111635898,1.1003071079,0.9707655255,1.0542489435
1000,12.152,0.1956947162,0.0097847358,511,100,5,0.776204586,1686.1088543,515.13969201,99.937901676,4.6804866421,0.1942932883,0.0091150903,1.0006213691,1.0682649866,1.0072129511,1.0734655893
8000,12.151,0.1917946136,0.0128366474,3973,762,51,4.073662281,1690.1825166,3811.9536333,762.33612814,37.577451149,0.2001076794,0.0099048426,0.9995590814,1.3571968944,0.9584570377,1.2959971066
10000,12.149,0.2023338195,0.009793707,4799,971,47,4.9768490791,1695.1593657,4717.3112746,945.50478449,46.774764548,0.2004775164,0.0099514267,1.0269646605,1.0048153199,1.009259408,0.9841510449
12000,12.152,0.1844525421,0.0107582856,5763,1063,62,5.8776419163,1701.0370076,5604.3772682,1126.1361296,56.16878722,0.2009097074,0.0100675643,0.9439356149,1.1038158926,0.9180867586,1.0686085846
2000,12.153,0.2294557097,0.0106723586,937,215,10,1.2295589447,1702.2665665,1028.0850581,206.70043921,9.97810508,0.2012191059,0.0096760754,1.0401526035,1.0021942964,1.1403276478,1.1029635625
15000,12.153,0.1985178851,0.0092632179,7017,1393,65,7.3280053139,1709.5945718,6886.5591761,1396.76892,67.484739323,0.2026356377,0.0098352395,0.9973016868,0.9631807228,0.9796790308,0.9418395816
30000,12.145,0.205209513,0.009588524,13245,2718,127,14.121959209,1723.716531,13724.884689,2775.6503498,132.80038898,0.2021676005,0.0097104936,0.9792299668,0.9563225001,1.0150464889,0.9874393975
3000,12.151,0.1789181692,0.0097087379,1442,258,14,1.7412276268,1725.4577587,1504.9763631,295.74221164,14.821526037,0.196726523,0.0098594471,0.8723813844,0.9445721018,0.9094765997,0.9847142346
22000,12.147,0.2043261907,0.011170915,9847,2012,110,10.482486486,1735.9402452,10041.625314,2032.5590792,96.381850376,0.202428131,0.0096190045,0.9898851259,1.1412937142,1.0093764623,1.1613379554
2000,12.149,0.1854990584,0.0075329567,1062,197,8,1.3720736504,1737.3123188,1026.8232002,206.34315508,9.9660655227,0.2011054205,0.0096767412,0.9547203052,0.8027240019,0.9223971085,0.7784600771
12000,12.153,0.2090261283,0.0136579572,5052,1056,69,5.8597750664,1743.1720939,5595.7094262,1123.9606806,56.210810847,0.2008312839,0.0100914199,0.9395346458,1.2275218763,1.0408046206,1.3534227488
15000,12.149,0.2032706709,0.0111569616,6543,1330,73,7.2235989571,1750.3956928,6874.3645187,1393.5065781,67.488748008,0.2025188996,0.009853752,0.9544267827,1.0816617904,1.0037121048,1.1322551717
15000,12.151,0.1960342497,0.0084121977,6657,1305,56,7.1914143562,1757.5871072,6872.2151455,1392.9315731,67.48945456,0.2024983239,0.0098570149,0.9368730132,0.8297592619,0.9680783817,0.8534224386
12000,12.151,0.1985224474,0.0089032014,5279,1048,47,5.9158265591,1763.5029337,5591.5270565,1122.9109924,56.231087906,0.2007934433,0.0101029306,0.9332885751,0.8358365764,0.9886898901,0.8812493841
12000,12.153,0.2094149554,0.0118171251,5162,1081,61,5.8859467506,1769.3888805,5590.3162258,1122.6070989,56.236958283,0.2007824882,0.010106263,0.9629370784,1.0846959342,1.0429941243,1.1692873122
1500,12.152,0.1864754098,0.006147541,488,91,3,1.0273997784,1770.4162803,513.61249746,102.00444733,4.6747102066,0.1984728263,0.0091670272,0.8921179653,0.6417510107,0.9395513399,0.6706144559
60000,12.152,0.1968599954,0.0099458883,26242,5166,261,27.939685822,1798.3559661,26891.877516,5409.7628256,265.32496456,0.2011117965,0.0098987316,0.954940201,0.9836993682,0.97885852,1.004763907
10000,12.148,0.2049360952,0.0096959013,4538,930,44,4.9687716961,1803.3247378,4696.1740794,940.8105086,46.850141413,0.2003772056,0.01001515,0.9885093667,0.9391647212,1.0227515382,0.9681234163
40000,12.144,0.1969866697,0.0109779321,17854,3517,196,18.740212202,1822.06495,18100.785571,3646.7000569,179.94023825,0.2013339767,0.0099795142,0.9644335824,1.0892505306,0.9784074842,1.1000467504
4000,12.149,0.1814159292,0.0127826942,2034,369,26,2.1314179897,1824.196368,1964.5111306,394.83235009,19.799771145,0.2012395596,0.01007328,0.9345738765,1.3131464909,0.9014923783,1.2689704006
12000,12.147,0.2087799898,0.0091883614,5877,1227,54,5.8724045753,1830.0687726,5577.8334291,1119.4741752,56.29747766,0.2006695483,0.0101406182,1.096050295,0.959190398,1.040416902,0.9060948029
3000,12.148,0.2009222661,0.0098814229,1518,305,15,1.7558577061,1831.8246303,1498.7433755,294.61443695,14.795959662,0.1968082816,0.0098839172,1.0352513718,1.013790274,1.0209035131,0.9997476477
1500,12.148,0.187007874,0.0078740157,508,95,4,1.0516858101,1832.8763161,512.39972074,101.65847154,4.6696092074,0.1982680491,0.0091771522,0.9345015576,0.856602731,0.9432073137,0.8580020895
8000,12.152,0.2065459955,0.0096702207,4033,833,39,4.019012928,1836.895329,3789.4170712,757.82916764,37.694987105,0.2001093803,0.0099967718,1.0991923188,1.0346203301,1.0321654847,0.96733434
1000,12.149,0.2389558233,0.016064257,498,119,8,0.8355805874,1837.7309096,512.06752288,99.412917461,4.6907870391,0.194480286,0.0091857945,1.1970275397,1.7054707309,1.2286891811,1.7488152056
8000,12.145,0.2009167303,0.0124777184,3927,789,49,4.0538225174,1841.7847321,3788.6660097,757.67896708,37.69890415,0.200109437,0.0099998355,1.0413381317,1.2997725293,1.0040342591,1.2477923629
15000,12.145,0.1999444213,0.0094483813,7197,1439,68,7.2778427601,1849.0625749,6844.8749165,1385.6174543,67.49844197,0.2022365988,0.0098985195,1.0385261788,1.0074306609,0.9886658618,0.9545246939
30000,12.144,0.1929824561,0.0102519674,13851,2673,142,14.14238286,1863.2049577,13639.644824,2755.7020294,132.87010574,0.201961634,0.0097797414,0.969988762,1.0687129299,0.95554018,1.0482861384
22000,12.153,0.1984156922,0.0096190117,10604,2104,102,10.48496604,1873.6899238,9990.7864071,2019.7720013,96.504636519,0.2021697413,0.0096819782,1.041701736,1.0569440358,0.9814312017,0.9934965266
10000,12.149,0.1956521739,0.0102424749,4784,936,49,4.9558446407,1878.6457684,4681.4551791,937.54164639,46.902630145,0.200307354,0.0100595238,0.9983556502,1.0447175318,0.9767598143,1.0181868549
60000,12.149,0.1990794857,0.0108854471,27376,5450,298,28.07006669,1906.7158351,26779.510417,5383.6661072,265.88420286,0.200979872,0.0099636377,1.0123213237,1.1207886621,0.9905443949,1.0925173514
10000,12.145,0.1863418697,0.0093691443,4803,895,45,5.0231413841,1911.7389765,4674.9882518,936.10543214,46.925691705,0.2002766639,0.01007902,0.9560888862,0.9589629554,0.9304222771,0.9295689772
1500,12.147,0.1972386588,0.0138067061,507,100,7,1.0464847088,1912.7854612,510.84813741,101.21584245,4.6630831709,0.1980060646,0.0091901057,0.9879876271,1.5011527231,0.9961243317,1.5023446522
40000,12.149,0.203451508,0.010420687,18137,3690,189,18.787629128,1931.5730903,18011.915939,3624.6957361,180.04688396,0.2011055494,0.0100366039,1.0180164816,1.0497265814,1.01166531,1.0382682305
4000,12.148,0.2004008016,0.0090180361,1996,400,18,2.1490235329,1933.7221138,1957.9017012,393.01902619,19.810573516,0.2009713778,0.0101159115,1.0177624322,0.9086056992,0.9971609081,0.8914704371
4000,12.144,0.1984810127,0.0106329114,1975,392,21,2.1964764595,1935.9185903,1957.7691528,392.98266101,19.810790151,0.2009659996,0.0101167665,0.99749948,1.0600283906,0.9876347894,1.0510187632
40000,12.145,0.1995204372,0.0105949925,17933,3578,190,18.795913696,1954.714504,17993.135884,3620.0457522,180.06942048,0.2010572778,0.0100486682,0.9883852981,1.0551486171,0.992356205,1.0543678277
60000,12.148,0.2037133696,0.0101782119,26822,5464,273,27.948538542,1982.6630425,26700.754625,5365.3754531,266.2761615,0.2008874088,0.0100091291,1.0183816674,1.0252513723,1.0140673864,1.0168928614
10000,12.139,0.18098031,0.0117302053,4774,864,56,4.9688019753,1987.6318445,4660.1576056,932.81175272,46.978578931,0.200206282,0.0101237306,0.9262318978,1.1920326513,0.903969187,1.1586840575
30000,12.145,0.1983165227,0.0097960961,13781,2733,135,14.229521513,2001.861366,13554.913397,2735.8726964,132.93940666,0.2017568962,0.0098485762,0.998949989,1.0155002448,0.9829479265,0.9946713013
22000,12.149,0.1905446874,0.0102608362,10428,1987,107,10.48365283,2012.3450189,9939.6133404,2006.900875,96.628229724,0.2019096533,0.0097453658,0.9900837778,1.1073368549,0.9437126172,1.0528939006
40000,12.145,0.1995749087,0.0093738078,18349,3662,172,18.763925314,2031.1089442,17931.139161,3604.6952243,180.14381805,0.2008979236,0.0100884948,1.0158972596,0.9547926865,0.9934144919,0.9291582124
30000,12.149,0.1959411176,0.0107188795,13994,2742,150,14.151593208,2045.2605374,13528.392634,2729.6661559,132.9610977,0.2016928136,0.0098701213,1.0045184442,1.1281495309,0.9714828907,1.0859926833
1500,12.151,0.2125,0.0089285714,560,119,5,1.0668232441,2046.3273606,508.25517531,100.47613324,4.6521770434,0.1975682434,0.0092117532,1.1843608642,1.0747656319,1.0755777158,0.9692586469
