no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
40000,12.149,0.203451507967139,0.010420686993438826,18137,3690,189,18.78762912750244
4000,12.148,0.20040080160320642,0.009018036072144289,1996,400,18,2.1490235328674316
4000,12.144,0.19848101265822785,0.010632911392405063,1975,392,21,2.196476459503174
40000,12.145,0.19952043718284726,0.010594992471979033,17933,3578,190,18.795913696289062
60000,12.148,0.20371336962195213,0.010178211915591678,26822,5464,273,27.948538541793823
10000,12.139,0.1809803100125681,0.011730205278592375,4774,864,56,4.968801975250244
30000,12.145,0.198316522748712,0.009796096074305203,13781,2733,135,14.22952151298523
22000,12.149,0.19054468738013042,0.010260836210203298,10428,1987,107,10.483652830123901
40000,12.145,0.19957490871437136,0.009373807836939342,18349,3662,172,18.763925313949585
30000,12.149,0.19594111762183794,0.010718879519794198,13994,2742,150,14.151593208312988
1500,12.151,0.2125,0.008928571428571428,560,119,5,1.0668232440948486
30000,12.148,0.19726008441154086,0.010862796651214281,14453,2851,157,14.11867356300354
10000,12.145,0.20678642714570858,0.010578842315369262,5010,1036,53,4.911095857620239
15000,12.147,0.19918144611186903,0.01077762619372442,7330,1460,79,7.243530988693237
8000,12.145,0.18897829797610338,0.008046817849305048,4101,775,33,4.077105760574341
2000,12.148,0.2063063063063063,0.014414414414414415,1110,229,16,1.2358489036560059
8000,12.143,0.19315461943513643,0.008855911919578746,4178,807,37,3.988590717315674
4000,12.147,0.20864381520119224,0.011425732737208148,2013,420,23,2.136756181716919
8000,12.147,0.2029780564263323,0.0109717868338558,3828,777,42,4.074610471725464
60000,12.145,0.19853023883618912,0.009448464624498519,26671,5295,252,27.92781090736389
8000,12.144,0.20777443197372022,0.008212428141253765,3653,759,30,4.0614659786224365
15000,12.144,0.19790169588962345,0.009629203794193734,6958,1377,67,7.204718828201294
1000,12.144,0.18518518518518517,0.01440329218106996,486,90,7,0.8629512786865234
2000,12.145,0.2288801571709234,0.007858546168958742,1018,233,8,1.299621820449829
40000,12.147,0.19967998234385345,0.009821231516221584,18124,3619,178,18.787343502044678
6000,12.144,0.2040041422160856,0.009665170866413532,2897,591,28,3.137256622314453
1000,12.144,0.166351606805293,0.007561436672967864,529,88,4,0.8050127029418945
15000,12.145,0.19648924122310304,0.012032842582106455,7064,1388,85,7.29410982131958
10000,12.143,0.20949779365412902,0.011346921622189535,4759,997,54,4.951417684555054
15000,12.142,0.20065789473684212,0.010017942583732058,6688,1342,67,7.291622877120972
15000,12.144,0.19851521900519672,0.010541945063103192,6735,1337,71,7.17761492729187
