metric,kind,k_per_hr,k_se,k_ci95_low,k_ci95_high,partial_R2_time,frac_var_time_est,a_emp,a_emp_se,b,b_se,a_poisson,a_extra,poisson_frac_in_1overN,extra_frac_in_1overN
ratio_signal,ratio,-0.005590817633932705,0.00121040707379423,-0.007963215498569395,-0.0032184197692960138,0.03352757166955922,0.03283658080844419,0.4782389566371492,0.017832878456419652,1.135125806029749e-05,6.6330624120179695e-06,0.15969383736786832,0.31854511926928086,0.33392059586862904,0.6660794041313709
ratio_lost,ratio,0.001551734022145682,0.0002482860743025048,0.0010650933165127726,0.002038374727778591,0.059718981740356725,0.05885110950474079,0.02315553293841223,0.0016213258907839811,-2.6154151406792843e-07,6.030633725269025e-07,0.009892601755840657,0.013262931182571573,0.4272241015636494,0.5727758984363506
trapped_signal,count_rate,-0.015571683321987623,0.0005705744521337051,-0.016690009248169685,-0.014453357395805562,0.5477314937967217,0.2729314467962179,0.10496201629251176,0.010836885516169776,2.8408997626440296e-06,4.030854477941614e-06,0.08262533784220065,0.022336678450311107,0.7871927461067203,0.21280725389327967
lost_signal,count_rate,6.725909510047292e-05,0.00011382197064646923,-0.00015583196736660676,0.00029035015756755263,0.0005674508001127787,0.0004841598133969769,0.004675796699988137,0.0003598527096591312,-8.525984192759263e-09,1.3384970284724452e-07,0.004527553071942449,0.00014824362804568853,0.9682955360214731,0.03170446397852683
loading_signal,count_rate,-0.06540500535167429,0.0021960633185882494,-0.06970928945610726,-0.06110072124724132,0.59055074670787,0.23063070781636372,0.9642114291101935,0.14710302770933137,0.00018604418114201375,5.471598800930235e-05,0.24649109103053246,0.7177203380796611,0.25564008431014207,0.7443599156898579
