U2,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-0.14,92,0.14831927919602633,0.0030033498902622157,8657,1284,26,5.027800559997559,12.09
-0.15,88,0.134853899516502,0.008513769182257725,9514,1283,81,4.971725702285767,12.083
-0.16,175,0.1519917227108122,0.0020693222969477496,9665,1469,20,5.0011279582977295,12.084
-0.14,118,0.14368190706769718,0.0014898966384207096,10739,1543,16,4.977994918823242,12.081
-0.18,107,0.13973280554181097,0.001880257298367145,10105,1412,19,5.056275844573975,12.079
-0.13,58,0.12980895053650876,0.007502399022943383,11463,1488,86,5.0184760093688965,12.071
-0.15,6,0.148025407346037,0.0013808340237503453,10863,1608,15,5.097250699996948,12.07
-0.15,176,0.14636347229741925,0.001985201227215304,11082,1622,22,5.077946186065674,12.07
-0.14,47,0.132902997612521,0.002829604739587939,11309,1503,32,5.027397632598877,12.066
-0.13,199,0.14113901662539796,0.0020339582596391936,11308,1596,23,5.006977319717407,12.064
-0.16,123,0.1403769380744592,0.0009284189026088571,10771,1512,10,4.940573692321777,12.06
-0.18,4,0.13733167796772036,0.0007640148982905167,10471,1438,8,5.020002126693726,12.055
-0.13,130,0.13965995836224843,0.0029493407356002777,11528,1610,34,5.029655456542969,12.058
-0.17,19,0.14177239523260285,0.0014417531718569781,10404,1475,15,4.992529392242432,12.059
-0.13,193,0.13627340985587297,0.0015534650901872788,11587,1579,18,5.022830486297607,12.058
-0.15,168,0.14355773517610343,0.000980829246544806,11215,1610,11,5.014435768127441,12.058
-0.17,83,0.12104966139954854,0.002727614747930775,10632,1287,29,5.043610572814941,12.053
-0.16,149,0.14701587881000183,0.0012776054024457018,10958,1611,14,5.051349639892578,12.049
-0.17,130,0.14729429921867465,0.002122118259863027,10367,1527,22,5.0431647300720215,12.053
-0.14,95,0.13935936814392277,0.004212373848179026,11395,1588,48,4.991064786911011,12.049
-0.15,56,0.13116651825467499,0.004007123775601068,11230,1473,45,4.996807098388672,12.046
-0.16,76,0.1396103896103896,0.0025974025974025974,10780,1505,28,4.997171401977539,12.049
-0.14,58,0.13098323829272507,0.0037152237774321756,11574,1516,43,5.008725166320801,12.043
-0.14,87,0.11850185970071793,0.013580140126286654,11561,1370,157,5.064692258834839,12.041
-0.13,118,0.1382546930492136,0.0030441400304414,11826,1635,36,5.050825119018555,12.039
-0.14,10,0.14424074714631616,0.0019889311656866135,11564,1668,23,5.033470153808594,12.041
-0.17,107,0.15090789349891806,0.0018816445573431179,10629,1604,20,5.009110927581787,12.038
-0.13,168,0.13545207341944254,0.0017845003399048266,11768,1594,21,4.996539831161499,12.038
-0.13,2,0.13591160220994475,0.0017849553761155972,11765,1599,21,5.018761396408081,12.034
-0.17,16,0.14238441902240712,0.0014181715042072421,10577,1506,15,4.986802577972412,12.033
-0.15,164,0.14332916592248615,0.001339524915163422,11198,1605,15,5.0074756145477295,12.032
-0.13,47,0.11732991014120668,0.004107830551989731,11685,1371,48,4.99994421005249,12.036
-0.15,13,0.14293225834720882,0.0026290421523091755,11411,1631,30,5.022571802139282,12.034
-0.17,118,0.13208084258468544,0.0019925989183034445,10539,1392,21,5.060009956359863,12.032
-0.17,106,0.1394001681771466,0.0016817714659441278,10703,1492,18,5.001326322555542,12.032
-0.15,173,0.1384237748750767,0.0026299640571578855,11407,1579,30,5.082063674926758,12.029
-0.14,181,0.14363542026980283,0.0020754064337599448,11564,1661,24,5.081284523010254,12.025
-0.16,83,0.13152304424124872,0.002124318832548259,10827,1424,23,4.980937719345093,12.026
-0.15,4,0.14238938053097344,0.0017699115044247787,11300,1609,20,4.999495267868042,12.025
-0.18,105,0.1327090427544457,0.001513431706394249,10572,1403,16,5.0210957527160645,12.023
-0.14,146,0.14325235583988935,0.0015561511195642777,11567,1657,18,5.052019357681274,12.024
-0.16,5,0.14251975656281224,0.00199836497411209,11009,1569,22,5.0437421798706055,12.021
-0.16,16,0.13840050491389413,0.0021639166892074655,11091,1535,24,5.003576040267944,12.024
-0.15,85,0.1111111111111111,0.006520605112154408,11502,1278,75,5.0775158405303955,12.02
-0.16,12,0.13646288209606988,0.0015465793304221252,10992,1500,17,5.006853342056274,12.017
-0.14,57,0.1277258566978193,0.002682589131187262,11556,1476,31,5.0306291580200195,12.02
-0.18,45,0.1272117712795679,0.001955671447196871,10738,1366,21,4.992749452590942,12.017
-0.14,138,0.14132630654369785,0.0012296881862099253,11385,1609,14,5.000098705291748,12.017
-0.18,22,0.13871149511645378,0.0015026296018031556,10648,1477,16,5.038708686828613,12.017
-0.17,34,0.09721696327148807,0.003502461188943582,10564,1027,37,5.007347822189331,12.016
-0.17,95,0.13249507366050484,0.001876700760063808,10657,1412,20,5.005774736404419,12.013
-0.15,36,0.1272617611580217,0.002067895915905566,11606,1477,24,5.001137733459473,12.013
-0.16,140,0.137155297532656,0.0022677793904208998,11024,1512,25,5.014352083206177,12.017
-0.14,25,0.13332159210989786,0.0039626629094751675,11356,1514,45,5.020478248596191,12.013
-0.18,93,0.12947966117471843,0.0016755096341803965,10743,1391,18,5.054786920547485,12.011
-0.13,110,0.1285437873306974,0.0023555144275258684,11887,1528,28,5.078707933425903,12.012
-0.16,136,0.1391021587932436,0.0019871736970463374,11071,1540,22,5.082749366760254,12.011
-0.14,8,0.1416753744339951,0.0017415534656913968,11484,1627,20,5.022068977355957,12.009
-0.18,26,0.12865332205619773,0.0016915703411333521,10641,1369,18,5.059011697769165,12.008
-0.15,48,0.12463190715399272,0.0017322016282695306,11546,1439,20,5.071667432785034,12.011
-0.15,151,0.1418627191823068,0.001762269803506917,11349,1610,20,5.10309362411499,12.011
-0.13,56,0.12188992209097763,0.0030996062662310463,11937,1455,37,5.021835803985596,12.008
-0.13,139,0.1271589486858573,0.002586566541510221,11985,1524,31,5.03954553604126,12.008
-0.14,189,0.13518956308554417,0.002801856229752211,11421,1544,32,5.081690549850464,12.007
-0.17,7,0.1381097843191706,0.0022216051096917524,10803,1492,24,5.013361692428589,12.006
-0.17,61,0.082310741929394,0.00528601094959411,10594,872,56,5.020214557647705,12.006
-0.13,73,0.11947723440134907,0.007672849915682968,11860,1417,91,5.056538105010986,12.003
-0.18,184,0.12512725590004628,0.0021286441462285977,10805,1352,23,4.987984657287598,12.002
-0.14,53,0.12863994518670777,0.0029119561493662215,11676,1502,34,4.994808197021484,11.999
-0.17,172,0.13591874422899353,0.0024007386888273315,10830,1472,26,4.998566627502441,12.006
-0.18,100,0.11468401486988848,0.0071561338289962825,10760,1234,77,5.047549724578857,12.003
-0.16,143,0.13627380524613728,0.002335609054976644,11132,1517,26,5.012153625488281,12.003
-0.17,195,0.1437394722066255,0.002339509638779712,10686,1536,25,5.014220952987671,11.999
-0.14,169,0.13341214219370093,0.001857637422950266,11843,1580,22,5.085681915283203,12.0
-0.13,62,0.10055960657961675,0.009157198575546888,11794,1186,108,5.014772653579712,12.0
-0.16,137,0.13362336855189558,0.000976649205362692,11263,1505,11,5.041922092437744,11.998
