Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,time_accum,Predicted loading_signal,Detrended_loading_signal
-0.446893788,-0.125450902,0.1170340681,0.0000556483,0.000556483,17970,1,10,6.9501633644,355.85798264,22356.321532,0.8037994969
-0.486973948,-0.090180361,-0.056112224,0,0.0003687044,13561,0,5,6.1233079433,361.98129058,22362.692283,0.6064117785
0.0821643287,0.1342685371,-0.068937876,0,0.0005314343,18817,0,10,6.9751493931,368.95643997,22369.787736,0.8411791932
-0.054108216,-0.070140281,-0.075350701,0.0016692749,0.0038080334,19170,32,73,7.1700985432,376.12653852,22376.902152,0.8566869475
0.1102204409,-0.164729459,-0.091382766,0,0.0006079027,18095,0,11,6.859849453,382.98638797,22383.538539,0.8084065872
0.5310621242,-0.196793587,0.4665330661,0,0.0004548284,41774,0,19,13.739055157,396.72544312,22396.329584,1.8652163447
-0.927855711,0.1014028056,0.50501002,0.0000443794,0.0004437935,22533,1,10,8.277828455,405.00327158,22403.713951,1.0057707418
-0.887775551,-0.187174349,0.4921843687,0,0.0005662268,22959,0,13,8.3699142933,413.37318587,22410.934066,1.0244552919
-0.935871743,0.1158316633,-0.52745491,0,0.0007736611,11633,0,9,6.2155981064,419.58878398,22416.135497,0.5189565347
0.503006012,0.0869739479,0.1619238477,0,0.0004166493,24001,0,10,8.7509157658,428.33969975,22423.226971,1.0703633349
0.0140280561,-0.103807615,0.5691382766,0,0.0003743356,40071,0,15,13.169301748,441.50900149,22433.3885,1.7862214618
0.7394789579,-0.046092184,-0.081763527,0,0.0006203474,16120,0,10,6.4692490101,447.9782505,22438.155559,0.7184191213
-0.190380762,0.0148296593,-0.049699399,0.0536305554,0.0083943478,21443,1150,180,8.2044751644,456.18272567,22443.988382,0.9554006015
0.2745490982,0.1967935872,-0.601202405,0,0.0006439611,13976,0,9,6.2237532139,462.40647888,22448.254255,0.6225873888
-0.30260521,0.149498998,-0.35751503,0,0.0004678206,14963,0,7,6.3019750118,468.70845389,22452.434156,0.6664310825
0.7795591182,0.1038076152,-0.270941884,0.0000642921,0.000450045,15554,1,7,6.4447607994,475.15321469,22456.563494,0.6926260113
0.4188376754,0.0597194389,-0.719839679,0,0.0005979272,15052,0,9,6.2284851074,481.3816998,22460.414676,0.6701568167
