group_idx,rf_amplitude,mode,segment,n_peaks_target,scan_count,n_candidates,n_ok,n_hit_max,hit_max_rate_ok,stage_best_r2,coarse_stride2_dr2,coarse_stride3_dr2
3,0.4,lost,right,5,78,1,0,0,,,,
3,0.4,trapped,left,1,42,1,1,0,0.0,0.8842292976459739,0.0,0.0
3,0.4,trapped,left,2,42,42,42,0,0.0,0.983180066082652,6.7877925502557446e-12,7.762235298969244e-12
3,0.4,trapped,left,3,42,42,42,0,0.0,0.9913960449625518,5.367928324062632e-13,1.237787650154587e-12
3,0.4,trapped,left,4,42,42,42,0,0.0,0.9961578124784771,0.0,0.0
3,0.4,trapped,right,5,78,1,1,0,0.0,0.8673410146754847,0.0,0.0
3,0.4,trapped,right,6,78,78,78,0,0.0,0.9027690999067846,2.0428603253463962e-10,2.0428603253463962e-10
3,0.4,trapped,right,7,78,78,78,0,0.0,0.9201962461795135,4.92605956026182e-13,0.0
3,0.4,trapped,right,8,78,78,78,0,0.0,0.9341060817545505,0.0,3.457467645517909e-11
3,0.4,trapped,right,9,78,78,78,0,0.0,0.9458636684172739,8.370382165168166e-11,0.0
4,0.6,lost,left,2,60,1,1,0,0.0,0.8540295610355191,0.0,0.0
4,0.6,lost,left,3,60,60,60,0,0.0,0.9660269815873681,0.0,1.691868867226276e-12
4,0.6,lost,left,4,60,60,60,0,0.0,0.9938444550988348,0.0,0.0
4,0.6,lost,left,5,60,60,60,0,0.0,0.9963436132830435,0.0,1.5890733173762328e-11
4,0.6,lost,right,3,60,1,1,0,0.0,0.8783129625360881,0.0,0.0
4,0.6,lost,right,4,60,60,60,0,0.0,0.9576974265708135,8.753331393052122e-11,4.628941674411635e-11
4,0.6,lost,right,5,60,60,60,0,0.0,0.9700223228131885,7.1062045137182395e-12,7.1062045137182395e-12
4,0.6,lost,right,6,60,60,60,0,0.0,0.9782782131349378,2.3646751223793672e-11,2.3646751223793672e-11
4,0.6,lost,right,7,60,60,60,0,0.0,0.9849716125341955,7.736811191705328e-12,0.0
4,0.6,lost,right,8,60,60,60,0,0.0,0.9894374430796742,0.0,0.000465520837891753
4,0.6,lost,right,9,60,60,60,0,0.0,0.994762556008179,0.0,0.0035745573745376014
4,0.6,trapped,left,2,60,1,1,0,0.0,0.8607767914418584,0.0,0.0
4,0.6,trapped,left,3,60,60,60,0,0.0,0.9602921633862169,1.0580425424677742e-12,1.4334644582447709e-10
4,0.6,trapped,left,4,60,60,60,0,0.0,0.99259397980999,2.8044233602031454e-13,0.0
4,0.6,trapped,left,5,60,60,60,0,0.0,0.9943695299367483,6.84674539286334e-13,1.183020348349828e-11
4,0.6,trapped,left,6,60,60,60,0,0.0,0.9959288538970207,1.099795809977877e-09,1.099795809977877e-09
4,0.6,trapped,right,2,60,1,1,0,0.0,0.8828683706764671,0.0,0.0
4,0.6,trapped,right,3,60,60,60,0,0.0,0.9504141395801096,0.0,0.0
4,0.6,trapped,right,4,60,60,60,0,0.0,0.9605514640136824,5.090372567906343e-13,5.090372567906343e-13
4,0.6,trapped,right,5,60,60,60,0,0.0,0.9679472181367235,2.3296919948734285e-12,4.3552383921507953e-11
4,0.6,trapped,right,6,60,60,60,0,0.0,0.9717906299449323,8.761424918901639e-11,0.0
4,0.6,trapped,right,7,60,60,60,0,0.0,0.9788517529614122,7.450262629049575e-12,7.450262629049575e-12
4,0.6,trapped,right,8,60,60,60,0,0.0,0.9836136299079857,3.8491432263754177e-13,3.8114511546893937e-11
4,0.6,trapped,right,9,60,60,60,0,0.0,0.9870318698077633,0.0,0.0
5,0.8,lost,left,2,60,1,1,0,0.0,0.9208002177534881,0.0,0.0
5,0.8,lost,left,3,60,60,60,0,0.0,0.986945100824736,1.7615908731727359e-12,4.711786516509164e-13
5,0.8,lost,left,4,60,60,60,0,0.0,0.9920127448310717,0.003444850465585514,0.004323828956006914
5,0.8,lost,left,5,60,60,60,0,0.0,0.9939288141388307,0.0,6.822320486321587e-13
5,0.8,lost,left,6,60,60,60,0,0.0,0.9951369618118292,8.848644353243174e-06,8.84864407002528e-06
5,0.8,lost,right,4,60,1,1,0,0.0,0.9242698811343579,0.0,0.0
5,0.8,lost,right,5,60,60,60,0,0.0,0.9476391078412574,0.0,1.3306844515170724e-10
5,0.8,lost,right,6,60,60,60,0,0.0,0.9625345057586168,0.0,2.131158582940884e-10
5,0.8,lost,right,7,60,60,60,0,0.0,0.9740169806453327,0.0,1.0982903475564854e-10
5,0.8,lost,right,8,60,60,60,0,0.0,0.9846394292977944,0.0,0.0
5,0.8,lost,right,9,60,60,60,0,0.0,0.9896968019297695,0.0,0.0
5,0.8,trapped,left,2,60,1,1,0,0.0,0.9122417433742452,0.0,0.0
5,0.8,trapped,left,3,60,60,60,0,0.0,0.9693203032371966,0.0,4.440892098500626e-14
5,0.8,trapped,left,4,60,60,60,0,0.0,0.9792617380366603,4.45121717262964e-12,4.45121717262964e-12
5,0.8,trapped,left,5,60,60,60,0,0.0,0.9838146359054895,1.9212520463440796e-11,1.9212520463440796e-11
5,0.8,trapped,left,6,60,60,60,0,0.0,0.9877356525923063,0.0004938187112636383,0.0004938206125041367
5,0.8,trapped,left,7,60,60,60,0,0.0,0.9909811734076993,1.9362510816911538e-08,2.823701206189355e-08
5,0.8,trapped,left,8,60,60,59,0,0.0,0.992220332724321,1.26050065940575e-08,0.0
5,0.8,trapped,left,9,60,60,60,0,0.0,0.9928495768244452,2.5298038552890034e-08,0.0
5,0.8,trapped,right,4,60,1,1,0,0.0,0.8942220188519471,0.0,0.0
5,0.8,trapped,right,5,60,60,60,0,0.0,0.9177481417099599,2.344902050310793e-12,0.0015124054018732513
5,0.8,trapped,right,6,60,60,60,0,0.0,0.9332888737646848,8.149549205471729e-07,0.0
5,0.8,trapped,right,7,60,60,59,0,0.0,0.949916006429168,1.0339173961426695e-11,3.1246560894260256e-11
5,0.8,trapped,right,8,60,60,58,0,0.0,0.9614326914600774,0.0,0.0
5,0.8,trapped,right,9,60,60,59,0,0.0,0.9771036990215974,0.0008566885108001188,0.0008566885108001188
6,1.0,lost,left,3,60,1,1,0,0.0,0.9510868441696146,0.0,0.0
6,1.0,lost,left,4,60,60,60,0,0.0,0.9884550381358131,1.074140776324839e-12,5.8621996146257516e-12
6,1.0,lost,left,5,60,60,60,0,0.0,0.9929539172935858,0.0,0.0
6,1.0,lost,left,6,60,60,60,0,0.0,0.9944263176468225,1.117297365738068e-10,1.6111556533360272e-11
6,1.0,lost,left,7,60,60,60,0,0.0,0.9952098010201862,1.069477433168764e-06,1.069477433168764e-06
6,1.0,lost,right,3,60,1,1,0,0.0,0.8632564465464219,0.0,0.0
6,1.0,lost,right,4,60,60,60,0,0.0,0.9575366997562773,6.543765529443135e-12,3.908418033660155e-11
6,1.0,lost,right,5,60,60,60,0,0.0,0.967146589456109,3.001499049304357e-11,1.0179734832860277e-10
6,1.0,lost,right,6,60,60,60,0,0.0,0.9749587833864846,4.380384943658555e-12,0.0
6,1.0,lost,right,7,60,60,60,0,0.0,0.9803785135040824,0.0,0.0004140677928189396
6,1.0,lost,right,8,60,60,60,0,0.0,0.9854328298422904,9.468426043213185e-12,0.0
6,1.0,lost,right,9,60,60,60,0,0.0,0.9899967969610175,0.0,0.0002482668254921716
6,1.0,trapped,left,3,60,1,1,0,0.0,0.936513131096441,0.0,0.0
6,1.0,trapped,left,4,60,60,60,0,0.0,0.979318952312159,0.0,0.0
6,1.0,trapped,left,5,60,60,60,0,0.0,0.9844427565203046,4.941602682606572e-13,4.941602682606572e-13
6,1.0,trapped,left,6,60,60,60,0,0.0,0.9886646805538762,4.9264481383204384e-11,3.6548208903752766e-10
6,1.0,trapped,left,7,60,60,60,0,0.0,0.9919159620984863,8.787415239908114e-13,1.7535972673954348e-12
6,1.0,trapped,left,8,60,60,60,0,0.0,0.9929182018829482,0.0,1.6486750520350313e-08
6,1.0,trapped,left,9,60,60,60,0,0.0,0.9937221161205444,3.7225760252113105e-09,1.29586030794826e-09
6,1.0,trapped,right,3,60,1,1,0,0.0,0.8482356301166483,0.0,0.0
6,1.0,trapped,right,4,60,60,60,0,0.0,0.9295954486617671,0.010726837531113254,0.010726837542083478
6,1.0,trapped,right,5,60,60,60,0,0.0,0.9455971048602064,0.0,0.0
6,1.0,trapped,right,6,60,60,60,0,0.0,0.96101966604261,0.0,0.0
6,1.0,trapped,right,7,60,60,60,0,0.0,0.9668454935740788,0.0,0.00022297428600537295
6,1.0,trapped,right,8,60,60,60,0,0.0,0.9732346134242642,3.753197752587312e-11,0.0
6,1.0,trapped,right,9,60,60,60,0,0.0,0.9767465488089075,9.79586249522102e-05,0.0
7,1.2,lost,left,3,60,1,1,0,0.0,0.9533489642621572,0.0,0.0
7,1.2,lost,left,4,60,60,60,0,0.0,0.9908025746848551,7.795653012010462e-12,0.0
7,1.2,lost,left,5,60,60,60,0,0.0,0.9928070926255115,0.0,3.240696599959847e-11
7,1.2,lost,left,6,60,60,60,0,0.0,0.9948402614824615,0.0,4.809708187281103e-12
7,1.2,lost,left,7,60,60,60,0,0.0,0.9954534362793579,1.395472626342098e-11,0.0002573796392181249
7,1.2,lost,right,2,60,1,1,0,0.0,0.9201480270887151,0.0,0.0
7,1.2,lost,right,3,60,60,60,0,0.0,0.9402110877397188,0.0,0.0
7,1.2,lost,right,4,60,60,60,0,0.0,0.9555031625581143,0.0,0.000884927745764541
7,1.2,lost,right,5,60,60,60,0,0.0,0.9676454482509173,0.0,0.0
7,1.2,lost,right,6,60,60,60,0,0.0,0.9779703734541346,1.6280310433103296e-12,8.019918062984743e-12
7,1.2,lost,right,7,60,60,60,0,0.0,0.9867776089642494,0.0,0.0
7,1.2,lost,right,8,60,60,60,0,0.0,0.9910905558106159,1.2197653997958469e-10,1.5181067514191682e-10
7,1.2,lost,right,9,60,60,60,0,0.0,0.9933738912376047,0.0,2.88150614480287e-11
7,1.2,trapped,left,3,60,1,1,0,0.0,0.9383178550916424,0.0,0.0
7,1.2,trapped,left,4,60,60,60,0,0.0,0.9794243630663962,2.6963986599071177e-12,2.862932113600891e-12
7,1.2,trapped,left,5,60,60,60,0,0.0,0.9855213311849037,0.0,7.183587058534613e-12
7,1.2,trapped,left,6,60,60,60,0,0.0,0.9882746519814134,8.90409301845807e-10,8.720902111569728e-09
7,1.2,trapped,left,7,60,60,60,0,0.0,0.9903319254275872,0.0,0.0
7,1.2,trapped,left,8,60,60,60,0,0.0,0.9907651811590337,3.087075174623699e-05,0.0
7,1.2,trapped,right,1,60,1,1,0,0.0,0.7803280162616176,0.0,0.0
7,1.2,trapped,right,2,60,60,60,0,0.0,0.8842418781320166,0.0,2.46796028058327e-10
7,1.2,trapped,right,3,60,60,60,0,0.0,0.9123576239981398,2.6129254315776507e-10,2.885016670006735e-10
7,1.2,trapped,right,4,60,60,60,0,0.0,0.9355816840922371,5.1826432034829395e-11,4.10520173410589e-10
7,1.2,trapped,right,5,60,60,60,0,0.0,0.9555932356425882,0.0,1.043222175312053e-10
7,1.2,trapped,right,6,60,60,60,0,0.0,0.9686153029915907,1.078301892221134e-10,7.160561033003887e-11
7,1.2,trapped,right,7,60,60,59,0,0.0,0.9758618119689636,1.1248779685502086e-11,0.0011086914185887142
7,1.2,trapped,right,8,60,60,60,0,0.0,0.9805843769321634,0.0,2.0877788386997054e-10
7,1.2,trapped,right,9,60,60,60,0,0.0,0.9836456442257197,4.300115818978156e-12,5.308087303035336e-12
8,1.4,lost,left,3,60,1,1,0,0.0,0.9494219825540631,0.0,0.0
8,1.4,lost,left,4,60,60,60,0,0.0,0.9771482307295065,0.0,0.0
8,1.4,lost,left,5,60,60,60,0,0.0,0.9916541831872313,0.0,1.8984813721090177e-12
8,1.4,lost,left,6,60,60,60,0,0.0,0.9935265467078764,0.0,0.0
8,1.4,lost,left,7,60,60,60,0,0.0,0.9948031494368993,0.0,1.4041101614736817e-11
8,1.4,lost,left,8,60,60,60,0,0.0,0.9957766537729936,5.410785153259212e-10,2.4705001218983114e-05
8,1.4,lost,right,2,60,1,1,0,0.0,0.8778886586543853,0.0,0.0
8,1.4,lost,right,3,60,60,60,0,0.0,0.9311035759402018,0.0,0.0
8,1.4,lost,right,4,60,60,60,0,0.0,0.9485139634344572,1.777133995517488e-12,1.327771226300456e-11
8,1.4,lost,right,5,60,60,60,0,0.0,0.9558744235571852,4.308609025116539e-11,1.1125944610057559e-10
8,1.4,lost,right,6,60,60,60,0,0.0,0.9614969598187999,0.0,0.002216346091505117
8,1.4,lost,right,7,60,60,60,0,0.0,0.9787169242242632,0.0,1.7319479184152442e-13
8,1.4,lost,right,8,60,60,60,0,0.0,0.9826811998109447,0.0,2.4622653138628436e-08
8,1.4,lost,right,9,60,60,60,0,0.0,0.985777678489899,0.0,0.002169361536459191
8,1.4,trapped,left,3,60,1,1,0,0.0,0.9316836854509875,0.0,0.0
8,1.4,trapped,left,4,60,60,60,0,0.0,0.9625486273762252,1.0290213126040726e-11,0.0
8,1.4,trapped,left,5,60,60,60,0,0.0,0.977162480223196,2.5082158572331537e-12,2.650912822588225e-11
8,1.4,trapped,left,6,60,60,60,0,0.0,0.9806035003438739,0.0,1.512070373355101e-07
8,1.4,trapped,left,7,60,60,60,0,0.0,0.9825978458848575,5.1997142758386516e-05,5.1997142758386516e-05
8,1.4,trapped,left,8,60,60,60,0,0.0,0.9847078626429776,3.3222014028666536e-10,0.0
8,1.4,trapped,left,9,60,60,60,0,0.0,0.986438021486175,7.058886808408715e-11,0.0
8,1.4,trapped,right,1,60,1,1,0,0.0,0.7916569695190824,0.0,0.0
8,1.4,trapped,right,2,60,60,60,0,0.0,0.8778553833998236,0.0,2.1300516905853328e-11
8,1.4,trapped,right,3,60,60,60,0,0.0,0.9112043239987038,0.0,1.8958523639867053e-10
8,1.4,trapped,right,4,60,60,60,0,0.0,0.9262688661138817,8.898948244961957e-11,0.0
8,1.4,trapped,right,5,60,60,60,0,0.0,0.9388422326908248,2.5557889138383416e-11,7.866374218679084e-12
8,1.4,trapped,right,6,60,60,60,0,0.0,0.9459128836247267,1.0725198507088862e-11,0.0
8,1.4,trapped,right,7,60,60,60,0,0.0,0.9562046092083498,0.0051300851540254655,0.005130085155500952
8,1.4,trapped,right,8,60,60,60,0,0.0,0.9660884572087051,1.0432765762402596e-11,6.441380762112203e-11
8,1.4,trapped,right,9,60,60,60,0,0.0,0.9713852329339588,3.187868857779108e-10,2.3259030257349878e-09
9,1.6,lost,left,2,60,1,1,0,0.0,0.9401463970524822,0.0,0.0
9,1.6,lost,left,3,60,60,60,0,0.0,0.961379303342102,0.0,3.185451902254499e-12
9,1.6,lost,left,4,60,60,60,0,0.0,0.9825862978861326,0.0,3.749112131856691e-12
9,1.6,lost,left,5,60,60,60,0,0.0,0.9887258567258749,4.1707748366093256e-12,0.0
9,1.6,lost,left,6,60,60,60,0,0.0,0.99124561926374,0.0,2.459765724438512e-10
9,1.6,lost,left,7,60,60,60,0,0.0,0.9931352158903584,4.467315406486705e-12,0.0
9,1.6,lost,left,8,60,60,60,0,0.0,0.9945784435862609,3.604005982538183e-12,1.0983547404919136e-11
9,1.6,lost,left,9,60,60,60,0,0.0,0.9951377531097153,0.0,0.0
9,1.6,lost,right,1,60,1,1,0,0.0,0.7936268320473081,0.0,0.0
9,1.6,lost,right,2,60,60,60,0,0.0,0.9049768073498974,0.0,0.0
9,1.6,lost,right,3,60,60,60,0,0.0,0.9411062776397634,7.477352070850429e-13,3.323130659538265e-11
9,1.6,lost,right,4,60,60,60,0,0.0,0.9510553884881704,8.187783784308067e-12,8.187783784308067e-12
9,1.6,lost,right,5,60,60,60,0,0.0,0.9586876656169713,0.0,0.0
9,1.6,lost,right,6,60,60,60,0,0.0,0.9693859889290943,1.1435563607165022e-10,1.1435563607165022e-10
9,1.6,lost,right,7,60,60,60,0,0.0,0.9776462904752686,0.0,0.0
9,1.6,lost,right,8,60,60,60,0,0.0,0.9822938573382377,0.0,4.199041114816282e-11
9,1.6,lost,right,9,60,60,60,0,0.0,0.9842601918113535,0.0,3.7648439921156296e-11
9,1.6,trapped,left,3,60,1,1,0,0.0,0.8365957176611056,0.0,0.0
9,1.6,trapped,left,4,60,60,60,0,0.0,0.9737805590212948,8.291145547900669e-13,1.042721464727947e-12
9,1.6,trapped,left,5,60,60,60,0,0.0,0.9814928012403311,0.0,0.0
9,1.6,trapped,left,6,60,60,60,0,0.0,0.9841875102009199,0.0,0.0
9,1.6,trapped,left,7,60,60,60,0,0.0,0.9856445313875758,0.0,1.5165133038341772e-05
9,1.6,trapped,left,8,60,60,60,0,0.0,0.9870819161365851,0.0,2.162388401671933e-08
9,1.6,trapped,left,9,60,60,60,0,0.0,0.9871282159071508,0.0,5.078266773494988e-05
9,1.6,trapped,right,1,60,1,1,0,0.0,0.7723886877918315,0.0,0.0
9,1.6,trapped,right,2,60,60,60,0,0.0,0.8878073477383438,0.0,7.2659656069617995e-12
9,1.6,trapped,right,3,60,60,60,0,0.0,0.9151524289306034,1.2137602034556494e-10,1.565372276246535e-10
9,1.6,trapped,right,4,60,60,60,0,0.0,0.9298796524923617,2.264722853695389e-10,0.0
9,1.6,trapped,right,5,60,60,60,0,0.0,0.9519896841508277,0.0,4.852374058117448e-11
9,1.6,trapped,right,6,60,60,60,0,0.0,0.9575686789282263,0.0,5.4001247917767614e-12
9,1.6,trapped,right,7,60,60,60,0,0.0,0.9640157690418502,0.0,0.0
9,1.6,trapped,right,8,60,60,60,0,0.0,0.9671541767007437,5.000412306443991e-10,4.421983890168235e-10
9,1.6,trapped,right,9,60,60,60,0,0.0,0.9713125205808748,2.3130608539645436e-11,2.3130608539645436e-11
10,1.8,lost,left,3,62,1,1,0,0.0,0.9651425381676784,0.0,0.0
10,1.8,lost,left,4,62,62,62,0,0.0,0.9802791452398235,0.01180815798333168,9.424905300647879e-12
10,1.8,lost,left,5,62,62,62,0,0.0,0.9915215437581885,0.0,7.556177905598815e-13
10,1.8,lost,left,6,62,62,62,0,0.0,0.9927474838248419,1.4071743770216472e-11,0.0
