Ex,Ey,Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.2,0.0,-0.0750819060799999,500,6000,11.84,0.07856914723730438,0.013094857872884063,3131,246,41,7.4476399421691895
-0.2,0.0,-0.0750819060799999,1800,20000,11.842,0.0061330397861298945,0.013524139015568485,12718,78,172,47.07453513145447
-0.2,0.0,-0.0750819060799999,1200,12000,11.835,0.02306140098010954,0.013836840588065724,6938,160,96,21.806393146514893
-0.2,-0.0834015885,0.025,300,5000,11.827,0.07373271889400922,0.0025136154168412233,2387,176,6,5.664396286010742
-0.2,-0.0834015885,0.025,500,6000,11.827,0.043434680922151685,0.005011693952555964,2993,130,15,7.550121307373047
-0.2,-0.0834015885,0.025,1000,10000,11.825,0.013565536205316224,0.0025664527956003667,5455,74,14,16.441662788391113
-0.2,-0.0834015885,0.025,800,8000,11.83,0.019507663725034836,0.0025545750116117046,4306,84,11,11.869847536087036
-0.2,-0.0834015885,0.025,600,7000,11.826,0.03560830860534125,0.0024278392230914487,3707,132,9,9.296163558959961
-0.2,-0.0834015885,0.025,1500,16000,11.829,0.002103270585760858,0.0027342517614891157,9509,20,26,33.20852327346802
-0.2,-0.0834015885,0.025,1800,20000,11.826,0.0016640319494134288,0.0029120559114735,12019,20,35,47.08269715309143
-0.2,-0.0834015885,0.025,1200,12000,11.826,0.00663716814159292,0.0025073746312684365,6780,45,17,21.76195979118347
-0.2,0.08340158845,0.025,1200,12000,11.827,0.019351245997494083,0.007378532646526521,7183,139,53,21.653737545013428
-0.2,0.08340158845,0.025,500,6000,11.825,0.08115338882282996,0.006837098692033293,3364,273,23,7.568915128707886
