U2,RF_set_dBm,RF_set_mW,RF_meas_dBm,act_RF_mW,n_peaks,r2,aicc,c0,split_x_MHz,baseline_left_mean,baseline_left_std,baseline_right_mean,baseline_right_std,y_min,y_max,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4,amp5,mu5,sigma5,amp6,mu6,sigma6,amp7,mu7,sigma7,amp8,mu8,sigma8
-0.35,-0.5,0.8912509381337456,9.925784110535403,9.830563459564189,6,0.9723662095642068,-2832.2452680712363,0.0637108316815105,71.53806856307634,0.06352085698221313,0.0022577834807324328,0.06117111220389229,0.0016716569320524267,0.0019195406630218275,0.06761541385753095,-0.048655979698914,44.02004701679824,1.7839054119627464,-0.0628286461291903,50.37023038444809,0.5995328012800419,-0.0349704360235787,61.043448259580735,0.5000000000000001,-0.0436343237688788,96.2150672459655,0.5000000000000001,-0.0147945944531712,100.94711176007544,0.9662397840846504,-0.0284680768589817,122.71492866825592,0.5000000000000001,,,,,,
-0.35,0.0,1.0,10.330445595854922,10.790574302568103,7,0.9613034738495434,-2628.0832000303253,0.0816856339757884,73.00836915580649,0.07960801828309627,0.002761207952955029,0.07747083212646697,0.0017118378553169467,0.0004681738480758223,0.08535940307628472,-0.0120816248430514,47.80905850263687,0.6495131514332095,-0.067718268337309,51.390541360695735,1.0009377103337502,-0.0366659328972843,64.53886055726299,0.5579930748120315,-0.0279195203308001,99.71306910913364,0.5925367216468761,-0.0404321460962506,102.64249856183372,1.0732236432356257,-0.0132381575781791,115.98312192200922,0.5000000000000001,-0.0249207318902602,129.6052607643468,0.8411094092992364,,,
-0.35,0.2,1.0471285480508996,10.450420984455958,11.092823386153533,8,0.9865399489209752,-2853.7825323109737,0.080214964904123,76.13608427357411,0.08026060884632218,0.0019763374848667005,0.07843701020167874,0.0016993465802557194,0.00025734109539775877,0.08396210263927148,-0.0339740029634031,49.72331324376216,0.5000000000000001,-0.0667735552999787,51.57653552600102,0.8873594455624436,-0.0476285616492698,66.40344356262719,0.5000000000000001,-0.0292650044665865,100.0063764971059,0.5000000000000001,-0.0453933133020796,102.7748233017996,0.6412595568890728,-0.0096214571516286,114.94721806591794,0.6316743295300152,-0.0298691262609635,117.48158056729336,0.5000000000000001,-0.0172183884340969,132.65969715550136,0.7947232412881444
-0.35,0.4,1.096478196143185,10.560865284974092,11.378539683871784,8,0.9777409048926228,-2726.3170936286674,0.0905988215806881,127.17665570639252,0.08813396524266727,0.0032816295538797345,0.08861427655799353,0.0029448173005122637,0.0007238985225889243,0.09570496625061277,-0.0420985714886692,50.34649825190704,0.5009903330439796,-0.0690234106484296,52.851185769561305,0.5653867618889264,-0.0492345347542737,67.62469962165225,0.5000000000000001,-0.0236110315554206,101.01801108924508,1.5807559242875868,-0.0564972819820763,104.82224595896902,0.5000000000000001,-0.0106573793437931,116.94651487707324,0.5907998600310898,-0.0403969666353969,119.57858020026752,0.5000000000000001,-0.0144312021639194,134.77473121251754,0.8869213795807724
-0.35,0.6,1.1481536214968828,10.694586355785836,11.734339133380656,5,0.9781218511975254,-2814.476326954046,0.0939197406027115,60.765978628144225,0.0923849601010773,0.002160477677937457,0.09027189386890479,0.00181186070066257,0.011199177435387736,0.0964618938848798,-0.0699901881358145,53.21896156267358,0.9543710750940412,-0.0397641008414805,68.31299569361488,0.5848616909431573,-0.0379313425759933,106.06982501766836,1.741497927086027,-0.0224097724902242,118.68833066730284,0.69265931026746,-0.0255062895735218,120.97695490649488,0.7692330829921488,,,,,,,,,
-0.35,0.8,1.202264434617413,10.792147668393785,12.00092624945035,7,0.9633249866273236,-2726.412891963665,0.1004664689198767,91.35618539762041,0.09958677094964873,0.0029289836365641755,0.09730098429202085,0.0022143415304911617,0.018189063338325102,0.105632312336754,-0.030077162121363,50.12588241541188,0.5000000000000001,-0.0207045330340303,55.07365969805453,0.5000000000000001,-0.0439990097786465,68.47650362338237,0.5000000000000001,-0.0509929271226965,107.8501584543898,0.5000000000000001,-0.0273891716134778,119.50023438441556,0.5455144056388741,-0.0149033702060487,125.10148181346486,0.7014538401911797,-0.0112197293805722,136.7327737037997,0.6086079969414907,,,
-0.35,1.0,1.2589254117941673,10.98913212435233,12.557789890791137,6,-4.1278295682394965,-1568.1330546310228,0.1425655142642576,63.34446796564453,0.10759205195447291,0.002954546117346568,0.10526897047061023,0.0017804797880555969,0.0435765900878382,0.11511188461005818,-0.0323803742339593,54.75169598659066,1.2110115397362804,-0.0329138807118293,70.07969217936726,0.6575048389449623,-0.0111837384246525,102.67404536386972,0.7791678173125764,-0.0422527664918981,108.39665015313864,0.6442734341042662,-0.0211307694505997,120.9817117193727,0.6861458065558166,-0.0125957820161615,125.3680877494122,1.9258872119734285,,,,,,
-0.35,1.2,1.318256738556407,11.085116062176166,12.838420797996319,6,0.918000832374982,-2622.04387650232,0.110608306417482,64.47030649659098,0.10595264150287723,0.0038178468129322495,0.10188154101835904,0.0045218949367940514,0.03919829514715671,0.11432491459164837,-0.0279486427300925,50.78939912040333,1.0829664896755014,-0.0263801575665256,55.28665422347445,1.401293071248452,-0.0351433999499628,71.30807011020191,0.6350658486002054,-0.0462360689306167,109.41016673691723,0.5000000000000001,-0.0166553372578744,122.43578346928042,0.6104690866357887,-0.0134816478555342,128.4449212931236,1.2932079458541657,,,,,,
-0.35,1.4,1.3803842646028848,11.196873920552678,13.173081903542156,6,0.9408613530045772,-2669.2178086299377,0.1144067562144377,78.91349412102572,0.11033426859590102,0.004392524974730132,0.10649152233147913,0.004006001018543523,0.05764114549875865,0.11910257956571306,-0.0235313755342901,50.55420774599736,1.0982553257384262,-0.0260379602996227,59.20997930052034,1.1200105079047866,-0.0331126025417581,71.82090516858354,0.7163840436881208,-0.0352762398467738,111.31794022542732,0.5000000000000001,-0.0080631623697361,122.63979222475922,0.6617433414585038,-0.0104576523815602,130.30000864776952,1.8412170236647372,,,,,,
-0.35,1.6,1.4454397707459274,11.26713860103627,13.387943167997838,5,0.9628145768294628,-2763.2485111512674,0.1209657959605381,98.87757007528853,0.1169237351165499,0.0038027214778958737,0.11292495130981323,0.004426589997734166,0.03710711524845031,0.12394237355804257,-0.0120717726544001,50.43317193835152,0.5000000000000001,-0.0446492521602209,59.05158495185566,1.8323188404432929,-0.0374147387608167,72.59513326243822,0.7404946724639438,-0.0506759216965403,111.51269394868793,0.5000000000000001,-0.0128805888784645,123.45764924733426,1.0055138191950022,,,,,,,,,
